,hospital_name
0,鞍钢集团公司总医院
1,安徽省第二人民医院
2,安徽医科大学第二附属医院
3,安徽医科大学第一附属医院
4,安庆市立医院
5,安阳地区医院
6,安阳市中医院
7,宝鸡市人民医院
8,宝鸡市中心医院
9,宝鸡市中医医院
10,宝泉岭医疗集团中心医院
11,巴中市中心医院
12,北大医疗潞安医院
13,北大医疗鲁中医院
14,北海市人民医院
15,北京大学滨海医院
16,北京大学第一医院
17,北京大学人民医院
18,北京大学深圳医院
19,北京积水潭医院
20,北京市第一中西医结合医院
21,北京市平谷区中医医院
22,北京王府中西医结合医院
23,北京协和医院
24,北京中医药大学东直门医院
25,北京中医医院顺义医院
26,蚌埠市第三人民医院
27,蚌埠医学院第二附属医院
28,滨州医学院附属医院
29,滨州医学院烟台附属医院
30,百色市人民医院
31,沧州市人民医院
32,沧州市中心医院
33,长春中医药大学附属医院
34,常德市第一人民医院
35,常德市第一中医医院
36,长沙市妇幼保健院
37,长沙市中心医院
38,长沙市中医医院
39,长治市中医研究所附属医院
40,长治市中医医院
41,长治医学院附属和平医院
42,常州市第二人民医院
43,常州市第一人民医院
44,常州市妇幼保健院
45,成都肛肠专科医院
46,成都市第六人民医院
47,成都市第七人民医院
48,成都市第三人民医院
49,成都市妇女儿童中心医院
50,成都市郫都区人民医院
51,成都市双流区中医医院
52,成都市温江区人民医院
53,成都市新都区人民医院
54,成都医学院第一附属医院
55,郴州市第一人民医院
56,重庆大学附属肿瘤医院
57,重庆市璧山区人民医院
58,重庆市大足区人民医院
59,重庆市开州区人民医院
60,重庆市黔江中心医院
61,重庆市綦江区人民医院
62,重庆西南医院
63,重庆医科大学附属第二医院
64,重庆医科大学附属第一医院
65,重庆医科大学附属永川医院
66,大连大学附属新华医院
67,大连市第三人民医院
68,大连市友谊医院
69,大连医科大学附属第二医院
70,大连医科大学附属第一医院
71,丹东市中心医院
72,大庆龙南医院
73,大庆市人民医院
74,大同市第三人民医院
75,定西市人民医院
76,东莞康华医院
77,东莞市第五人民医院
78,东莞市妇幼保健院
79,东莞市人民医院
80,东莞市松山湖中心医院
81,东莞市中医院
82,东南大学附属中大医院
83,东营市人民医院
84,都江堰市人民医院
85,鄂尔多斯市中医医院
