,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,郭倩倩,  主治医师,中医科,中医乳腺外科,广东省中医院大学城医院,,32,,￥10,
1,温嘉槐,  主治医师,中医科,中医乳腺外科,广东省中医院大德路总院,10.0,34,,￥30,
2,刘鹏熙,  主任医师,中医科,中医乳腺外科,广东省中医院大学城医院,9.2,169,专家团队,￥200,
3,瞿文超,  副主任医师,中医科,中医乳腺外科,上海中医药大学附属曙光医院东院,10.0,320,,￥80,
4,洪宋贞,  副主任医师,中医科,中医乳腺外科,广东省中医院大德路总院,8.9,140,专家团队,￥100,
5,陈莉颖,  副主任医师,中医科,中医乳腺外科,上海中医药大学附属龙华医院,9.9,198,,￥100,￥150
6,周君,  副主任中医师,中医科,中医乳腺外科,江苏省中医院,10.0,199,专家团队,￥60,
7,林欢,  副主任医师,中医科,中医乳腺外科,广东省中医院大德路总院,9.9,115,,￥20,
8,刘丹,  主治医师,中医科,中医乳腺外科,广东省中医院大德路总院,9.9,342,,￥20,￥100
9,李雪真,  副主任中医师,中医科,中医乳腺外科,广东省第二中医院,10.0,15,,￥30,
10,许锐,  副主任医师,中医科,中医乳腺外科,广东省中医院大学城医院,9.6,102,专家团队,￥50,
11,高晴倩,  副主任医师,中医科,中医乳腺外科,上海中医药大学附属曙光医院东院,10.0,450,,￥50,
12,姚昶,  主任医师,中医科,中医乳腺外科,江苏省中医院,9.7,134,专家团队,￥100,
13,袁永熙,  主任医师,中医科,中医乳腺外科,上海中医药大学附属龙华医院,9.8,1597,,￥60,￥200
14,孙佳晔,  主治医师,中医科,中医乳腺外科,上海中医药大学附属曙光医院东院,10.0,74,,￥40,
15,康梦玲,  住院医师,中医科,中医乳腺外科,广东省中医院大学城医院,,58,,￥30,
16,吴雪卿,  主任医师,中医科,中医乳腺外科,上海中医药大学附属曙光医院东院,9.5,452,,￥200,
17,张洲伟,  副主任医师,中医科,中医乳腺外科,西安医学院第二附属医院,10.0,53,,￥50,
18,陈莹,  副主任医师,中医科,中医乳腺外科,广东省中医院大德路总院,9.6,123,,￥50,
19,方琛,  主治医师,中医科,中医乳腺外科,广东省中医院大德路总院,9.6,67,,￥30,
20,曾伟杰,  住院医师,中医科,中医乳腺外科,广东省中医院大德路总院,10.0,27,,￥30,
21,张玉柱,  住院医师,中医科,中医乳腺外科,广东省中医院大德路总院,10.0,16,,￥30,
22,赖米林,  主治医师,中医科,中医乳腺外科,广东省中医院大德路总院,9.5,213,专家团队,￥30,
23,王蕾,  主治医师,中医科,中医乳腺外科,广东省中医院大德路总院,9.5,136,,￥30,
24,叶玲玲,  住院医师,中医科,中医乳腺外科,广东省中医院大学城医院,,7,,￥20,
25,冯佳梅,  副主任医师,中医科,中医乳腺外科,上海中医药大学附属曙光医院东院,9.9,278,,￥100,
26,王志宇,  主任医师,中医科,中医乳腺外科,广东省中医院大德路总院,10.0,101,,￥100,
27,戴燕,  副主任医师,中医科,中医乳腺外科,广东省中医院大学城医院,9.7,212,专家团队,￥30,
28,孟畑,  副主任医师,中医科,中医乳腺外科,上海中医药大学附属龙华医院,10.0,204,,￥69,￥199
29,赵虹,  副主任医师,中医科,中医乳腺外科,广东省中医院大学城医院,8.8,131,专家团队,￥20,
30,邵士珺,  主治医师,中医科,中医乳腺外科,上海中医药大学附属曙光医院东院,9.8,84,,￥30,
31,林晓洁,  主治医师,中医科,中医乳腺外科,广东省中医院大学城医院,10.0,10,,￥30,
32,何嘉发,  住院医师,中医科,中医乳腺外科,广东省中医院大学城医院,,5,,￥20,
33,谢枫枫,  主治医师,中医科,中医乳腺外科,广东省中医院大德路总院,8.1,140,,￥30,
34,钟少文,  主任医师,中医科,中医乳腺外科,广东省中医院大德路总院,9.5,94,专家团队,￥100,
35,王晓培,  住院医师,中医科,中医乳腺外科,成都中医药大学附属医院,9.9,26,,￥30,
36,陈国经,  主任医师,中医科,中医乳腺外科,成都中医药大学附属医院,9.6,198,,￥50,
37,钟馨,  副主任医师,中医科,中医乳腺外科,北京中医药大学东方医院,9.7,37,专家团队,￥60,
38,康旭,  主任医师,中医科,中医乳腺外科,广东省中医院大德路总院,9.4,378,专家团队,￥200,
39,祝东升,  主任医师,中医科,中医乳腺外科,北京中医药大学东方医院,9.7,92,专家团队,￥50,￥50
40,孙杨,  主治医师,中医科,中医乳腺外科,广东省中医院大德路总院,9.6,40,专家团队,￥50,
