,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,宋正宇,  主任医师,中医科,中医五官科,乌镇国医馆中医门诊部,10.0,3341,,￥5,￥120
1,王勇聪,  主治医师,中医科,中医五官科,广东省中医院大学城医院,9.7,412,,￥30,
2,林山珊,  住院医师,中医科,中医五官科,广东省中医院大学城医院,9.6,450,,￥30,
3,史绍鹏,  主治医师,中医科,中医五官科,苏州市中医医院,10.0,1792,,￥19,￥30
4,谭希,  住院医师,中医科,中医五官科,广东省中医院大学城医院,9.0,212,,￥10,
5,李小霞,  主治医师,中医科,中医五官科,广东省中医院大学城医院,10.0,376,,￥50,￥1000
6,陈祥静,  主治医师,中医科,中医五官科,山东中医药大学附属医院,,2,,￥29,
7,余卓锦,  主治医师,中医科,中医五官科,广东省中医院大德路总院,9.9,523,,￥30,
8,周兴玮,  副主任医师,中医科,中医五官科,泸州医学院附属中医院泸州医学院附属第二医院,,1,,￥30,
9,伍映芳,  主治医师,中医科,中医五官科,广东省中医院大德路总院,9.5,510,专家团队,￥50,
10,刘少清,  主治医师,中医科,中医五官科,广东省中医院大学城医院,8.9,370,专家团队,￥30,
11,邹国华,  住院医师,中医科,中医五官科,广东省中医院珠海医院,10.0,216,,￥15,
12,董丽婷,  主治医师,中医科,中医五官科,威海市中医院,10.0,50,专家团队,￥25,
13,季中锟,  主治医师,中医科,中医五官科,山东省文登整骨医院,10.0,522,,￥20,￥49
14,马雅静,  主治医师,中医科,中医五官科,苏州市中医医院,10.0,6,,￥20,
15,于娇娜,  主治医师,中医科,中医五官科,德州市宁津县中医院,,6,,￥20,￥80
16,李奇,  主任医师,中医科,中医五官科,湖北省中医院,10.0,218,,￥30,
17,李波波,  主治医师,中医科,中医五官科,广东省中医院大德路总院,,37,,￥15,
18,丁丽凤,  副主任医师,中医科,中医五官科,上海儿童医学中心,9.9,1010,,,￥159
19,田道法,  主任医师,中医科,中医五官科,湖南中医药大学第一附属医院,9.8,476,专家团队,￥100,￥50
20,耿红城,  住院医师,中医科,中医五官科,孝感市中医院,10.0,283,,￥30,￥30
21,孔凡刚,  主治医师,中医科,中医五官科,肥城市中医医院,,1,,￥10,
22,黄银爱,  主任医师,中医科,中医五官科,广东省中医院大德路总院,9.2,623,,￥200,
23,盖建青,  主任医师,中医科,中医五官科,北京中医医院,10.0,55,专家团队,￥30,￥200
24,宿艳,  副主任医师,中医科,中医五官科,济南市第二人民医院,10.0,13,,￥20,
25,罗秋兰,  副主任中医师,中医科,中医五官科,广东省中医院大德路总院,9.6,673,专家团队,￥60,
26,王磊,  主治医师,中医科,中医五官科,上海市第七人民医院,10.0,26,,￥20,
27,黎海平,  主任医师,中医科,中医五官科,广西中医药大学第一附属医院,10.0,11,,￥60,
28,何剑威,  主治中医师,中医科,中医五官科,东莞市儿童医院,,2,,￥12,
29,王晓飞,  住院医师,中医科,中医五官科,沁水县中医院,,1,,￥9,￥20
30,余平波,  主治医师,中医科,中医五官科,上海儿童医学中心,9.8,254,专家团队,￥40,
31,张秀瑜,  主任中医师,中医科,中医五官科,广东省中医院珠海医院,9.8,38,专家团队,￥50,
32,肖秋石,  主治医师,中医科,中医五官科,德州市宁津县中医院,9.1,152,,￥30,￥110
33,杨鲁生,  主治医师,中医科,中医五官科,济宁市任城区中医院,,5,,￥10,￥58
34,窦仁慧,  主治中医师,中医科,中医五官科,浙江省眼科医院杭州院区,10.0,73,,￥30,￥80
35,张新玲,  副主任医师,中医科,中医五官科,泰州市中医院(东院),9.8,80,专家团队,￥20,
36,于超,  副主任医师,中医科,中医五官科,重庆市中医院南桥寺院部,10.0,14,,￥30,
37,夏纪严,  主任医师,中医科,中医五官科,广东省中医院大德路总院,8.7,86,专家团队,￥200,
38,吴飞虎,  副主任医师,中医科,中医五官科,安徽中医药大学第一附属医院,9.8,71,,￥30,
39,李凯,  主治医师,中医科,中医五官科,广东省中医院大德路总院,9.6,40,,￥30,
40,余作其,  主治医师,中医科,中医五官科,苍南县中医院,,5,,￥5,
41,向建文,  副主任医师,中医科,中医五官科,广东省中医院大学城医院,9.0,45,专家团队,￥60,
42,裴建芳,  主治医师,中医科,中医五官科,汝州市中医院,9.9,1062,,￥10,￥200
43,朱任良,  主任医师,中医科,中医五官科,广东省中医院大德路总院,9.0,255,专家团队,￥100,
44,邹浩波,  主治医师,中医科,中医五官科,广东省中医院大德路总院,8.8,95,专家团队,￥50,
45,周世卿,  主治医师,中医科,中医五官科,广东省中医院大德路总院,,96,,￥30,
46,王中霞,  副主任医师,中医科,中医五官科,甘肃省中医院,9.9,110,专家团队,￥30,
47,梁艳,  主治医师,中医科,中医五官科,广东省中医院大学城医院,8.9,522,专家团队,￥30,
48,迟晨雨,  副主任医师,中医科,中医五官科,北京中医药大学东方医院,9.9,786,专家团队,￥80,
49,胡佩,  主治医师,中医科,中医五官科,广东省中医院大德路总院,,42,,￥30,
50,陈颖,  副主任医师,中医科,中医五官科,湖北省中医院,10.0,20,专家团队,￥30,
51,李明,  副主任医师,中医科,中医五官科,德州市宁津县中医院,10.0,22,,￥30,￥60
52,胡珂,  主治医师,中医科,中医五官科,济南市中医医院,,62,专家团队,￥29,
53,李慧,  主治医师,中医科,中医五官科,德州市宁津县中医院,,5,,￥30,￥60
54,姚卫杰,  主治医师,中医科,中医五官科,河南中医药大学第一附属医院,10.0,53,,￥50,
55,尹敏静,  主治医师,中医科,中医五官科,济南市中医医院,,12,专家团队,￥10,
56,刘铁陵,  副主任中医师,中医科,中医五官科,绵阳市中医医院,,4,,￥30,
57,罗恬,  副主任医师,中医科,中医五官科,陕西省中医医院,9.9,110,专家团队,￥30,
58,吴琪,  主治医师,中医科,中医五官科,湖南中医药大学第一附属医院,,33,,￥20,
59,林泽鑫,  主治医师,中医科,中医五官科,广东省中医院大德路总院,10.0,15,,￥20,
60,王露,  主治医师,中医科,中医五官科,广东省中医院大德路总院,9.7,256,专家团队,￥30,
61,李华,  副主任医师,中医科,中医五官科,广东省中医院大德路总院,8.8,288,专家团队,￥100,￥600
62,刘颖,  副主任医师,中医科,中医五官科,成都中医药大学附属医院,9.7,306,,￥20,￥100
63,滕克禹,  副主任医师,中医科,中医五官科,济南市第二人民医院,10.0,39,,￥30,￥60
64,马文波,  主治医师,中医科,中医五官科,威海市中医院,,3,专家团队,￥30,
65,艾建伟,  副主任医师,中医科,中医五官科,北京中医医院,,19,专家团队,￥100,
66,马继平,  主治医师,中医科,中医五官科,扬州市江都中医院,,1,,￥20,
