,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,李康健,  住院医师,中医科,中医儿科,广东省中医院大德路总院,9.2,454,,￥50,
1,杨令,  主治中医师,中医科,中医儿科,利川市民族中医院,10.0,31,,￥30,￥40
2,林晓红,  主治医师,中医科,中医儿科,广东省中医院大德路总院,9.8,557,,￥80,
3,陈吉莲,  副主任医师,中医科,中医儿科,自贡市中医医院,,2,,￥30,￥60
4,刘晓娟,  主治中医师,中医科,中医儿科,天津市北辰区中医医院,10.0,9,,￥20,
5,赵明宗,  主治医师,中医科,中医儿科,天津中医药大学第二附属医院,10.0,22,,￥20,￥100
6,张惠芳,  主治医师,中医科,中医儿科,肥城市中医医院,10.0,18,,￥10,
7,王浩,  主治医师,中医科,中医儿科,天津中医药大学第二附属医院,,3,,￥29,
8,刘兴香,  主治医师,中医科,中医儿科,肥城市中医医院,,3,,￥10,￥20
9,张永春,  主任医师,中医科,中医儿科,江苏省中医院,9.9,1172,专家团队,￥50,
10,刘竹云,  主任医师,中医科,中医儿科,烟台市中医医院,10.0,22,,￥100,￥200
11,郑丹丹,  医师,中医科,中医儿科,德州市中医院,10.0,16,,￥30,￥60
12,胡兵,  主任医师,中医科,中医儿科,上海中医药大学附属龙华医院,9.5,689,,￥200,
13,李伟,  主治医师,中医科,中医儿科,肥城市中医医院,10.0,349,,￥20,
14,任现志,  主任医师,中医科,中医儿科,江苏省中医院,9.9,147,,￥100,￥300
15,王雷,  主治中医师,中医科,中医儿科,江苏省中医院,10.0,79,,￥30,
16,王雨晴,  副主任医师,中医科,中医儿科,徐州市儿童医院,10.0,508,,￥25,
17,刘酉根,  主治医师,中医科,中医儿科,醴陵市中医院,10.0,27,,￥15,￥39
18,郭渊奇,  副主任医师,中医科,中医儿科,宁夏回族自治区妇幼保健院,10.0,2244,,￥30,
19,何素蓉,  主任医师,中医科,中医儿科,重庆市中医院南桥寺院部,10.0,39,,￥45,
20,向燕,  主治医师,中医科,中医儿科,成都市天府新区人民医院,,24,,￥20,￥25
21,丁惠玲,  主任医师,中医科,中医儿科,上海市中医文献馆中医门诊部,9.6,2026,专家团队,￥150,
22,王明明,  主任中医师,中医科,中医儿科,江苏省中医院,9.9,235,,￥35,
23,沈志峰,  主任医师,中医科,中医儿科,成都中医药大学附属医院,9.9,194,,￥70,
24,张洁,  主任医师,中医科,中医儿科,河北省中医院,,2,,￥20,
25,柴慈杰,  主治医师,中医科,中医儿科,天津市东丽区中医医院,10.0,21,,￥10,
26,周静冬,  副主任医师,中医科,中医儿科,上海固生堂同保康中医门诊部【膏方】,9.6,1048,专家团队,￥150,￥200
27,刘世超,  主治医师,中医科,中医儿科,德州市宁津县中医院,9.9,434,,,￥20
28,胡怡超,  主治医师,中医科,中医儿科,安徽中医药大学第二附属医院,9.9,34,,￥25,
29,戴紫英,  主治医师,中医科,中医儿科,祁门县中医医院,10.0,4244,,￥20,
30,丁丽凤,  副主任医师,中医科,中医儿科,上海儿童医学中心,9.9,1010,,,￥159
31,欧阳学认,  主治医师,中医科,中医儿科,广州中医药大学第一附属医院,9.8,431,专家团队,￥30,￥100
32,唐勤勤,  副主任中医师,中医科,中医儿科,绍兴市中医院,9.9,122,,￥25,
33,邹丽萍,  主任医师,中医科,中医儿科,长春市中医院,10.0,672,,￥30,
34,王广洋,  主治医师,中医科,中医儿科,长兴县中医院,9.8,538,,￥20,
35,刘新红,  主治医师,中医科,中医儿科,德州市中医院,9.5,11,,￥30,￥90
36,李春玲,  住院医师,中医科,中医儿科,肥城市中医医院,,22,,￥10,
37,朱先康,  主任医师,中医科,中医儿科,江苏省中医院,9.8,248,专家团队,￥40,
38,乐芹,  主任医师,中医科,中医儿科,湖北省中医院,9.8,206,,￥30,￥30
39,钱雄,  副主任中医师,中医科,中医儿科,嘉兴市中医医院,9.8,51,,￥38,￥100
40,万良鑫,  主治医师,中医科,中医儿科,宜昌市夷陵区妇幼保健院,,2,,￥50,￥20
41,肖晓岚,  主治医师,中医科,中医儿科,广东省中医院大德路总院,9.9,648,专家团队,￥45,￥300
42,赖东兰,  主任中医师,中医科,中医儿科,广州中医药大学第一附属医院,9.8,149,专家团队,￥80,
43,王欣,  主治医师,中医科,中医儿科,天津市南开医院,10.0,1426,,￥30,￥100
44,任素琼,  副主任医师,中医科,中医儿科,佛山市中医院,10.0,3245,,,￥80
45,李彦昕,  主治医师,中医科,中医儿科,广东省中医院大德路总院,9.4,34,,￥200,
46,曾莺,  主任医师,中医科,中医儿科,佛山市中医院,9.9,202,,￥45,￥100
47,黄勋,  主治医师,中医科,中医儿科,上海市宝山区中西医结合医院,10.0,20,,￥20,
48,黄人英,  主治医师,中医科,中医儿科,南京市妇幼保健院,10.0,30,,￥30,
49,张冲,  住院医师,中医科,中医儿科,鸡泽县中医院,,2,,￥15,
50,李文香,  副主任医师,中医科,中医儿科,汾西县人民医院,,1,,￥20,
51,胡彬文,  副主任中医师,中医科,中医儿科,广东省中医院大德路总院,9.9,393,,￥79,￥79
52,宋玉莹,  主治医师,中医科,中医儿科,山东青岛中西医结合医院,10.0,159,,￥20,
53,刘博,  副主任中医师,中医科,中医儿科,抚顺市中医院,10.0,300,,￥50,￥50
54,陈艳洋,  副主任中医师,中医科,中医儿科,佛山市中医院,10.0,163,,,￥80
55,戴启刚,  副主任医师,中医科,中医儿科,江苏省中医院,9.9,154,,￥32,
56,隋鲁英,  主任医师,中医科,中医儿科,德州市宁津县中医院,10.0,24,,￥30,￥60
