,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,黄闰月,  主任医师,中医科,中医免疫内科,广东省中医院大学城医院,10.0,936,专家团队,￥199,￥800
1,孔祥民,  副主任医师,中医科,中医免疫内科,济宁市中医院,,2,,￥30,￥50
2,陈哲,  副主任医师,中医科,中医免疫内科,华中科技大学同济医学院附属同济医院,10.0,39,,￥30,
3,薛鸾,  主任医师,中医科,中医免疫内科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.6,1548,,￥150,￥300
4,刘孟渊,  主任医师,中医科,中医免疫内科,广州市中医院,,8,,￥80,￥50
5,王常明,  主治医师,中医科,中医免疫内科,中国人民解放军联勤保障部队第962医院,10.0,102,,￥35,￥180
6,井雨,  主治医师,中医科,中医免疫内科,河北医科大学第一医院,,5,,￥30,
7,杨昭颖,  主治中医师,中医科,中医免疫内科,潍坊市中医院,10.0,11,专家团队,￥30,
8,邓兆智,  主任医师,中医科,中医免疫内科,广东省中医院大德路总院,8.9,333,专家团队,￥200,
9,田杰,  主治医师,中医科,中医免疫内科,沧州市人民医院,,1,,￥10,
10,茅建春,  主任医师,中医科,中医免疫内科,上海中医药大学附属龙华医院,9.6,255,专家团队,￥100,
11,兰培敏,  主任医师,中医科,中医免疫内科,十堰市太和医院,9.9,52,,￥30,
12,顾军花,  主任医师,中医科,中医免疫内科,上海中医药大学附属龙华医院,9.7,971,专家团队,￥81,￥318
13,纪伟,  主任医师,中医科,中医免疫内科,江苏省中医院,9.8,67,,￥200,
14,姜萍,  主任医师,中医科,中医免疫内科,山东中医药大学附属医院,9.9,76,专家团队,￥30,
15,邬亚军,  副主任医师,中医科,中医免疫内科,解放军联勤保障部队第903医院,10.0,15,,￥30,
16,陈正,  住院医师,中医科,中医免疫内科,新余市人民医院,10.0,14,,￥20,
17,王玉,  副主任医师,中医科,中医免疫内科,华中科技大学同济医学院附属同济医院,9.9,1075,,￥30,￥150
18,周定华,  主任中医师,中医科,中医免疫内科,常州市中医医院,9.7,25,,￥30,
19,张玉兰,  副主任医师,中医科,中医免疫内科,青海省中医院,9.9,139,,￥20,￥100
