,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,杨明炜,  主任医师,中医科,中医内分泌科,华中科技大学同济医学院附属同济医院,9.9,2583,,￥30,
1,陶西凯,  副主任医师,中医科,中医内分泌科,汉中市中医医院,10.0,124,,￥30,￥30
2,张英泽,  副主任医师,中医科,中医内分泌科,保定市第一中医院,10.0,4478,,￥20,
3,江涛,  主治医师,中医科,中医内分泌科,上海中医药大学附属曙光医院西院,10.0,419,,￥30,￥100
4,刘晓,  主治医师,中医科,中医内分泌科,蓬莱市中医医院,10.0,80,,￥38,￥200
5,刘金玲,  主任医师,中医科,中医内分泌科,潍坊市中医院,10.0,170,,￥30,
6,于一江,  主任医师,中医科,中医内分泌科,淮安市中医院,9.9,186,,￥30,￥60
7,马尧,  副主任医师,中医科,中医内分泌科,辽宁省中医药研究院,10.0,13,,￥40,
8,陈清光,  副主任医师,中医科,中医内分泌科,上海中医药大学附属曙光医院东院,10.0,573,,￥60,￥200
9,徐东兴,  主治医师,中医科,中医内分泌科,蓬莱市中医医院,10.0,189,,￥30,
10,朱国茹,  主任医师,中医科,中医内分泌科,辽宁中医药大学附属医院,,19,,￥30,
11,黄皓月,  副主任医师,中医科,中医内分泌科,广东省中医院大德路总院,9.6,226,,￥20,
12,任明,  副主任医师,中医科,中医内分泌科,天津市中医药研究院附属医院,,12,,￥20,
13,李艳,  主治医师,中医科,中医内分泌科,德州市宁津县中医院,10.0,168,,￥30,￥50
14,李晓通,  主治医师,中医科,中医内分泌科,天津市南开医院,10.0,83,,￥10,
15,李艳颖,  主治医师,中医科,中医内分泌科,天津市南开医院,10.0,485,,￥20,
16,陈世波,  主任医师,中医科,中医内分泌科,中国中医科学院广安门医院,10.0,10,,￥150,
17,许惠玲,  主任医师,中医科,中医内分泌科,徐州市中医院,10.0,37,,￥20,
18,金哲,  主治中医师,中医科,中医内分泌科,辽宁省中医药研究院,,2,,￥30,
19,熊莉华,  主任医师,中医科,中医内分泌科,广东省中医院大德路总院,9.7,1802,专家团队,￥100,
20,姚定国,  主任医师,中医科,中医内分泌科,浙江省中医院,9.8,109,专家团队,￥50,￥100
21,许梦君,  副主任中医师,中医科,中医内分泌科,湖南省直中医医院,10.0,210,,￥30,
22,陈东光,  住院医师,中医科,中医内分泌科,广东省第二中医院,10.0,12,专家团队,￥30,
23,王正国,  主任医师,中医科,中医内分泌科,庆阳市中医医院,,1,,￥30,
24,龚光明,  主任中医师,中医科,中医内分泌科,成都中医药大学附属医院,10.0,239,专家团队,￥40,
25,黄东辉,  主治医师,中医科,中医内分泌科,吉林省中医药科学院第一临床医院,10.0,732,,￥10,
26,赵志祥,  副主任医师,中医科,中医内分泌科,广州市中医院,10.0,24,,￥30,
27,李慧枝,  副主任医师,中医科,中医内分泌科,广州市中医院,9.8,30,,￥45,
28,刘天,  主任中医师,中医科,中医内分泌科,佛山市中医院,10.0,638,,￥68,￥80
29,毕建璐,  副主任医师,中医科,中医内分泌科,广东省第二中医院,10.0,50,专家团队,￥30,
30,裴迅,  副主任医师,中医科,中医内分泌科,湖北省中医院,10.0,151,专家团队,￥30,
31,李伟令,  主治医师,中医科,中医内分泌科,枣庄市中医医院,10.0,77,,￥30,
32,苗林艳,  副主任医师,中医科,中医内分泌科,威海市中医院,10.0,244,专家团队,￥40,
33,吕德,  主治医师,中医科,中医内分泌科,成都中医药大学附属医院,10.0,1523,,￥30,
34,施剑,  主任医师,中医科,中医内分泌科,辽宁中医药大学附属医院,10.0,6,,￥80,
35,曹莹,  副主任医师,中医科,中医内分泌科,潍坊市中医院,10.0,63,,￥20,
36,李莉,  主任医师,中医科,中医内分泌科,云南省中医医院,,7,,￥30,
37,陶乐维,  副主任医师,中医科,中医内分泌科,上海中医药大学附属曙光医院东院,9.8,225,,￥100,￥200
38,段玉红,  副主任医师,中医科,中医内分泌科,陕西中医药大学附属医院,10.0,166,专家团队,￥30,
39,薛婧,  主治医师,中医科,中医内分泌科,天津市南开医院,9.9,164,,￥10,
40,周婵媛,  主治医师,中医科,中医内分泌科,辽宁中医药大学附属医院,10.0,131,,￥30,
41,方志辉,  副主任医师,中医科,中医内分泌科,广州中医药大学第一附属医院,10.0,15,,￥30,
42,尤晓珂,  主治医师,中医科,中医内分泌科,郑州人民医院,10.0,13,,￥30,
43,张灵建,  副主任医师,中医科,中医内分泌科,临安市中医院,10.0,12,,￥50,￥80
44,王晓丽,  副主任医师,中医科,中医内分泌科,龙口市中医医院,10.0,39,,￥30,
45,王平,  主治医师,中医科,中医内分泌科,湖北省中医院(光谷院区),10.0,73,,￥20,￥100
46,林旋,  主任中医师,中医科,中医内分泌科,佛山市中医院,10.0,15,,￥50,
47,高少才,  副主任医师,中医科,中医内分泌科,陕西省中医医院,,8,,￥18,
48,麦伟华,  副主任医师,中医科,中医内分泌科,佛山市中医院,10.0,2408,,￥50,￥80
49,谢晓月,  主治医师,中医科,中医内分泌科,本溪市中医院,10.0,153,,￥30,
50,许祥云,  副主任医师,中医科,中医内分泌科,福州市中医院,10.0,15,,￥50,
51,陈燕珊,  主治医师,中医科,中医内分泌科,广州市中医院,10.0,26,,￥30,
52,秦棱,  主治医师,中医科,中医内分泌科,广州市中医院,10.0,13,,￥30,
53,韩松林,  主治医师,中医科,中医内分泌科,驻马店市中医院,,3,,￥30,
54,张敏,  主任中医师,中医科,中医内分泌科,上海固生堂同保康中医门诊部【膏方】,9.8,559,专家团队,￥50,
55,周玉,  主治医师,中医科,中医内分泌科,天津医科大学代谢病医院,9.9,210,,￥15,￥100
56,许文文,  住院医师,中医科,中医内分泌科,黄河三门峡医院,10.0,136,,￥30,
57,杨升杰,  主任医师,中医科,中医内分泌科,安徽中医药大学第一附属医院,9.9,1514,,￥30,￥50
58,王晶,  主任医师,中医科,中医内分泌科,广东省中医院大德路总院,9.7,709,,￥60,
59,涂欢,  主治医师,中医科,中医内分泌科,安康市中医医院,10.0,83,,￥30,
60,赵玲,  主任医师,中医科,中医内分泌科,广东省中医院大德路总院,9.1,48,,￥100,
61,扈丽萍,  主治医师,中医科,中医内分泌科,天津中医药大学第二附属医院,10.0,28,,￥10,
62,陈煜宇,  主治医师,中医科,中医内分泌科,福建省第二人民医院,10.0,13,,￥30,
