,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,关山月,  主治医师,中医科,中医内科,中国中医科学院广安门医院南区,,140,,￥20,
1,张月美,  主任医师,中医科,中医内科,济宁市中医院,10.0,15340,,￥30,
2,张汉庆,  主任医师,中医科,中医内科,武汉市中医医院,9.9,5485,,￥60,￥120
3,刘晓晨,  主治中医师,中医科,中医内科,中国中医科学院广安门医院南区,9.9,1137,,￥20,￥39
4,吴秋枫,  主任医师,中医科,中医内科,武汉科技大学附属天佑医院,10.0,3590,专家团队,￥30,￥50
5,杨晓琳,  主治医师,中医科,中医内科,天津医科大学第二医院,10.0,21300,,￥15,
6,孙红平,  副主任医师,中医科,中医内科,新疆生产建设兵团第一师医院,10.0,5037,,￥40,
7,高鹏,  主任中医师,中医科,中医内科,扬州市中医院,9.8,10090,,￥120,￥180
8,刘骁,  主治医师,中医科,中医内科,泰安市中医医院,10.0,25780,,￥5,￥35
9,杨芳勇,  主治中医师,中医科,中医内科,复旦大学附属华山医院,10.0,482,,￥30,￥100
10,李琴,  主任医师,中医科,中医内科,青海省中医院,10.0,7026,专家团队,￥50,￥100
11,李娟,  副主任医师,中医科,中医内科,甘肃中医药大学附属医院,10.0,1803,,￥10,￥50
12,黄宗文,  副主任医师,中医科,中医内科,海南医学院第一附属医院,10.0,2451,,￥20,
13,汪辛强,  主治医师,中医科,中医内科,湖南中医药大学第一附属医院,9.9,3970,,￥20,￥40
14,李守霞,  副主任医师,中医科,中医内科,中国建筑第二工程局职工医院,10.0,333930,,￥32,
15,赵乐乐,  主治医师,中医科,中医内科,肥城市中医医院,10.0,17679,,￥0,
16,陈远,  主治医师,中医科,中医内科,普洱市中医医院,8.7,109,,￥15,￥30
17,张传英,  主治医师,中医科,中医内科,天津和平微医医院,10.0,14848,,￥15,￥30
18,尹德海,  主任医师,中医科,中医内科,北京协和医院,9.3,11,,￥100,￥500
19,姜惠敏,  主治医师,中医科,中医内科,北京中医医院,10.0,554,,￥50,
20,郑烈,  副主任医师,中医科,中医内科,陕西省中医医院,9.7,2003,,￥60,￥60
21,赵鹏,  主治医师,中医科,中医内科,肥城市中医医院,9.9,1722,,￥10,￥39
22,干正,  主治医师,中医科,中医内科,上海长海医院,10.0,2799,,￥39,￥100
23,杜天武,  主治中医师,中医科,中医内科,陇南市第一人民医院,9.8,4693,,￥20,￥39
24,杨葛亮,  主治医师,中医科,中医内科,中国人民解放军总医院301医院,10.0,4658,,￥50,￥55
25,周洁,  副主任医师,中医科,中医内科,青岛大学附属医院市南院区,10.0,1869,专家团队,￥39,￥80
26,王强,  主任医师,中医科,中医内科,天津中医药大学第二附属医院,10.0,583,,￥50,￥50
27,高勇,  主治中医师,中医科,中医内科,芜湖市中医医院,10.0,1275,,￥30,￥30
28,王建伟,  主治医师,中医科,中医内科,北京中医药大学东直门医院,10.0,3947,,￥36,￥50
29,路美娟,  副主任医师,中医科,中医内科,天津和平微医医院,10.0,1358,,￥20,￥30
30,袁镯,  主治医师,中医科,中医内科,潍坊市中医院,9.9,1018,,￥20,￥20
31,王续增,  主治医师,中医科,中医内科,肥城市中医医院,9.6,434,,￥20,￥50
32,刘宝君,  副主任医师,中医科,中医内科,复旦大学附属华山医院,10.0,845,,￥100,
33,秦磊,  主治医师,中医科,中医内科,泰州市中医院(东院),10.0,9592,,￥30,￥30
34,闫瑢玓,  副主任医师,中医科,中医内科,山东中医药大学第二附属医院,9.9,571,,￥30,
35,薛武,  住院医师,中医科,中医内科,肥城市中医医院,10.0,6258,,￥20,￥50
36,戴嵩,  主治医师,中医科,中医内科,泰州市中医院(东院),10.0,1558,,￥20,
37,敬娜,  住院医师,中医科,中医内科,佛山市中医院,,2,,￥20,
38,刘丰,  副主任医师,中医科,中医内科,广东省中医院大德路总院,8.8,1222,专家团队,￥80,￥200
39,刘俊峰,  副主任中医师,中医科,中医内科,广东省中医院大德路总院,9.9,4167,专家团队,￥100,
40,卢芙蓉,  副主任医师,中医科,中医内科,华中科技大学同济医学院附属协和医院,10.0,196,,￥20,
41,陆征宇,  主任医师,中医科,中医内科,上海中医药大学附属龙华医院,9.9,78,,￥196,￥586
42,饶文斌,  主治医师,中医科,中医内科,南丰县中医院,10.0,22464,,￥20,￥20
43,于洋,  主治医师,中医科,中医内科,北京市昌平区中西医结合医院,,3,,￥20,
44,许瑞青,  副主任医师,中医科,中医内科,天津和平微医医院,,1,,￥20,
45,侯春光,  副主任中医师,中医科,中医内科,天津和平微医医院,,2,,￥20,
46,黄闰月,  主任医师,中医科,中医内科,广东省中医院大德路总院,10.0,936,专家团队,￥199,￥800
47,徐鹏,  副主任医师,中医科,中医内科,广东省中医院大德路总院,9.5,114,专家团队,￥50,￥200
48,张怡静,  副主任医师,中医科,中医内科,天津市中医药研究院附属医院,10.0,5439,,￥20,￥100
49,刘涛,  主治医师,中医科,中医内科,中国人民武装警察部队特色医学中心,10.0,3666,,￥20,￥39
50,陈楚杰,  副主任医师,中医科,中医内科,广州中医药大学第一附属医院,9.9,183,,￥39,
51,张亚瑞,  副主任医师,中医科,中医内科,天津和平微医医院,10.0,622,,￥50,
52,刘向津,  副主任医师,中医科,中医内科,天津和平微医医院,10.0,302,,￥50,￥20
53,张红英,  主治医师,中医科,中医内科,乌镇国医馆中医门诊部,10.0,76162,,￥20,￥39
54,任小旦,  主治医师,中医科,中医内科,重庆新桥医院,10.0,1793,,￥20,
55,刘小博,  主治医师,中医科,中医内科,宝鸡市渭滨区中医医院,10.0,18938,,￥30,￥39
