,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,王培,  主治医师,中医科,中医呼吸科,潍坊市中医院,9.9,511,,￥30,
1,李建武,  副主任医师,中医科,中医呼吸科,鹤壁市人民医院,10.0,88216,专家团队,￥25,
2,韩根鹏,  主治医师,中医科,中医呼吸科,潍坊市中医院,10.0,3711,,￥30,
3,毛娅,  主治医师,中医科,中医呼吸科,安康市中医医院,9.9,777,专家团队,￥30,￥200
4,张怡千,  主治医师,中医科,中医呼吸科,成都市第一人民医院,10.0,942,,￥30,
5,刘耕涛,  住院医师,中医科,中医呼吸科,山东省第二人民医院（山东省耳鼻喉医院）,10.0,11,,￥20,￥100
6,张兴,  主治医师,中医科,中医呼吸科,上海中医药大学附属曙光医院东院,10.0,58,,￥60,
7,郭新超,  主治中医师,中医科,中医呼吸科,黄冈市中医医院,10.0,68,,￥20,￥50
8,王国力,  副主任中医师,中医科,中医呼吸科,辽宁中医药大学附属医院,10.0,1736,专家团队,￥200,
9,李耀辉,  主任医师,中医科,中医呼吸科,陕西省中医医院,10.0,5043,,￥40,
10,罗文静,  主任医师,中医科,中医呼吸科,成都中医药大学附属医院,9.9,303,,￥100,￥100
11,徐春秀,  副主任医师,中医科,中医呼吸科,涿州市中医院,10.0,167,,￥20,
12,王欠欠,  住院医师,中医科,中医呼吸科,天津中医药大学第二附属医院,,4,,￥20,
13,范长秋,  主任医师,中医科,中医呼吸科,利川市民族中医院,10.0,130,,￥96,
14,许伟伟,  主治医师,中医科,中医呼吸科,日照市中医医院,,1,,￥30,
15,李志军,  副主任医师,中医科,中医呼吸科,浙江省浙江医院,10.0,101,,￥30,
16,安航,  主治中医师,中医科,中医呼吸科,河北医科大学附属以岭医院,,3,,￥30,
17,汤翠英,  主任医师,中医科,中医呼吸科,广东省中医院芳村分院,8.8,6,,￥80,
18,黄林君,  主治医师,中医科,中医呼吸科,高州市中医院,9.9,30,,￥10,
19,曹鲁豫,  主任医师,中医科,中医呼吸科,天津市中医药研究院附属医院,,7,,￥30,
20,刘光胜,  主治医师,中医科,中医呼吸科,临沂市中医医院,,4,,￥20,
21,刘伟,  副主任医师,中医科,中医呼吸科,天津中医药大学第二附属医院,,4,,￥20,
22,刘梦瑶,  主治中医师,中医科,中医呼吸科,西安市中医医院,,5,,￥30,
23,罗国东,  主治医师,中医科,中医呼吸科,广东省干部保健中心,10.0,963,,￥20,
24,徐贵华,  副主任医师,中医科,中医呼吸科,上海中医药大学附属曙光医院西院,9.8,285,,￥50,￥200
25,贾铭翰,  主治中医师,中医科,中医呼吸科,河北医科大学附属以岭医院,,2,,￥20,
26,高裕盛,  主治医师,中医科,中医呼吸科,常熟市中医院,10.0,13,,￥30,
27,梁文华,  副主任医师,中医科,中医呼吸科,青岛市海慈医疗集团,9.9,24,专家团队,￥50,
28,郭思佳,  副主任医师,中医科,中医呼吸科,天津中医药大学第二附属医院,9.7,74,,￥20,
29,吴亚硕,  住院医师,中医科,中医呼吸科,镇平县人民医院,,2,,￥20,￥15
30,许银姬,  主任医师,中医科,中医呼吸科,广东省中医院大德路总院,9.4,439,专家团队,￥200,
31,周大勇,  主任医师,中医科,中医呼吸科,安徽中医药大学第一附属医院,,29,,,￥200
32,凌书策,  住院医师,中医科,中医呼吸科,北京中医药大学东直门医院,10.0,32,,￥30,
33,张红,  医师,中医科,中医呼吸科,陕西省中医医院,,13,,￥20,
34,郭美珠,  副主任中医师,中医科,中医呼吸科,上海市宝山区中西医结合医院,10.0,11,,￥30,
35,黎晓莉,  副主任医师,中医科,中医呼吸科,广元市第二人民医院,10.0,8,,￥30,
36,巩强进,  主治医师,中医科,中医呼吸科,安徽中医药大学第一附属医院,10.0,61,,￥30,
37,杨江成,  主治医师,中医科,中医呼吸科,海阳市中医医院,10.0,412,,￥10,
38,陈远彬,  副主任医师,中医科,中医呼吸科,广东省中医院大德路总院,9.9,174,,￥100,
39,徐一辛,  副主任医师,中医科,中医呼吸科,常熟市中医院,10.0,19,,￥20,
40,陈燕,  主任医师,中医科,中医呼吸科,中日友好医院,10.0,96,,￥200,￥300
41,王小伟,  主治医师,中医科,中医呼吸科,浙江中医药大学附属第三医院莫干山路院区,10.0,46,,￥20,￥40
42,李钊,  主治中医师,中医科,中医呼吸科,河北医科大学附属以岭医院,,4,,￥30,
43,孟广松,  副主任医师,中医科,中医呼吸科,北京中医医院,9.9,84,,￥160,￥300
44,宋天云,  副主任医师,中医科,中医呼吸科,江门市五邑中医院,10.0,5,专家团队,￥30,
45,唐斌擎,  副主任医师,中医科,中医呼吸科,上海市中医医院石门路院区,9.7,638,,￥40,￥120
46,杨继兵,  主任医师,中医科,中医呼吸科,江苏省中医院,9.7,475,,￥50,￥100
47,李成辉,  主治医师,中医科,中医呼吸科,广东省中医院大德路总院,9.5,1243,专家团队,￥30,
48,张建伟,  主治医师,中医科,中医呼吸科,湖南中医药大学第二附属医院,9.2,16,,￥30,
49,王慧贤,  主治医师,中医科,中医呼吸科,广东省中医院珠海医院,9.8,526,,￥30,
50,李晓丰,  住院医师,中医科,中医呼吸科,青龙满族自治县中医院,,4,,￥15,
51,荣毅,  副主任医师,中医科,中医呼吸科,中国中医科学院广安门医院,9.5,46,专家团队,￥100,￥200
52,冯毅,  主任医师,中医科,中医呼吸科,湖北省中医院,10.0,117,专家团队,￥80,
53,罗玉君,  副主任医师,中医科,中医呼吸科,广东省中医院大德路总院,9.8,698,,,
54,赵杜鹃,  主任医师,中医科,中医呼吸科,上海市中医医院石门路院区,9.7,564,,￥150,
55,苏芮,  主治医师,中医科,中医呼吸科,北京中医医院,10.0,31,,￥50,
56,周继朴,  主任医师,中医科,中医呼吸科,北京中医医院,10.0,40,,￥100,
57,龙成琴,  主任医师,中医科,中医呼吸科,成都市第一人民医院,,5,专家团队,,
58,李猛,  副主任医师,中医科,中医呼吸科,陕西省中医医院,,3,专家团队,￥50,
59,徐芳,  副主任医师,中医科,中医呼吸科,武汉市第一医院,,8,,￥30,
60,谈馨媛,  副主任医师,中医科,中医呼吸科,广东省中医院大德路总院,9.9,14,,￥30,
61,陈旋,  副主任医师,中医科,中医呼吸科,上海中医药大学附属曙光医院东院,,10,,￥60,
62,李同新,  主任医师,中医科,中医呼吸科,陕西省中医医院,8.9,73,,￥30,
63,蔡元培,  副主任医师,中医科,中医呼吸科,盐城市中医院,9.9,82,,￥40,
64,许坚,  主任中医师,中医科,中医呼吸科,广东省中医院大德路总院,9.3,6,,￥100,
65,艾健,  副主任中医师,中医科,中医呼吸科,秦皇岛市中医院,,3,,￥20,
66,王春娥,  副主任医师,中医科,中医呼吸科,福建省第二人民医院,10.0,10,,￥20,
67,王媛媛,  主治医师,中医科,中医呼吸科,广东省中医院大德路总院,,53,,￥50,
68,李媛,  主治医师,中医科,中医呼吸科,北京中医药大学东直门医院通州院区,,7,,￥30,
69,张慧,  副主任医师,中医科,中医呼吸科,甘肃省中医院,,5,专家团队,￥20,
70,林杏华,  住院医师,中医科,中医呼吸科,广东省中医院大学城医院,,7,,￥20,
71,马家驹,  副主任医师,中医科,中医呼吸科,北京中医医院,10.0,80,,￥150,
72,冯原,  副主任医师,中医科,中医呼吸科,广西中医药大学附属瑞康医院,10.0,8,,￥30,
73,于健健,  住院医师,中医科,中医呼吸科,山东中医药大学第二附属医院,,3,,￥20,
74,文朝令,  副主任医师,中医科,中医呼吸科,利川市民族中医院,,2,,￥20,
75,李风森,  主任医师,中医科,中医呼吸科,新疆维吾尔自治区中医医院,9.8,41,专家团队,￥50,
76,皮新苗,  主治医师,中医科,中医呼吸科,广东省中医院珠海医院,10.0,82,,￥30,
77,洪超煜,  住院医师,中医科,中医呼吸科,安康市中医医院,,3,,￥20,
78,安玉芬,  主治医师,中医科,中医呼吸科,甘肃省中医院,10.0,73,专家团队,￥30,
79,杨勋超,  主治医师,中医科,中医呼吸科,中国中医科学院广安门医院南区,10.0,7,,￥40,
80,陈石,  副主任医师,中医科,中医呼吸科,江苏省中医院,,7,,￥25,
81,林琳,  主任医师,中医科,中医呼吸科,广东省中医院大德路总院,8.8,148,,￥350,￥350
82,李高文,  副主任医师,中医科,中医呼吸科,湖北省中医院,10.0,23,专家团队,￥50,
83,刘渊,  主任医师,中医科,中医呼吸科,成都中医药大学附属医院,,4,,￥70,
84,周进,  主治中医师,中医科,中医呼吸科,秦皇岛市中医院,,1,,￥30,
85,关秋红,  主任医师,中医科,中医呼吸科,北京中医药大学东直门医院,10.0,19,,￥100,
86,符丽,  主治医师,中医科,中医呼吸科,广东省中医院大德路总院,9.0,295,专家团队,￥30,
87,王步青,  副主任医师,中医科,中医呼吸科,山西中医学院附属医院,9.4,2,,￥40,
88,郝志晔,  主治医师,中医科,中医呼吸科,中国中医科学院广安门医院南区,,0,,￥20,
89,钟丹,  副主任医师,中医科,中医呼吸科,成都中医药大学附属医院,,2,,￥30,
90,屈小元,  主任医师,中医科,中医呼吸科,陕西省中医医院,,3,,￥50,
