,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,任明,  主任医师,中医科,中医外科,江苏省中医院,10.0,1277,,￥38,
1,程斌,  主治医师,中医科,中医外科,济南市中西医结合医院,9.7,20299,,￥20,￥200
2,李炯,  主任医师,中医科,中医外科,上海中医药大学附属龙华医院,9.9,421,专家团队,￥50,
3,梁栋,  主任医师,中医科,中医外科,山东中医药大学附属医院,,3,专家团队,￥31,
4,曹荣华,  主任医师,中医科,中医外科,广东省中医院大学城医院,9.6,35,,￥30,
5,周敏杰,  主治医师,中医科,中医外科,上海市中西医结合医院,10.0,2731,专家团队,￥20,￥200
6,蔡文怡,  主治医师,中医科,中医外科,上海市中西医结合医院,10.0,1219,,￥30,￥50
7,侯玉芬,  主任医师,中医科,中医外科,山东中医药大学附属医院,10.0,292,,￥200,
8,李云涛,  副主任医师,中医科,中医外科,天津医院,10.0,841,,￥15,￥50
9,金鑫,  副主任医师,中医科,中医外科,枣庄市中医医院,10.0,55,,￥150,￥40
10,彭程,  主治医师,中医科,中医外科,龙岩市中医院,,5,,￥5,￥20
11,王元成,  主治医师,中医科,中医外科,上海中医药大学附属曙光医院西院,10.0,12,,￥21,
12,白富梁,  主治医师,中医科,中医外科,济南市中西医结合医院,9.9,17844,,￥200,￥80
13,韩光勋,  主任医师,中医科,中医外科,哈尔滨市阿城区中医医院,,3,,￥50,
14,赵铁华,  副主任医师,中医科,中医外科,甘肃省中医院,10.0,48,专家团队,￥40,￥100
15,贺友,  主治医师,中医科,中医外科,佛山市中医院,,2,,￥20,
16,陈放,  主治医师,中医科,中医外科,天津市东丽区中医医院,,1,,￥10,
17,徐丽英,  副主任医师,中医科,中医外科,上海市中西医结合医院,10.0,117,,￥40,￥300
18,黄何尘,  主治医师,中医科,中医外科,上海中医药大学附属曙光医院西院,10.0,7,,￥20,
19,余奎,  副主任医师,中医科,中医外科,上海中医药大学附属龙华医院,,5,,￥200,￥500
20,吴包金,  副主任医师,中医科,中医外科,复旦大学附属华山医院,9.8,2070,专家团队,￥20,￥100
21,郭冬冬,  主治医师,中医科,中医外科,上海中医药大学附属曙光医院东院,10.0,138,,￥15,￥50
22,崔乾,  主治医师,中医科,中医外科,梁山县中医院,10.0,3736,,￥20,
23,刘琪,  住院医师,中医科,中医外科,潍坊市中医院,10.0,50,专家团队,￥15,
