,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,刘艳娟,  副主任医师,中医科,中医妇产科,华中科技大学同济医学院附属同济医院,9.8,1052,,￥30,
1,朱东方,  主任医师,中医科,中医妇产科,佛山市中医院,10.0,3902,,￥50,￥100
2,董伦燕,  主治医师,中医科,中医妇产科,广东省中医院二沙岛分院,9.7,12,专家团队,￥10,
3,谭淑玲,  副主任医师,中医科,中医妇产科,威海市中医院,9.9,1677,,￥25,
4,赵文洁,  副主任医师,中医科,中医妇产科,复旦大学附属妇产科医院黄浦院区,9.4,3616,专家团队,￥350,
5,彭潇,  主治医师,中医科,中医妇产科,广东省中医院芳村分院,10.0,157,,￥20,
6,杨军,  主任医师,中医科,中医妇产科,温州市中心医院,,3,,￥100,
7,肖风娟,  主任医师,中医科,中医妇产科,陕西省中医医院,9.8,2872,专家团队,￥50,
8,魏美娟,  副主任医师,中医科,中医妇产科,复旦大学附属妇产科医院黄浦院区,8.7,58,专家团队,￥98,
9,孙娟,  副主任医师,中医科,中医妇产科,广东省中医院大德路总院,10.0,1314,,￥60,
10,王晓轶,  主治医师,中医科,中医妇产科,中国福利会国际和平妇幼保健院,10.0,1854,,￥39,￥200
11,曹晓静,  副主任中医师,中医科,中医妇产科,广东省中医院二沙岛分院,9.9,770,,￥99,￥199
12,庞俏茹,  副主任医师,中医科,中医妇产科,佛山市中医院,10.0,1388,,,￥200
13,倪有花,  主治医师,中医科,中医妇产科,丽水微医互联网医院,10.0,10553,,￥30,￥50
14,叶翠芬,  副主任中医师,中医科,中医妇产科,佛山市中医院,10.0,2638,,￥20,￥80
15,范小艳,  副主任医师,中医科,中医妇产科,长沙市中医医院,,15,,￥30,
16,郑舒允,  副主任中医师,中医科,中医妇产科,肇庆市端州区妇幼保健院,,158,,￥20,
17,陈蓉,  主任医师,中医科,中医妇产科,广东省中医院大德路总院,8.5,817,专家团队,￥100,
18,钱如云,  主任医师,中医科,中医妇产科,江苏省中西医结合医院,9.9,96,,￥35,
19,王华英,  主治医师,中医科,中医妇产科,威县中医院,10.0,3058,,￥18,
20,倪爽,  副主任医师,中医科,中医妇产科,上海中医药大学附属龙华医院,9.9,2121,,￥80,￥180
