,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,敬娜,  住院医师,中医科,中医康复医学科,佛山市中医院,,2,,￥20,
1,李良芳,  主治医师,中医科,中医康复医学科,广东省中医院大德路总院,,140,,￥20,
2,赵洪,  主任医师,中医科,中医康复医学科,常州市中医医院,9.9,458,,￥60,￥50
3,孟凡萍,  主治医师,中医科,中医康复医学科,上海市第七人民医院,10.0,1375,,￥30,
4,徐秀梅,  副主任医师,中医科,中医康复医学科,甘肃省中医院,10.0,391,专家团队,￥25,￥200
5,刘威,  副主任医师,中医科,中医康复医学科,苏州市第九人民医院,10.0,675,,￥30,￥60
6,孔林,  主治医师,中医科,中医康复医学科,郑州市中医院,9.7,68,,￥30,
7,陈学亮,  住院医师,中医科,中医康复医学科,郏县中医院,,3,,￥20,
8,刘迪生,  主治医师,中医科,中医康复医学科,天津中医药大学第一附属医院,10.0,55,,￥20,
9,刘晓敏,  主治医师,中医科,中医康复医学科,天津中医药大学第二附属医院,10.0,32,,￥15,
10,马建强,  副主任医师,中医科,中医康复医学科,北京儿童医院,10.0,11,,￥100,
11,高益,  主任中医师,中医科,中医康复医学科,常州市中医医院,9.7,40,,￥50,￥200
12,于海龙,  主治医师,中医科,中医康复医学科,天津中医药大学第一附属医院,10.0,6,,￥10,
13,熊莉华,  主任医师,中医科,中医康复医学科,广东省中医院大德路总院,9.7,1802,专家团队,￥100,
14,安恒,  主治医师,中医科,中医康复医学科,淳安县中医院,10.0,2941,,￥200,
15,赵玉生,  主治医师,中医科,中医康复医学科,天津中医药大学第一附属医院,10.0,848,,￥10,
16,焦祖斌,  副主任医师,中医科,中医康复医学科,建始县人民医院,,4,,￥30,
17,洪红,  主治医师,中医科,中医康复医学科,金华市中医院,,2,,￥30,
18,陈劲松,  副主任医师,中医科,中医康复医学科,常州市中医医院,9.6,79,,￥30,￥50
19,蒋龙龙,  主治中医师,中医科,中医康复医学科,天津市西青医院,10.0,230,,￥25,￥69
20,杨建,  主治医师,中医科,中医康复医学科,天津中医药大学第一附属医院,,4,,￥10,
21,苏瑜,  主治医师,中医科,中医康复医学科,天津中医药大学第一附属医院,10.0,6,,￥30,
22,杨本德,  主治医师,中医科,中医康复医学科,济南市第八人民医院,10.0,151,,￥20,
23,李飞,  主治中医师,中医科,中医康复医学科,天津市河西区中医医院,,11,,￥10,
24,吴思平,  主任医师,中医科,中医康复医学科,广东省中医院大德路总院,9.5,67,专家团队,￥200,
25,王瑾,  主治医师,中医科,中医康复医学科,陕西省中医医院,10.0,94,,￥15,
26,张红艳,  住院医师,中医科,中医康复医学科,淳安县中医院,10.0,1234,,￥5,
27,于佳妮,  住院医师,中医科,中医康复医学科,广东省中医院大德路总院,,4,,￥50,
28,贾瑞冬,  主治中医师,中医科,中医康复医学科,江苏省人民医院,10.0,6,,￥30,
29,王井泉,  副主任医师,中医科,中医康复医学科,长沙市中心医院,10.0,31,,￥20,￥80
30,贺玮苇,  主治医师,中医科,中医康复医学科,成都市双流区妇幼保健院,10.0,43,,￥10,￥20
31,罗裕国,  主治医师,中医科,中医康复医学科,黄梅县大河中心卫生院,,4,,￥30,
32,杨利,  主治医师,中医科,中医康复医学科,青海大学附属医院,,5,专家团队,￥20,￥50
33,杨森,  副主任中医师,中医科,中医康复医学科,辽宁中医药大学附属医院,10.0,20,专家团队,￥20,
34,蒿成亚,  住院医师,中医科,中医康复医学科,济宁市中医院,9.9,60,,￥15,
35,王秋生,  主治医师,中医科,中医康复医学科,河南省洛阳正骨医院,,3,,￥25,
36,肖洪波,  主任医师,中医科,中医康复医学科,安徽中医药大学第一附属医院,10.0,12,,￥80,
37,杨云涛,  主治中医师,中医科,中医康复医学科,河南中医学院第三附属医院,10.0,78,专家团队,￥30,￥200
38,孟兆军,  副主任医师,中医科,中医康复医学科,靖宇县中医院,10.0,7,,￥100,
39,陈超,  住院医师,中医科,中医康复医学科,新泰市第三人民医院,10.0,8,,￥10,
40,陈卓,  主治医师,中医科,中医康复医学科,浦北县人民医院,,1,,￥10,
41,关占泽,  住院医师,中医科,中医康复医学科,威县人民医院,10.0,543,,￥5,
42,高雪华,  主治医师,中医科,中医康复医学科,郑州市第一按摩医院,10.0,41,,￥10,
43,宋英杰,  主治医师,中医科,中医康复医学科,河南省洛阳正骨医院,10.0,486,专家团队,￥20,
44,董春璇,  住院医师,中医科,中医康复医学科,甘肃省中医院,,3,专家团队,￥15,
45,张春男,  副主任医师,中医科,中医康复医学科,黑龙江省医院香坊院区,,2,,￥10,
46,侯为林,  主任中医师,中医科,中医康复医学科,常州市中医医院,9.5,23,,￥60,￥50
47,张秀丹,  主治医师,中医科,中医康复医学科,福建中医药大学附属康复医院,,1,专家团队,￥30,
48,黄日龙,  副主任医师,中医科,中医康复医学科,安徽中医药大学第一附属医院,10.0,32,,￥80,
49,徐纯鑫,  住院医师,中医科,中医康复医学科,上海市养志康复医院,,3,,￥20,
50,崔丹丹,  主治医师,中医科,中医康复医学科,华中科技大学附属协和医院西院,10.0,7,,￥49,
51,康智,  主治中医师,中医科,中医康复医学科,佛山市中医院,9.8,377,,￥20,
52,赵亚琼,  住院医师,中医科,中医康复医学科,陕西省中医医院,,2,,￥30,
53,盛云姣,  主治医师,中医科,中医康复医学科,济南市中医医院,,8,,￥20,￥50
54,黄卓群,  主治医师,中医科,中医康复医学科,广东省中医院芳村分院,9.7,55,,￥30,
55,柯俊华,  主治医师,中医科,中医康复医学科,福建中医药大学附属康复医院,,1,,￥30,
56,张萍,  副主任医师,中医科,中医康复医学科,定西市第二人民医院,10.0,25,,￥20,
57,董凯峰,  住院医师,中医科,中医康复医学科,杭州萧山茶亭伤科医院,10.0,61,,￥1,￥0
58,王玉琢,  主治医师,中医科,中医康复医学科,莱钢集团莱芜矿业有限公司职工医院,9.9,46,,￥0,
59,文家渝,  医师,中医科,中医康复医学科,重庆大学附属三峡医院,,12,,,￥50
60,曾骋,  医师,中医科,中医康复医学科,潮州市中医医院,,3,,￥15,￥30
61,杨有为,  住院医师,中医科,中医康复医学科,济南市人民医院,,3,,￥30,
62,曾兰蕊,  主治中医师,中医科,中医康复医学科,甘肃省第二人民医院,,3,专家团队,￥10,
63,安伯维,  主治医师,中医科,中医康复医学科,天津中医药大学第二附属医院,10.0,9,,￥25,
64,杨广君,  主治医师,中医科,中医康复医学科,甘肃中医药大学附属医院,,4,,￥30,
65,李晗,  主治医师,中医科,中医康复医学科,常州市中医医院,,2,,￥50,
66,张阳普,  副主任医师,中医科,中医康复医学科,湖北省中西医结合医院,10.0,24,专家团队,￥10,
67,丁成标,  主治医师,中医科,中医康复医学科,肥东县中医医院,,4,,￥10,
68,张凤灿,  主治医师,中医科,中医康复医学科,福建省汀州医院,,1,,￥20,
69,曾振明,  主治医师,中医科,中医康复医学科,广州中医药大学第三附属医院,10.0,18,,￥20,
70,陈志丰,  副主任医师,中医科,中医康复医学科,常州市中医医院,,4,,￥30,
71,郭鸿,  住院医师,中医科,中医康复医学科,成都中医药大学附属医院,,6,,￥20,
72,王文霞,  主治中医师,中医科,中医康复医学科,潍坊市中医院,,1,,￥30,
73,吴建民,  副主任医师,中医科,中医康复医学科,甘肃中医药大学附属医院,,2,专家团队,￥30,
74,黄晓云,  主治医师,中医科,中医康复医学科,陕西省中医医院,10.0,10,,￥10,
75,贺孝胜,  主治中医师,中医科,中医康复医学科,建始县人民医院,,1,,￥10,
76,李亚,  副主任医师,中医科,中医康复医学科,昆山市康复医院,,1,,￥30,
77,张清,  主治医师,中医科,中医康复医学科,赣州市南康区第一人民医院,,1,,￥20,
78,肖孟舟,  主治医师,中医科,中医康复医学科,黄冈市黄州区禹王社区卫生服务中心,,1,,￥15,￥40
79,陈国超,  主治医师,中医科,中医康复医学科,武汉市武昌医院,10.0,22,,￥20,
80,祝晓忠,  副主任中医师,中医科,中医康复医学科,肇庆市中医院,,6,,￥60,
81,顾光,  主治医师,中医科,中医康复医学科,安徽中医药大学第一附属医院,,3,,￥10,
82,曾祥毅,  副主任医师,中医科,中医康复医学科,广东省中医院珠海医院,,2,专家团队,￥30,
83,左刚,  副主任中医师,中医科,中医康复医学科,河南中医学院第三附属医院,,3,专家团队,￥30,￥200
84,黄圣哲,  主治医师,中医科,中医康复医学科,重庆市渝北区人民医院,,1,,￥30,
85,何芳,  主治医师,中医科,中医康复医学科,威县中医院,,0,,￥15,
86,田应宽,  住院医师,中医科,中医康复医学科,云南省昭通市大关县人民医院,,10,,￥10,￥20
87,贾鲲,  副主任医师,中医科,中医康复医学科,北京儿童医院,,8,,￥89,
88,何可,  副主任中医师,中医科,中医康复医学科,湖南中医药大学第二附属医院,,1,,￥30,
89,辛银虎,  副主任医师,中医科,中医康复医学科,陕西省中医医院,8.6,31,专家团队,￥40,
90,李巧云,  副主任医师,中医科,中医康复医学科,青海大学附属医院,,3,,￥30,
91,刘慧敏,  住院医师,中医科,中医康复医学科,青海大学附属医院,,0,专家团队,￥40,
92,凌珊珊,  住院医师,中医科,中医康复医学科,广东省中医院大学城医院,,0,,￥30,
93,滕春光,  主任医师,中医科,中医康复医学科,中山市博爱医院,,0,,￥100,￥200
94,张松兴,  主任医师,中医科,中医康复医学科,辽宁省中医药研究院,,0,,￥300,
95,邢文婷,  主治医师,中医科,中医康复医学科,兰州大学第一医院,,1,,￥20,
96,郭振强,  主任医师,中医科,中医康复医学科,天津中医药大学第二附属医院,,0,,￥30,
97,石卫华,  副主任中医师,中医科,中医康复医学科,重庆大学附属三峡医院,,4,,￥60,￥120
98,黄彬,  主治医师,中医科,中医康复医学科,广东省中医院二沙岛分院,,0,,￥10,
99,谢雪姣,  副主任医师,中医科,中医康复医学科,湖南中医药大学第二附属医院,,2,,￥60,
100,易咏希,  副主任中医师,中医科,中医康复医学科,肇庆市中医院,,0,,￥60,
101,赵海龙,  副主任医师,中医科,中医康复医学科,庆阳市中医医院,,0,,￥30,
102,朱晓明,  副主任医师,中医科,中医康复医学科,黑龙江省医院香坊院区,,0,专家团队,￥20,
103,门杰,  副主任医师,中医科,中医康复医学科,天津中医药大学第一附属医院,,0,,￥20,
104,牛博真,  副主任医师,中医科,中医康复医学科,天津中医药大学第一附属医院,,0,,￥20,
105,杜欢,  副主任医师,中医科,中医康复医学科,苏州市第九人民医院,,0,,￥30,
106,郝东岩,  主治医师,中医科,中医康复医学科,陕西省中医医院,,0,,￥30,
107,谢莹,  主治中医师,中医科,中医康复医学科,重庆大学附属三峡医院,,0,,￥30,￥80
108,程飞,  主治医师,中医科,中医康复医学科,重庆大学附属三峡医院,,0,,￥30,￥80
109,谢家祥,  主治医师,中医科,中医康复医学科,重庆大学附属三峡医院,,0,,￥30,￥80
110,王澍弘,  主治医师,中医科,中医康复医学科,重庆大学附属三峡医院,,4,,￥30,￥80
111,陈瑞全,  主治医师,中医科,中医康复医学科,安徽中医药大学第一附属医院,,0,,￥30,
112,罗蛟龙,  主治医师,中医科,中医康复医学科,湖北省中西医结合医院,,1,,￥20,￥39
113,杨华,  主治医师,中医科,中医康复医学科,天津中医药大学第一附属医院,,0,,￥10,
114,张晓凌,  主治医师,中医科,中医康复医学科,甘肃中医药大学附属医院,,0,专家团队,￥25,
115,徐弢,  主治医师,中医科,中医康复医学科,甘肃省中医院,,1,专家团队,￥30,
116,严菁兴,  主治医师,中医科,中医康复医学科,甘肃中医药大学附属医院,,0,专家团队,￥10,
117,强天明,  主治医师,中医科,中医康复医学科,甘肃省中医院,,2,专家团队,￥20,
118,陈春李,  医师,中医科,中医康复医学科,重庆大学附属三峡医院,,4,,￥20,￥50
119,安鑫,  主治医师,中医科,中医康复医学科,石家庄市中医院,,0,,￥30,
120,张恩育,  主治医师,中医科,中医康复医学科,甘肃中医药大学附属医院,,1,专家团队,￥10,
121,侯强,  主治医师,中医科,中医康复医学科,宝鸡市中医医院,,0,专家团队,￥30,
122,左凌,  主治医师,中医科,中医康复医学科,荆州市第一人民医院,,2,,￥25,
123,阮一峰,  主治医师,中医科,中医康复医学科,武警安徽省总队医院,,1,,￥10,
124,刘文奇,  主治医师,中医科,中医康复医学科,济宁市中医院,,0,,￥30,
125,高英龙,  主治医师,中医科,中医康复医学科,山西省晋中市第一人民医院,,0,,￥28,
126,刘彬,  主治医师,中医科,中医康复医学科,天津中医药大学第一附属医院,,0,,￥10,
127,开佰超,  主治医师,中医科,中医康复医学科,天津中医药大学第一附属医院,,0,,￥10,
128,郎海伟,  主治医师,中医科,中医康复医学科,福建中医药大学附属康复医院,,0,专家团队,￥25,
129,李景周,  主治医师,中医科,中医康复医学科,甘肃省中医院,,0,专家团队,￥25,
