,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,黄强,  副主任医师,中医科,中医心内科,乌镇互联网医院,10.0,127920,,￥30,￥30
1,李萍,  副主任医师,中医科,中医心内科,西安市中医医院,9.8,4552,专家团队,￥20,￥200
2,薛金贵,  主任医师,中医科,中医心内科,上海中医药大学附属曙光医院东院,9.8,463,专家团队,￥99,￥199
3,朱珲莹,  主治医师,中医科,中医心内科,广东省中医院大德路总院,,37,,￥30,
4,李明健,  主任医师,中医科,中医心内科,襄阳市中医医院,,2,,￥20,
5,胡延立,  主治医师,中医科,中医心内科,南阳市中医院,10.0,228,,￥20,￥50
6,郑朝阳,  主任医师,中医科,中医心内科,广东省中医院大德路总院,9.8,399,专家团队,￥100,
7,陈晓伟,  副主任医师,中医科,中医心内科,广东省中医院大德路总院,10.0,103,,￥80,
8,何志凌,  副主任医师,中医科,中医心内科,广东省中医院二沙岛分院,9.9,128,专家团队,￥50,
9,王超,  副主任医师,中医科,中医心内科,天津市南开医院,10.0,235,,￥30,
10,白丽娜,  主治医师,中医科,中医心内科,天津市南开医院,10.0,521,,￥35,￥50
11,曲楠,  副主任医师,中医科,中医心内科,广西中医药大学附属瑞康医院,,2,专家团队,￥25,￥20
12,蔺宇,  副主任医师,中医科,中医心内科,天津市南开医院,10.0,268,,￥10,
13,李杰,  主治医师,中医科,中医心内科,天津市南开医院,10.0,208,,￥30,￥30
14,高陆,  主任医师,中医科,中医心内科,天津市南开医院,10.0,238,,￥20,
15,李杰,  副主任医师,中医科,中医心内科,天津中医药大学第二附属医院,10.0,16,,￥20,
16,孙艳玲,  主任中医师,中医科,中医心内科,洛阳市第一中医院北院区,,1,,￥50,
17,姚成增,  主任医师,中医科,中医心内科,上海中医药大学附属曙光医院西院,10.0,39,,￥100,￥500
18,汤连玲,  副主任医师,中医科,中医心内科,辽宁中医药大学附属医院,10.0,13,专家团队,￥40,
19,李享,  副主任医师,中医科,中医心内科,北京中医医院,,2,,￥30,
