,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,魏秀丽,  主任医师,中医科,中医感染内科,安徽中医药大学第一附属医院,10.0,1263,,￥58,￥88
1,王岚,  主任医师,中医科,中医感染内科,江苏省靖江市中医院,9.9,89,,￥30,￥50
2,胡大庆,  主任医师,中医科,中医感染内科,安徽中医药大学第一附属医院,10.0,63,,￥50,￥100
3,何金洋,  主任医师,中医科,中医感染内科,广东省中医院大德路总院,9.6,344,,￥50,
4,陈艳,  主治医师,中医科,中医感染内科,中国中医科学院西苑医院,,1,,￥25,
5,陈洁真,  副主任医师,中医科,中医感染内科,广东省中医院大德路总院,9.7,2791,,￥100,
6,常力,  副主任医师,中医科,中医感染内科,天津中医药大学第一附属医院,10.0,49,,￥30,
7,刘燕玲,  主任医师,中医科,中医感染内科,中国中医科学院西苑医院,10.0,612,专家团队,￥50,
8,徐婵媛,  主治医师,中医科,中医感染内科,广东省中医院大德路总院,9.8,389,,￥50,
9,张国梁,  主任医师,中医科,中医感染内科,安徽中医药大学第一附属医院,10.0,32,,￥50,￥100
10,吴树铎,  副主任中医师,中医科,中医感染内科,广东省中医院大德路总院,9.7,880,,￥50,
11,陈惠军,  主治医师,中医科,中医感染内科,广东省中医院大德路总院,9.9,542,专家团队,￥50,
12,张美稀,  主任中医师,中医科,中医感染内科,平阳县中医院,10.0,19,,￥100,
13,万雪梅,  主治医师,中医科,中医感染内科,成都中医药大学附属医院,,2,,￥20,
14,饶春燕,  主治医师,中医科,中医感染内科,重庆市中医院南桥寺院部,10.0,89,专家团队,￥25,￥200
15,傅琪琳,  主治医师,中医科,中医感染内科,陕西省中医医院,10.0,20,,￥20,
16,郭朋,  主任医师,中医科,中医感染内科,中国中医科学院西苑医院,9.9,142,,￥200,￥300
17,黎英贤,  主治医师,中医科,中医感染内科,广东省中医院大德路总院,9.9,425,,￥50,
18,郑册,  主治医师,中医科,中医感染内科,杭州市中医院,9.9,87,,￥20,￥100
19,蔡高术,  副主任医师,中医科,中医感染内科,广东省中医院大德路总院,9.4,390,,￥100,
20,何立丽,  副主任医师,中医科,中医感染内科,中国中医科学院广安门医院,9.8,38,,￥60,￥50
21,薛敬东,  主任医师,中医科,中医感染内科,陕西省中医医院,9.4,123,,￥29,￥29
22,张朝臻,  主治医师,中医科,中医感染内科,广东省中医院大德路总院,10.0,80,,￥20,
23,阳航,  副主任医师,中医科,中医感染内科,湖南中医药大学第一附属医院,10.0,49,,￥30,
24,陈兰玲,  主任医师,中医科,中医感染内科,湖南中医药大学第一附属医院,9.8,34,,,￥180
25,张扬,  主治医师,中医科,中医感染内科,成都中医药大学附属医院,10.0,51,,￥35,
26,马国珍,  副主任医师,中医科,中医感染内科,甘肃省中医院,9.7,36,专家团队,￥30,￥50
27,萧焕明,  主任中医师,中医科,中医感染内科,广东省中医院大德路总院,9.6,169,专家团队,￥30,
28,陈亦洋,  主任医师,中医科,中医感染内科,长春市传染病医院,,1,,￥30,
29,袁冬生,  主任医师,中医科,中医感染内科,广州中医药大学第一附属医院,8.3,258,,￥60,
30,李腾,  主治中医师,中医科,中医感染内科,亳州市中医院,,24,,￥0,
31,褚天奎,  主治医师,中医科,中医感染内科,宣恩县人民医院,,8,,￥10,
32,陆原,  主任中医师,中医科,中医感染内科,江苏省中医院,10.0,9,专家团队,￥40,￥80
33,郭军,  主治医师,中医科,中医感染内科,甘肃省中医院,10.0,16,专家团队,￥10,
34,王元,  主治医师,中医科,中医感染内科,成都中医药大学附属医院,,3,,￥30,
35,刘旻,  副主任医师,中医科,中医感染内科,天津中医药大学第一附属医院,,2,,￥30,
36,熊文生,  主任医师,中医科,中医感染内科,广州中医药大学第一附属医院,8.8,196,,￥200,
37,朱小区,  主任中医师,中医科,中医感染内科,温州数字医院,10.0,177,,￥20,
38,王萍萍,  住院医师,中医科,中医感染内科,亳州市中医院,,4,,￥30,
39,黄正光,  副主任医师,中医科,中医感染内科,亳州市中医院,,10,,￥20,
40,卢秉久,  主任医师,中医科,中医感染内科,辽宁中医药大学附属医院,,0,专家团队,￥50,
41,左俊岭,  主任医师,中医科,中医感染内科,广州中医药大学第一附属医院,9.1,44,,￥100,
42,李悦含,  主治医师,中医科,中医感染内科,亳州市中医院,,0,,￥30,
43,佘世锋,  主任医师,中医科,中医感染内科,广州中医药大学第一附属医院,9.2,6,,￥50,
44,刘伟,  主任医师,中医科,中医感染内科,吉林省肝胆病医院,,0,专家团队,￥50,
45,杨素霞,  主任医师,中医科,中医感染内科,安徽中医药大学第一附属医院,,32,,￥100,
46,杨小军,  副主任医师,中医科,中医感染内科,安徽中医药大学第一附属医院,,1,,￥50,
