,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,沈明球,  副主任医师,中医科,中医推拿科,新疆维吾尔自治区中医医院,10.0,60,,￥20,￥100
1,蒋鹏,  主任医师,中医科,中医推拿科,湖北省中医院,,3,专家团队,￥40,￥200
2,郭汝松,  副主任医师,中医科,中医推拿科,广东省中医院大德路总院,9.0,70,专家团队,￥100,￥200
3,龙抗胜,  主治医师,中医科,中医推拿科,湖南中医药大学第一附属医院,10.0,26,,￥20,￥50
4,孔令军,  副主任医师,中医科,中医推拿科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.9,56,,￥100,￥300
5,华夏,  副主任医师,中医科,中医推拿科,上海中医药大学附属曙光医院东院,9.8,40,,￥50,
6,李建华,  副主任医师,中医科,中医推拿科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.9,245,,￥100,
7,荣兵,  主治医师,中医科,中医推拿科,天津中医药大学第一附属医院,10.0,115,,￥10,
8,雷翰霖,  住院医师,中医科,中医推拿科,湖南中医药大学第一附属医院,,1,,￥20,
9,吕纹良,  主治中医师,中医科,中医推拿科,天津市滨海新区汉沽中医医院,10.0,40,,￥10,
10,颜娜,  住院医师,中医科,中医推拿科,泰安市中医医院,,1,,￥10,
11,秦后伟,  主治医师,中医科,中医推拿科,泰安市中医医院,10.0,90,,￥20,
12,穆怀颖,  住院医师,中医科,中医推拿科,天津市南开医院,,1,,￥10,
13,林强,  副主任医师,中医科,中医推拿科,上海交通大学附属第一人民医院,9.9,178,,￥50,￥200
14,许学良,  主治医师,中医科,中医推拿科,成都中医药大学附属医院,9.6,12,,￥30,
15,邢艳静,  主治医师,中医科,中医推拿科,天津市北辰区中医医院,,2,,￥10,
16,严振,  主任医师,中医科,中医推拿科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.8,152,,￥60,￥120
17,高志勇,  副主任医师,中医科,中医推拿科,烟台毓璜顶医院,9.9,28,专家团队,￥30,￥30
18,胡炳麟,  副主任医师,中医科,中医推拿科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.9,28,,￥100,￥100
19,高群兴,  主任医师,中医科,中医推拿科,佛山市中医院,10.0,302,,￥50,￥100
20,叶磊,  主治医师,中医科,中医推拿科,上海市东方医院总院,,3,,￥18,
21,赵焰,  主任医师,中医科,中医推拿科,湖北省中医院,9.9,173,专家团队,￥30,
22,张永富,  主治医师,中医科,中医推拿科,济南安康医院,,1,,￥20,￥100
23,王培超,  住院医师,中医科,中医推拿科,山东中医药大学附属医院,10.0,15,,￥20,
