,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,毛靓瑶,  主治医师,中医科,中医消化科,陕西省中医医院,10.0,3630,,￥30,
1,赵先林,  主治医师,中医科,中医消化科,四川大学华西医院,,3,,￥20,￥150
2,夏军权,  主任医师,中医科,中医消化科,江苏省中西医结合医院,9.9,1168,,￥100,￥200
3,刘向津,  副主任医师,中医科,中医消化科,天津中医药大学第一附属医院,10.0,302,,￥50,￥20
4,王科先,  主任医师,中医科,中医消化科,青岛市黄岛区中医医院,,30,专家团队,￥50,￥200
5,崔岩,  主任医师,中医科,中医消化科,济南市中医医院,10.0,80,专家团队,￥10,
6,曹玺,  副主任中医师,中医科,中医消化科,辽宁省中医药研究院,10.0,3496,,￥50,
7,刘长波,  主任医师,中医科,中医消化科,广东省中医院二沙岛分院,9.4,279,专家团队,￥40,
8,白雪峰,  副主任医师,中医科,中医消化科,呼和浩特市蒙医中医医院,9.9,618,,￥20,￥200
9,胡建,  主治医师,中医科,中医消化科,上海中医药大学附属曙光医院东院,10.0,407,,￥25,￥50
10,杜国亮,  主任医师,中医科,中医消化科,涿州市中医院,10.0,22,,￥50,￥50
11,陶森,  副主任医师,中医科,中医消化科,天津中医药大学第一附属医院,9.9,548,,￥20,￥50
12,李彬,  主任医师,中医科,中医消化科,牡丹江市中医医院,9.4,1287,,￥60,
13,夏文萍,  主治医师,中医科,中医消化科,萍乡市中医院,9.9,721,,￥20,
14,商红叶,  副主任医师,中医科,中医消化科,天津中医药大学第一附属医院,10.0,16,,￥20,
15,李晨,  主任医师,中医科,中医消化科,徐州市中医院,10.0,1505,,￥50,
16,李丹,  副主任医师,中医科,中医消化科,上海中医药大学附属曙光医院东院,9.8,87,,￥79,￥109
17,李凯,  副主任医师,中医科,中医消化科,上海中医药大学附属龙华医院,9.7,175,,￥150,
18,赵炜,  副主任医师,中医科,中医消化科,三亚市中医院,10.0,202,,￥30,￥30
19,李琳,  副主任医师,中医科,中医消化科,天津市南开医院,10.0,43,,￥20,
20,王汝新,  主任医师,中医科,中医消化科,威海市中医院,10.0,95,,￥20,￥50
21,陈宝和,  主任医师,中医科,中医消化科,威海市中医院,,51,专家团队,￥20,
22,顾超,  副主任医师,中医科,中医消化科,江苏省中西医结合医院,10.0,15,,￥25,
23,王可,  主任医师,中医科,中医消化科,无锡市第二中医医院,9.9,380,,￥30,
24,郑章强,  主治医师,中医科,中医消化科,天津市南开医院,,5,,￥10,￥20
25,张瑞明,  副主任医师,中医科,中医消化科,内蒙古自治区中医医院,,41,,￥20,
26,铉力,  副主任医师,中医科,中医消化科,徐州市中医院,,2,,￥22,
27,潘志雄,  主治医师,中医科,中医消化科,珠海市人民医院,10.0,104,,￥25,
28,陈远能,  主任医师,中医科,中医消化科,广西中医药大学附属瑞康医院,,3,专家团队,￥50,
29,范一宏,  主任医师,中医科,中医消化科,浙江省中医院下沙院区,10.0,379,专家团队,￥79,￥2000
30,张文涛,  副主任医师,中医科,中医消化科,天津中医药大学第一附属医院,10.0,124,,￥30,
31,郭庆捷,  主任医师,中医科,中医消化科,天津市南开医院,10.0,142,,￥30,
32,关映红,  主治医师,中医科,中医消化科,广东省中西医结合医院,,3,,￥30,
33,薛亚春,  主治医师,中医科,中医消化科,天津中医药大学第一附属医院,9.7,58,,￥15,
34,贾亚巍,  主治医师,中医科,中医消化科,洛阳市第一中医院南院区,,12,,￥20,￥50
35,刘文全,  主任医师,中医科,中医消化科,天津中医药大学第一附属医院,10.0,24,,￥30,
36,李英琳,  医师,中医科,中医消化科,沈阳市肛肠医院,,5,,￥5,
37,赵则阔,  住院医师,中医科,中医消化科,潍坊市中医院,10.0,5,,￥20,
38,曾莉蓉,  副主任医师,中医科,中医消化科,恩施州中心医院,,2,,￥20,
39,李叶,  主任医师,中医科,中医消化科,广东省中医院大德路总院,9.8,790,,￥150,￥200
40,刘子志,  主任医师,中医科,中医消化科,广州中医药大学第一附属医院,9.4,393,,￥100,￥200
41,陈明,  主任医师,中医科,中医消化科,天津市南开医院,10.0,41,,￥20,￥50
42,崔丽安,  主任医师,中医科,中医消化科,天津中医药大学第一附属医院,10.0,16,,￥30,
43,王静,  住院医师,中医科,中医消化科,齐齐哈尔市中医医院,10.0,17,,￥20,
44,裴静波,  主任医师,中医科,中医消化科,杭州市萧山区中医院,10.0,83,,￥30,
45,陈亮,  副主任医师,中医科,中医消化科,南通市中医院,10.0,41,,￥200,￥300
46,李铁强,  副主任医师,中医科,中医消化科,桂林市中医医院,10.0,7,专家团队,￥20,
47,施一春,  副主任医师,中医科,中医消化科,浙江中医药大学附属第三医院莫干山路院区,,3,,￥30,
48,刘彬彬,  主治医师,中医科,中医消化科,杭州市中医院,10.0,8,,￥30,
49,曲娟,  主治医师,中医科,中医消化科,天津市南开医院,,2,,￥10,
50,黄光鸿,  主任医师,中医科,中医消化科,广东省中西医结合医院,,22,,￥25,
51,李志雄,  主治中医师,中医科,中医消化科,佛山市中医院,10.0,46,,￥10,
52,魏叶帅,  副主任医师,中医科,中医消化科,诸暨市中医医院,,1,,￥20,
