,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,张球勇,  副主任医师,中医科,中医男科,福建省南平市第二医院,10.0,177823,,￥20,￥60
1,周仕轶,  副主任医师,中医科,中医男科,成都中医药大学附属医院,10.0,7751,,￥20,￥40
2,袁轶峰,  主任医师,中医科,中医男科,湖南中医药大学第一附属医院,9.9,17376,,￥40,
3,谭春雨,  副主任医师,中医科,中医男科,上海中医药大学临床教学基地·徐浦中医医院,9.8,81,,￥100,￥150
4,刘志丹,  医师,中医科,中医男科,佛山市中医院,10.0,229,,￥50,
5,张星,  主任医师,中医科,中医男科,江苏省中医院,9.9,114,专家团队,￥50,
6,姚增民,  副主任医师,中医科,中医男科,天津中医药大学第一附属医院,10.0,123,,￥22,
7,张珈铭,  主治医师,中医科,中医男科,平顶山市第一人民医院,9.9,138,,￥10,
8,周兴,  主任医师,中医科,中医男科,湖南中医药大学第一附属医院,9.8,653,,￥39,
9,吴宗传,  主治医师,中医科,中医男科,安徽中医药大学第二附属医院,9.8,1470,,￥30,￥50
10,黄培,  主治中医师,中医科,中医男科,浙江中医药大学附属第三医院莫干山路院区,9.9,550,,￥20,￥50
11,赵玉,  主治医师,中医科,中医男科,天津中医药大学第一附属医院,10.0,28,,￥20,
12,朱文雄,  主治医师,中医科,中医男科,湖南中医药大学第一附属医院,9.7,3198,,￥20,
13,王志强,  主治医师,中医科,中医男科,甘肃省妇幼保健院,10.0,18,,￥20,
14,张策,  主治医师,中医科,中医男科,广东省中医院二沙岛分院,9.5,344,,￥30,
15,张磊,  副主任医师,中医科,中医男科,成都中医药大学附属医院,10.0,248,,￥40,￥100
16,耿强,  副主任医师,中医科,中医男科,天津中医药大学第一附属医院,10.0,229,,￥50,
17,赵红乐,  主治医师,中医科,中医男科,陕西省中医医院,9.9,135,,￥30,
18,郑德全,  主任医师,中医科,中医男科,广东省中医院大学城医院,8.5,254,专家团队,￥100,
19,晏斌,  主治医师,中医科,中医男科,中国中医科学院西苑医院,9.7,199,,￥20,
20,何君伟,  住院医师,中医科,中医男科,广东省中医院二沙岛分院,10.0,152,,￥20,
21,郭军,  主任医师,中医科,中医男科,中国中医科学院西苑医院,9.9,1186,专家团队,￥100,
22,杨光,  主任中医师,中医科,中医男科,常州市中医医院,9.9,1998,,￥50,￥50
23,周青,  主任医师,中医科,中医男科,湖南中医药大学第一附属医院,9.7,1967,,￥50,
24,张立志,  副主任医师,中医科,中医男科,乌镇国医馆中医门诊部,9.9,195,,￥40,￥150
25,李防栋,  副主任医师,中医科,中医男科,银川市中医医院,10.0,93,,￥30,￥30
26,孙建明,  主任医师,中医科,中医男科,上海市第七人民医院,9.6,1270,,￥30,￥166
27,王杰,  主治医师,中医科,中医男科,广西中医药大学第一附属医院,9.9,1519,,￥40,
28,陈少峰,  主治医师,中医科,中医男科,天津中医药大学第一附属医院,9.9,260,,￥20,￥45
29,何明,  住院医师,中医科,中医男科,桂林市中医医院,10.0,19,,￥5,
30,文承茂,  主治医师,中医科,中医男科,东安县中医院,,3,,￥20,
31,向松涛,  主任医师,中医科,中医男科,广东省中医院二沙岛分院,9.0,152,专家团队,￥50,
32,马卫国,  主任医师,中医科,中医男科,中国中医科学院广安门医院,10.0,179,,￥200,
33,张培永,  主任医师,中医科,中医男科,临沂市中医医院,10.0,1218,,,￥120
34,汤桂兴,  主治医师,中医科,中医男科,广东省中医院二沙岛分院,9.5,16,,￥50,
35,吴爱华,  主任医师,中医科,中医男科,广东省中医院大德路总院,9.9,195,专家团队,￥60,
36,杨凯,  主治中医师,中医科,中医男科,张家港市中医医院,10.0,151,,￥21,￥31
37,陈赟,  主任医师,中医科,中医男科,江苏省中医院,9.6,332,,￥100,
38,周玉春,  副主任医师,中医科,中医男科,江苏省中医院,9.6,254,专家团队,￥38,￥150
39,王志超,  主治医师,中医科,中医男科,广东省中医院二沙岛分院,9.8,20,专家团队,￥20,
40,王志勇,  主治医师,中医科,中医男科,西安交通大学第二附属医院,10.0,862,,￥20,￥50
41,朱勇,  副主任中医师,中医科,中医男科,盐城市中医院,9.8,116,,￥40,
42,高庆和,  主治医师,中医科,中医男科,中国中医科学院西苑医院,9.8,530,专家团队,￥25,￥100
43,郑乘龙,  副主任医师,中医科,中医男科,北京市鼓楼中医医院,9.6,83,,￥20,
44,谈小林,  副主任中医师,中医科,中医男科,常州市中医医院,10.0,222,,￥50,
45,刘建国,  主任医师,中医科,中医男科,陕西省中医医院,9.9,1789,,￥150,￥200
46,袁启龙,  副主任医师,中医科,中医男科,广东省中医院大学城医院,9.8,4119,专家团队,￥50,
47,郭宏志,  主治医师,中医科,中医男科,西安市中医医院,9.5,455,,￥20,￥50
48,王成李,  主治医师,中医科,中医男科,北京中医药大学东方医院,10.0,1340,专家团队,￥50,
49,杨智彦,  主治医师,中医科,中医男科,西安市中医医院,9.8,86,专家团队,￥30,
