,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,刘俊峰,  副主任中医师,中医科,中医皮肤科,广东省中医院大德路总院,9.9,4167,专家团队,￥100,
1,张森茂,  主治医师,中医科,中医皮肤科,河南省中医药研究院附属医院,9.4,312,,￥5,￥40
2,许光仓,  主任医师,中医科,中医皮肤科,镇江市中医院,9.9,623,,￥30,￥120
3,卢益萍,  主任医师,中医科,中医皮肤科,辽宁中医药大学附属医院,9.8,73,专家团队,￥60,￥50
4,于刚,  主治医师,中医科,中医皮肤科,佳木斯市中心医院,10.0,1539,,￥30,￥30
5,谭颖,  主任医师,中医科,中医皮肤科,肇庆市中医院,10.0,48,,￥39,￥50
6,裴文涛,  主治医师,中医科,中医皮肤科,乌镇国医馆中医门诊部,9.8,5590,专家团队,￥30,￥100
7,张翠侠,  副主任中医师,中医科,中医皮肤科,徐州市中医院,10.0,60,,￥29,
8,倪海洋,  副主任医师,中医科,中医皮肤科,天津市中医药研究院附属医院,,3,,￥100,
9,罗家胜,  副主任医师,中医科,中医皮肤科,广州市番禺区中医院,9.9,123,专家团队,￥50,￥48
10,贾金靖,  副主任医师,中医科,中医皮肤科,广东省中医院大德路总院,10.0,2592,,￥49,￥99
11,王晋,  主治医师,中医科,中医皮肤科,天津市中医药研究院附属医院,10.0,713,,￥50,￥99
12,徐保来,  主任医师,中医科,中医皮肤科,南阳市中心医院,,2,,￥30,
13,吴新果,  主治医师,中医科,中医皮肤科,湖北省第三人民医院,,1,,￥20,
14,王用峰,  副主任医师,中医科,中医皮肤科,陕西中医药大学附属医院,10.0,3374,专家团队,￥30,
15,莫惠芳,  主任医师,中医科,中医皮肤科,佛山市中医院,9.9,7069,,￥45,￥100
16,黄莺,  主任医师,中医科,中医皮肤科,成都中医药大学附属医院,10.0,1698,,￥60,
17,罗冰,  主治医师,中医科,中医皮肤科,南通市中医院,,3,,￥20,
18,崔叶军,  住院医师,中医科,中医皮肤科,山西省晋中市第四人民医院,,1,,￥30,￥20
19,王沛,  住院医师,中医科,中医皮肤科,驻马店市中医院,,3,,￥30,
20,王一飞,  主任医师,中医科,中医皮肤科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.9,1952,专家团队,￥80,￥180
21,栾立云,  副主任医师,中医科,中医皮肤科,江苏省中西医结合医院,10.0,331,,￥20,
22,钟鸣,  主治医师,中医科,中医皮肤科,江门市五邑中医院,10.0,7,,￥50,￥100
23,魏慧玲,  主治医师,中医科,中医皮肤科,济南市第七人民医院,,3,,￥20,
