,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,秦燕,  主治医师,中医科,中医神经内科,泰安市中医医院,10.0,6474,,￥0,
1,霍绮雯,  副主任医师,中医科,中医神经内科,佛山市中医院,10.0,1571,,￥33,￥80
2,栾春娜,  主治医师,中医科,中医神经内科,泰安市中医医院,10.0,1062,,￥10,
3,宋海燕,  主治医师,中医科,中医神经内科,泰安市中医医院,,3,,￥20,
4,廖日洪,  副主任医师,中医科,中医神经内科,滨海县中医院,9.9,18399,,￥15,￥39
5,胡军勇,  主任医师,中医科,中医神经内科,河北医科大学附属以岭医院,10.0,24,,￥30,￥100
6,吴大伟,  主治医师,中医科,中医神经内科,盐城市中医院,10.0,2174,,￥20,￥39
7,陈冉,  主治医师,中医科,中医神经内科,泰安市中医医院,10.0,482,,￥20,
8,洪逸铭,  主治医师,中医科,中医神经内科,广东省中医院大学城医院,10.0,27,,￥50,
9,陈延,  主治医师,中医科,中医神经内科,湖北省中西医结合医院,,2,,￥20,￥39
10,张宸,  主治医师,中医科,中医神经内科,六安市中医院,,8,,￥25,￥60
11,王宁,  主任医师,中医科,中医神经内科,江苏省中医院,9.9,380,专家团队,￥50,
12,李冉,  主治中医师,中医科,中医神经内科,邹平市中医院,10.0,107,,￥12,
13,吴亚同,  主治医师,中医科,中医神经内科,泰州市中医院(东院),10.0,55,,￥20,
14,玄丽娜,  主治医师,中医科,中医神经内科,泰安市中医医院,10.0,16,,￥10,
15,杜宝新,  主任医师,中医科,中医神经内科,广东省中医院大学城医院,9.6,628,专家团队,￥200,
16,杨海芳,  副主任医师,中医科,中医神经内科,广东省中医院大德路总院,10.0,502,,￥60,￥1000
17,李小霞,  主治医师,中医科,中医神经内科,广东省中医院大德路总院,10.0,376,,￥50,￥1000
18,程子翠,  副主任医师,中医科,中医神经内科,泰安市中医医院,10.0,225,专家团队,￥0,
19,朱少芳,  主治医师,中医科,中医神经内科,广东省中医院大学城医院,10.0,152,,￥30,
20,路畅,  主治医师,中医科,中医神经内科,鄂尔多斯市中医医院,,4,,￥50,￥100
21,李娜,  主治医师,中医科,中医神经内科,德州市宁津县中医院,10.0,456,,￥30,￥60
22,李红妮,  副主任中医师,中医科,中医神经内科,西安中医脑病医院,10.0,32,专家团队,￥20,￥50
23,孙建彬,  主治医师,中医科,中医神经内科,潍坊市中医院,10.0,29,专家团队,￥30,
24,侯其楼,  主治医师,中医科,中医神经内科,济南市章丘区中医医院,,2,,￥30,￥300
25,蔚振宇,  主治医师,中医科,中医神经内科,天津市南开医院,,9,,￥10,
26,何铭锋,  主治医师,中医科,中医神经内科,广东省中医院大学城医院,10.0,114,专家团队,￥30,
27,贺心良,  主治医师,中医科,中医神经内科,德州市中医院,10.0,16,,￥10,￥60
28,李惠平,  医师,中医科,中医神经内科,广东省中医院大德路总院,10.0,7,,￥30,
29,冯梅,  副主任中医师,中医科,中医神经内科,广东省中医院大德路总院,10.0,361,专家团队,￥100,￥150
30,刘强,  主治医师,中医科,中医神经内科,泰安市中医医院,9.9,2160,,￥0,￥100
31,张艳晓,  主治医师,中医科,中医神经内科,泰安市中医医院,10.0,131,,￥20,
32,张燕婷,  副主任中医师,中医科,中医神经内科,广东省中医院大学城医院,9.9,45,,￥50,
33,尹启涛,  住院医师,中医科,中医神经内科,甘肃中医药大学附属医院,,4,,￥30,￥49
34,孙远标,  主任医师,中医科,中医神经内科,泰安市中医医院,10.0,10,专家团队,￥60,
35,张根实,  主治医师,中医科,中医神经内科,天津市武清区中医医院,10.0,72,,￥12,￥25
36,蔡业峰,  主任医师,中医科,中医神经内科,广东省中医院大德路总院,9.4,1,专家团队,￥200,
37,郭延林,  主治医师,中医科,中医神经内科,泰安市中医医院,10.0,19,,￥30,
38,杨静静,  副主任医师,中医科,中医神经内科,泰安市中医医院,10.0,609,,￥0,
39,张聪,  主治医师,中医科,中医神经内科,潍坊市中医院,9.7,6180,,￥20,
40,杨松琪,  主治医师,中医科,中医神经内科,天津市南开医院,10.0,120,,￥10,
41,王强,  主治医师,中医科,中医神经内科,泰安市中医医院,10.0,40,,￥20,
42,郑春叶,  主任中医师,中医科,中医神经内科,广东省中医院大德路总院,9.5,73,,￥150,
43,黄天华,  主治医师,中医科,中医神经内科,广东省中医院大德路总院,9.9,119,,￥30,￥100
44,李栋,  主治医师,中医科,中医神经内科,泰安市中医医院,10.0,152,,￥10,￥200
45,任绪东,  主任医师,中医科,中医神经内科,济南市中西医结合医院,,1,,￥100,￥200
46,温万鑫,  主治中医师,中医科,中医神经内科,广东省中医院大德路总院,8.9,132,,￥20,
47,蓝竹梅,  主治医师,中医科,中医神经内科,泰安市中医医院,10.0,40,,￥10,
48,苏巧珍,  主任医师,中医科,中医神经内科,广东省中医院芳村分院,9.8,857,专家团队,￥200,￥300
49,孙景波,  主任医师,中医科,中医神经内科,广东省中医院大德路总院,9.2,142,,￥100,
50,王志刚,  主治医师,中医科,中医神经内科,绍兴市中医院,10.0,462,,￥20,
51,董恒,  主治医师,中医科,中医神经内科,泰安市中医医院,10.0,36,,￥20,￥100
52,彭子壮,  主治医师,中医科,中医神经内科,广东省中医院大德路总院,,2,,￥30,
53,谷绍乾,  主治医师,中医科,中医神经内科,兖州市中医医院,,1,,￥20,
