,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,刘红亮,  副主任医师,中医科,中医老年病科,河南中医药大学第一附属医院,10.0,2527,专家团队,￥30,￥100
1,王焕程,  主治医师,中医科,中医老年病科,天津中医药大学第一附属医院,10.0,2073,,￥15,
2,罗克勤,  主任医师,中医科,中医老年病科,佛山市中医院,9.9,200,,￥39,
3,王睿,  主治医师,中医科,中医老年病科,天津中医药大学第一附属医院,,6,,￥15,
4,黄世敬,  主任医师,中医科,中医老年病科,中国中医科学院广安门医院,9.8,266,,￥150,￥400
5,牛峥,  主治医师,中医科,中医老年病科,唐山市协和医院,,4,,￥10,
6,刘毅,  主任医师,中医科,中医老年病科,上海固生堂同保康中医门诊部【膏方】,9.9,2027,专家团队,￥100,
7,李泉红,  主任医师,中医科,中医老年病科,济南市中医医院,,7,,￥30,
8,宋春鑫,  副主任医师,中医科,中医老年病科,中国中医科学院广安门医院,10.0,28,,￥50,
9,王承刚,  主治医师,中医科,中医老年病科,西藏自治区第二人民医院,10.0,8,,￥30,
10,侯万升,  副主任医师,中医科,中医老年病科,潍坊市中医院,,112,,￥20,￥50
11,李红,  主任医师,中医科,中医老年病科,甘肃中医药大学附属医院,10.0,15,专家团队,￥50,
12,田琳,  主任医师,中医科,中医老年病科,中国中医科学院广安门医院,,11,,￥80,
13,杨成虎,  主任医师,中医科,中医老年病科,陕西省中医医院,9.7,41,,￥30,
14,杨威英,  主治医师,中医科,中医老年病科,成都中医药大学附属医院,,1,,￥30,
15,潘敏娟,  主任中医师,中医科,中医老年病科,成都中医药大学附属医院,,4,,￥60,
16,王凌,  主任医师,中医科,中医老年病科,陕西省中医医院,9.6,180,专家团队,￥30,
17,单媛莉,  主治医师,中医科,中医老年病科,黑龙江中医药大学附属第二医院,,5,,￥30,￥80
18,季东方,  主治医师,中医科,中医老年病科,河南中医药大学第一附属医院,10.0,7,,￥10,￥39
19,蔡峥,  副主任医师,中医科,中医老年病科,上海中医药大学附属曙光医院西院,9.6,120,,￥100,
20,寇吉友,  副主任医师,中医科,中医老年病科,黑龙江中医药大学附属第二医院,,3,,￥60,￥120
21,李高文,  副主任医师,中医科,中医老年病科,湖北省中医院,10.0,23,专家团队,￥50,
22,陈小梅,  主治医师,中医科,中医老年病科,成都中医药大学附属医院,,1,,￥30,
23,梅应兵,  主任医师,中医科,中医老年病科,湖北省中医院,,2,专家团队,￥30,
24,伍文彬,  副主任医师,中医科,中医老年病科,成都中医药大学附属医院,,1,,￥40,
25,谭子虎,  主任医师,中医科,中医老年病科,湖北省中医院,,10,专家团队,￥50,
26,屈小元,  主任医师,中医科,中医老年病科,陕西省中医医院,,3,,￥50,
27,刘文胜,  副主任医师,中医科,中医老年病科,西安市中医医院,,2,专家团队,￥20,
28,王淑丽,  副主任医师,中医科,中医老年病科,中国中医科学院广安门医院,,0,,￥50,
29,孙利民,  副主任医师,中医科,中医老年病科,中国中医科学院广安门医院,,0,,￥50,
30,陈菲,  主治医师,中医科,中医老年病科,陕西省中医医院,,3,专家团队,￥30,
31,钟言,  主治医师,中医科,中医老年病科,广东省中医院大学城医院,,1,,￥20,
32,肖瑞,  主治医师,中医科,中医老年病科,湖北省中西医结合医院,,0,,￥40,
33,吴冠信,  主治医师,中医科,中医老年病科,河南中医药大学第一附属医院,,0,,￥50,￥50
34,王天宝,  副主任中医师,中医科,中医老年病科,甘肃省中医院,,1,专家团队,￥20,
35,官春梅,  主任医师,中医科,中医老年病科,潍坊市中医院,,0,,￥30,
36,张轶英,  副主任医师,中医科,中医老年病科,上海中医药大学附属曙光医院西院,,67,,￥40,
37,杨晗,  主治医师,中医科,中医老年病科,成都中医药大学附属医院,,0,,￥30,
38,韩建娜,  副主任中医师,中医科,中医老年病科,潍坊市中医院,,0,,￥30,
39,齐真,  主治医师,中医科,中医老年病科,上海中医药大学附属岳阳中西医结合医院（大柏树）,,0,,￥50,
40,龙驹,  主治医师,中医科,中医老年病科,成都中医药大学附属医院,,0,,￥30,
41,肖元宇,  主治医师,中医科,中医老年病科,昆明市中医医院,,0,,￥60,
42,刘煜,  主治医师,中医科,中医老年病科,湖北省中医院,,0,,￥20,
43,曾进浩,  主治医师,中医科,中医老年病科,成都中医药大学附属医院,,2,,￥30,
44,李涛,  主治医师,中医科,中医老年病科,山西省中医院,,0,,￥30,
45,朱久珍,  副主任医师,中医科,中医老年病科,甘肃省张掖市中医医院,,0,,￥20,
46,李斌,  主治医师,中医科,中医老年病科,成都中医药大学附属医院,,0,,￥30,
47,王默然,  主治中医师,中医科,中医老年病科,潍坊市中医院,,0,,￥30,
48,洪丽敏,  主治医师,中医科,中医老年病科,赤峰学院附属医院,,0,,￥30,
49,李文法,  主治医师,中医科,中医老年病科,莱阳市第二人民医院,,0,,￥20,￥56
50,安国华,  主治医师,中医科,中医老年病科,甘肃省张掖市中医医院,,0,,￥10,
51,崔松,  主任医师,中医科,中医老年病科,上海中医药大学附属曙光医院西院,9.5,6,,,
52,刘雪辉,  副主任医师,中医科,中医老年病科,成都中医药大学附属医院,,1,,,
53,雷鸣,  主任医师,中医科,中医老年病科,成都中医药大学附属医院,10.0,10,,,
54,曹平,  主任医师,中医科,中医老年病科,成都中医药大学附属医院,9.2,22,,,
55,张怡,  副主任医师,中医科,中医老年病科,成都中医药大学附属医院,,13,,,
56,温奕超,  副主任医师,中医科,中医老年病科,新疆维吾尔自治区中医医院,,6,,,
57,王贤娴,  主治医师,中医科,中医老年病科,新疆维吾尔自治区中医医院,,1,,,
58,戚龙,  副主任医师,中医科,中医老年病科,成都医学院第一附属医院,,8,专家团队,,
59,邹连珍,  主任医师,中医科,中医老年病科,湖北省中医院,,2,专家团队,,
60,张静,  主治医师,中医科,中医老年病科,成都中医药大学附属医院,,3,,,
61,张金波,  主任医师,中医科,中医老年病科,烟台市中医医院,,8,,,
62,袁野,  主治医师,中医科,中医老年病科,成都中医药大学附属医院,,2,,,
63,邓伟,  主任医师,中医科,中医老年病科,河南中医药大学第一附属医院,,0,专家团队,,
64,吴正蓉,  副主任医师,中医科,中医老年病科,成都医学院第一附属医院,,1,专家团队,,
65,雷作汉,  副主任医师,中医科,中医老年病科,甘肃省中医院,,1,专家团队,,
66,骆驰国,  住院医师,中医科,中医老年病科,彭州市中医医院,,0,,,
67,甘爱萍,  主任医师,中医科,中医老年病科,湖北省中医院,10.0,26,专家团队,,
68,李洋,  主治医师,中医科,中医老年病科,犍为县中医医院,,0,,,
69,王飞,  主任医师,中医科,中医老年病科,成都中医药大学附属医院,,1,,,
70,李胜涛,  主任医师,中医科,中医老年病科,成都中医药大学附属医院,,2,,,
71,韩瑚,  主任医师,中医科,中医老年病科,成都中医药大学附属医院,,2,,,
72,陈风清,  主任医师,中医科,中医老年病科,河南中医药大学第一附属医院,,1,,,
73,胡泉,  副主任医师,中医科,中医老年病科,成都中医药大学附属医院,,0,专家团队,,
74,李雪萍,  副主任医师,中医科,中医老年病科,成都中医药大学附属医院,,1,专家团队,,
75,吴小彬,  副主任中医师,中医科,中医老年病科,成都中医药大学附属医院,,0,专家团队,,
76,尕丽娜,  副主任医师,中医科,中医老年病科,新疆维吾尔自治区中医医院,,0,,,
77,李霞,  副主任医师,中医科,中医老年病科,乐山市中医院,,0,,,
78,廖洋,  主治中医师,中医科,中医老年病科,乐山市中医院,,0,专家团队,,
79,刘传凤,  住院医师,中医科,中医老年病科,成都中医药大学附属医院,,1,,,
