,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,陈新静,  主任医师,中医科,中医肛肠科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.8,1642,专家团队,￥50,￥200
1,吴炯,  主任医师,中医科,中医肛肠科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.9,2007,专家团队,￥58,
2,许崇斯,  副主任医师,中医科,中医肛肠科,湖南中医药大学第二附属医院,,9,,￥20,￥50
3,胡高武,  主治医师,中医科,中医肛肠科,上海市中西医结合医院,,1,,￥30,
4,马春花,  主治医师,中医科,中医肛肠科,聊城市第二人民医院,10.0,462,,￥20,￥20
5,方颖,  主治医师,中医科,中医肛肠科,湘潭市中心医院,10.0,1278,,￥20,
6,钟霞,  副主任医师,中医科,中医肛肠科,中国人民解放军联勤保障部队第九二一医院,10.0,27,,￥20,
7,邹常林,  副主任医师,中医科,中医肛肠科,天津市南开医院,10.0,11,,￥30,
8,阮成伟,  副主任医师,中医科,中医肛肠科,徐州医科大学附属医院,,4,,￥50,
9,袁恩,  副主任医师,中医科,中医肛肠科,恩施州中心医院,,1,,￥20,
10,姜洪霞,  副主任医师,中医科,中医肛肠科,青岛大学附属医院黄岛院区,9.9,389,专家团队,￥50,￥200
11,李晟玮,  主任医师,中医科,中医肛肠科,扬州市中医院,9.8,195,,￥30,
12,肖树榜,  副主任医师,中医科,中医肛肠科,遵义市第一人民医院,,3,,￥30,￥80
13,金礼,  主治医师,中医科,中医肛肠科,银川市中医医院,10.0,7,,￥30,
14,陈天,  主治医师,中医科,中医肛肠科,上海中医药大学附属曙光医院东院,10.0,530,,￥30,
15,高卫卫,  副主任中医师,中医科,中医肛肠科,徐州医科大学附属医院,,3,,￥10,
16,温鲁平,  副主任医师,中医科,中医肛肠科,徐州医科大学附属医院,,5,,￥40,
17,江晓萍,  主治医师,中医科,中医肛肠科,龙岩市中医院,,1,,￥10,
18,乔永法,  主任医师,中医科,中医肛肠科,青岛大学附属医院黄岛院区,9.7,350,专家团队,￥30,￥200
19,张雅明,  主任医师,中医科,中医肛肠科,上海中医药大学附属曙光医院西院,9.7,498,,￥100,
20,王超,  主治中医师,中医科,中医肛肠科,石家庄市中医院,10.0,90,,￥30,￥100
21,张强,  主治医师,中医科,中医肛肠科,上海中医药大学附属龙华医院,10.0,479,,￥15,￥30
22,李盈,  副主任医师,中医科,中医肛肠科,上海中医药大学附属岳阳中西医结合医院（大柏树）,10.0,234,专家团队,￥30,￥200
23,金磊,  副主任医师,中医科,中医肛肠科,上海中医药大学附属岳阳中西医结合医院（大柏树）,10.0,79,专家团队,￥35,
24,林友彬,  主任中医师,中医科,中医肛肠科,佛山市中医院,9.9,640,,￥45,￥80
25,罗敏,  主任医师,中医科,中医肛肠科,中国中医科学院广安门医院,10.0,20,,￥9,
26,陈拥军,  主任医师,中医科,中医肛肠科,青岛大学附属医院黄岛院区,9.7,171,专家团队,￥50,￥200
27,余胜,  副主任医师,中医科,中医肛肠科,安徽医科大学第一附属医院高新院区,9.9,196,,￥30,￥80
28,夏泽华,  副主任医师,中医科,中医肛肠科,上海中医药大学附属曙光医院西院,10.0,120,,￥60,
29,李建平,  主任医师,中医科,中医肛肠科,北京中医医院,9.9,4,,￥54,
30,吴广生,  主治医师,中医科,中医肛肠科,建华区中医院,9.5,14,,￥20,￥20
31,胡响当,  副主任医师,中医科,中医肛肠科,湖南中医药大学第二附属医院,9.9,588,专家团队,￥30,￥80
32,霍黎生,  主任医师,中医科,中医肛肠科,陕西省中医医院,9.7,281,专家团队,￥30,￥50
33,刘霄,  主治医师,中医科,中医肛肠科,济南市中医医院,10.0,23,,￥35,￥60
34,瞿胤,  副主任医师,中医科,中医肛肠科,上海中医药大学附属曙光医院西院,10.0,684,,￥30,￥80
35,许建勇,  副主任医师,中医科,中医肛肠科,南通市中医院,10.0,26,,￥20,
36,张书信,  主任医师,中医科,中医肛肠科,北京中医药大学东直门医院,10.0,33,,￥100,
37,彭军良,  主任医师,中医科,中医肛肠科,上海市金山区中西医结合医院,9.9,747,,￥30,￥50
38,汪庆明,  主任医师,中医科,中医肛肠科,上海中医药大学附属曙光医院东院,9.7,598,,￥200,￥100
39,芦亚峰,  副主任医师,中医科,中医肛肠科,上海中医药大学附属曙光医院东院,10.0,1038,,,￥80
40,毛细云,  主任医师,中医科,中医肛肠科,安徽中医药大学第一附属医院,9.8,62,,￥100,￥400
41,王清园,  主治医师,中医科,中医肛肠科,上海中医药大学附属曙光医院东院,10.0,29,,￥40,
42,吴本升,  副主任中医师,中医科,中医肛肠科,苏州市中医医院,9.9,27,,￥50,￥80
