,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,吴晓菊,  主治医师,中医科,中医肝病科,广东省中医院大学城医院,10.0,122,,￥10,
1,曹敏玲,  主治医师,中医科,中医肝病科,广东省中医院大学城医院,9.8,516,,￥50,
2,林姗姗,  主治医师,中医科,中医肝病科,广东省中医院大学城医院,,31,,￥30,
3,吴杭源,  主任医师,中医科,中医肝病科,无锡市第五人民医院,10.0,264,,￥30,
4,聂红明,  主任医师,中医科,中医肝病科,上海市中医医院芷江路院区,9.6,10,,￥199,
5,陈洁真,  副主任医师,中医科,中医肝病科,广东省中医院大学城医院,9.7,2791,,￥100,
6,闫秀川,  主治医师,中医科,中医肝病科,北京中医药大学深圳医院,10.0,7,,￥30,
7,李建鸿,  副主任中医师,中医科,中医肝病科,佛山市中医院,10.0,1780,,￥50,￥120
8,才布登道日吉,  主治医师,中医科,中医肝病科,乌镇互联网医院全国名中医桑杰工作室,10.0,8319,专家团队,￥0,
9,莫小艾,  主治医师,中医科,中医肝病科,佛山市中医院,10.0,1817,,￥50,
10,吴成胜,  主任医师,中医科,中医肝病科,山东第一医科大学第二附属医院,10.0,65,,￥40,
11,焦文,  住院医师,中医科,中医肝病科,上海市中医医院芷江路院区,10.0,109,,￥5,
12,俞晓芳,  主任医师,中医科,中医肝病科,厦门市中医院,10.0,24,,￥50,￥50
13,胡洪涛,  副主任医师,中医科,中医肝病科,佛山市中医院,10.0,2446,,￥35,￥80
14,黎英贤,  主治医师,中医科,中医肝病科,广东省中医院大德路总院,9.9,425,,￥50,
15,武建海,  副主任医师,中医科,中医肝病科,江苏省中医院,9.7,30,,￥20,￥50
16,凌嫚芝,  主任医师,中医科,中医肝病科,西安市中医医院,,8,,￥20,
17,郭文强,  副主任医师,中医科,中医肝病科,佛山市中医院,9.9,810,,￥50,
18,王永玲,  主治中医师,中医科,中医肝病科,福建三明将乐县总医院,10.0,41,,￥10,
19,白山岭,  主治医师,中医科,中医肝病科,郑州市第六人民医院,10.0,650,,￥20,￥20
20,潘相学,  副主任医师,中医科,中医肝病科,苏州国医堂,9.3,412,,￥150,￥200
21,邱腾宇,  副主任中医师,中医科,中医肝病科,佛山市中医院,10.0,878,,￥50,
22,袁成民,  主任医师,中医科,中医肝病科,山东省公共卫生临床中心,10.0,86,,￥300,
23,吴谙诏,  副主任医师,中医科,中医肝病科,山东省公共卫生临床中心,10.0,48,,￥20,
24,杨铂,  副主任医师,中医科,中医肝病科,山东省公共卫生临床中心,10.0,11,,￥20,
25,石磊,  副主任医师,中医科,中医肝病科,西安市中医医院,10.0,13,,￥40,
26,任健,  主治医师,中医科,中医肝病科,佛山市中医院,10.0,38,,￥50,
27,罗军,  主任医师,中医科,中医肝病科,南通市中医院,10.0,25,,￥60,
28,周盼盼,  主治医师,中医科,中医肝病科,河北省中医院,,1,,￥30,
29,童光东,  主任医师,中医科,中医肝病科,深圳市中医院,9.8,85,,￥50,
30,孔庆辉,  副主任医师,中医科,中医肝病科,威海市中医院,,3,专家团队,￥40,
31,郝明霞,  主任医师,中医科,中医肝病科,陕西中医药大学附属医院,,5,专家团队,￥60,
32,蒋开平,  主任医师,中医科,中医肝病科,佛山市中医院,,8,,,
33,刘青,  主任医师,中医科,中医肝病科,深圳市中医院,,4,,￥60,
34,林建军,  主任医师,中医科,中医肝病科,厦门市中医院,,2,,￥50,
35,王峰,  主任医师,中医科,中医肝病科,南通市中医院,,10,,￥60,
36,刘淙泉,  副主任医师,中医科,中医肝病科,梅州市中医医院,,1,,￥50,￥80
37,段飞,  副主任医师,中医科,中医肝病科,巴中市中医院,,1,,￥20,
38,李淑芳,  副主任医师,中医科,中医肝病科,西安市中医医院,,1,,￥20,
39,张慧,  主治医师,中医科,中医肝病科,广州微医医院,,4,,￥25,
40,朱伯扬,  主任中医师,中医科,中医肝病科,高州市中医院,,1,,￥80,
41,王佳佳,  主治医师,中医科,中医肝病科,日照市中医医院,,0,,￥20,
42,孙义田,  副主任医师,中医科,中医肝病科,沧州市中西医结合医院东院区,,0,,￥50,
43,黄凯舟,  住院医师,中医科,中医肝病科,佛山市中医院,,0,,￥20,
44,秦燕鸿,  主治医师,中医科,中医肝病科,沧州市中西医结合医院东院区,,5,,,
45,朱银芳,  主任医师,中医科,中医肝病科,无锡市第五人民医院,10.0,82,,,
46,刘丽娜,  副主任医师,中医科,中医肝病科,江苏省中医院,9.5,80,,,
47,白浩,  主任医师,中医科,中医肝病科,江苏省中医院,9.6,33,专家团队,,
48,李爱民,  主任医师,中医科,中医肝病科,南方医科大学中西医结合医院（南医大肿瘤中心）,9.7,219,专家团队,,
49,赵建学,  主任医师,中医科,中医肝病科,江苏省中医院,10.0,15,专家团队,,
50,刘传新,  主治医师,中医科,中医肝病科,南方医科大学中西医结合医院（南医大肿瘤中心）,10.0,171,专家团队,,
51,邢陆,  主任医师,中医科,中医肝病科,大连市第六人民医院,,1,专家团队,,
52,毛德文,  主任医师,中医科,中医肝病科,广西中医药大学第一附属医院,,8,专家团队,,
53,黄古叶,  主任医师,中医科,中医肝病科,广西中医药大学第一附属医院,,5,,,
54,张均倡,  主任医师,中医科,中医肝病科,广州微医医院,,14,专家团队,,
55,陈逢生,  副主任医师,中医科,中医肝病科,南方医科大学中西医结合医院（南医大肿瘤中心）,9.4,124,专家团队,,
56,薄敬华,  主任医师,中医科,中医肝病科,河北省中医院,,6,,,
57,陶银,  副主任医师,中医科,中医肝病科,佛山市中医院,10.0,165,,,
58,唐福康,  主任医师,中医科,中医肝病科,福建省第二人民医院,,41,,,
59,何应伟,  主任医师,中医科,中医肝病科,佛山市中医院,10.0,26,,,
60,王振常,  副主任医师,中医科,中医肝病科,广西中医药大学第一附属医院,,4,,,
61,韦新,  副主任医师,中医科,中医肝病科,广西中医药大学第一附属医院,,8,,,
62,喻娜娜,  主治医师,中医科,中医肝病科,巴中市中医院,,1,,,
63,张海鸥,  副主任医师,中医科,中医肝病科,福建省第二人民医院,,6,,,
64,郝新洁,  副主任医师,中医科,中医肝病科,青岛市第六人民医院,,8,,,
