,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,郭颖梅,  主治医师,中医科,中医肾病内科,广东省中医院大德路总院,,35,,￥20,
1,徐鹏,  副主任医师,中医科,中医肾病内科,广东省中医院大学城医院,9.5,114,专家团队,￥50,￥200
2,安海燕,  主任医师,中医科,中医肾病内科,北京中医药大学东方医院,,3,,￥100,
3,张熙,  副主任医师,中医科,中医肾病内科,上海固生堂同保康中医门诊部【膏方】,9.9,1452,专家团队,￥39,￥79
4,屈凯,  副主任医师,中医科,中医肾病内科,陕西省中医医院,10.0,13,,￥50,￥200
5,徐惠,  主任医师,中医科,中医肾病内科,诸暨市中医医院,,4,,￥30,
6,郝娜,  副主任医师,中医科,中医肾病内科,天津中医药大学第一附属医院,10.0,4217,,￥50,
7,崔小清,  副主任中医师,中医科,中医肾病内科,锦州市中医医院,10.0,633,,￥30,￥39
8,占永立,  主任医师,中医科,中医肾病内科,中国中医科学院广安门医院,10.0,11,,￥50,
9,樊平,  主任医师,中医科,中医肾病内科,陕西省中医医院,10.0,2364,专家团队,￥5,￥50
10,孙岚云,  主任医师,中医科,中医肾病内科,天津市中医药研究院附属医院,10.0,213,,￥30,
11,张兴坤,  副主任医师,中医科,中医肾病内科,天津市中医药研究院附属医院,,7,,￥20,￥30
12,印红爱,  主治医师,中医科,中医肾病内科,常德市第一中医医院,10.0,16,,￥26,
13,潘广辉,  主治医师,中医科,中医肾病内科,山东中医药大学附属医院,10.0,74,,￥20,
14,邹永艳,  主治医师,中医科,中医肾病内科,济宁市中医院,,1,,￥29,
15,周伟,  主治医师,中医科,中医肾病内科,天津中医药大学第一附属医院,,4,,￥15,
16,张权,  主治医师,中医科,中医肾病内科,上海中医药大学附属龙华医院,10.0,472,,￥46,￥138
17,王圣治,  副主任医师,中医科,中医肾病内科,辽宁中医药大学附属医院,,1,,￥30,
18,王跃娟,  副主任中医师,中医科,中医肾病内科,江苏省中医院,9.5,35,,￥30,
19,王东,  副主任医师,中医科,中医肾病内科,安徽中医药大学第一附属医院,10.0,21,,￥30,
20,何学志,  主治医师,中医科,中医肾病内科,天津市中医药研究院附属医院,10.0,85,,￥15,￥50
21,郑金朋,  主治医师,中医科,中医肾病内科,福州市第二医院,10.0,454,,￥25,
22,周岩,  副主任医师,中医科,中医肾病内科,江苏省中医院,10.0,1658,,￥80,￥100
23,杨玉兰,  主任医师,中医科,中医肾病内科,天津中医药大学第二附属医院,10.0,40,,￥30,
24,张旭,  副主任医师,中医科,中医肾病内科,天津市第五中心医院,10.0,121,,￥20,
25,卢富华,  主任医师,中医科,中医肾病内科,广东省中医院石井门诊部,9.4,334,专家团队,￥300,
26,于小勇,  主任医师,中医科,中医肾病内科,陕西省中医医院,9.8,48,,￥20,
27,刘艳华,  主任医师,中医科,中医肾病内科,长春中医药大学附属医院,10.0,11,,￥50,
28,殷佳珍,  副主任医师,中医科,中医肾病内科,杭州市中医院,10.0,11,,￥30,
29,唐泽永,  主治中医师,中医科,中医肾病内科,北京中医药大学深圳医院,,1,,￥30,
30,黄进宏,  主治医师,中医科,中医肾病内科,毕节市中医院,10.0,21,,￥30,
31,王琳,  主任医师,中医科,中医肾病内科,上海中医药大学附属龙华医院,9.7,831,专家团队,￥50,
32,张先闻,  副主任医师,中医科,中医肾病内科,上海中医药大学附属龙华医院,9.9,319,专家团队,￥100,
33,李芳,  主任医师,中医科,中医肾病内科,广东省中医院二沙岛分院,9.6,394,专家团队,￥200,￥200
34,赵代鑫,  副主任医师,中医科,中医肾病内科,广东省中医院大学城医院,9.6,63,专家团队,￥50,
35,李建省,  主任中医师,中医科,中医肾病内科,甘肃省中医院,9.3,20,专家团队,￥50,
36,黄晓晔,  主任医师,中医科,中医肾病内科,中国中医科学院广安门医院,9.8,539,,￥50,￥100
37,夏海岩,  主任医师,中医科,中医肾病内科,上海觉群中医门诊部,9.6,73,,￥60,
38,屈展航,  主治医师,中医科,中医肾病内科,广东省中医院大学城医院,9.9,173,专家团队,￥50,
39,解艳欢,  主治医师,中医科,中医肾病内科,天津市西青医院,,1,,￥30,
40,吴一帆,  副主任医师,中医科,中医肾病内科,广东省中医院大德路总院,9.6,374,专家团队,￥80,
41,王礼清,  副主任医师,中医科,中医肾病内科,济南市中医医院,10.0,87,专家团队,￥20,
42,李星,  主治医师,中医科,中医肾病内科,枣庄市中医医院,10.0,291,,￥15,
