,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,张明光,  副主任医师,中医科,中医肿瘤科,亳州市华佗中医院,10.0,12668,,￥50,￥65
1,高鹏,  主任中医师,中医科,中医肿瘤科,乌镇国医馆中医门诊部,9.8,10090,,￥120,￥180
2,陈昦,  主治医师,中医科,中医肿瘤科,天津中医药大学第一附属医院,10.0,1289,,￥20,
3,张莉,  副主任医师,中医科,中医肿瘤科,天津中医药大学第二附属医院,10.0,96,,￥30,
4,王国伟,  主任中医师,中医科,中医肿瘤科,常州市中医医院,9.9,5133,,￥20,￥30
5,谢培生,  主治医师,中医科,中医肿瘤科,衡阳市中医医院,9.5,940,,￥20,￥100
6,李毅,  副主任医师,中医科,中医肿瘤科,重庆市北碚区中医院,,1,,￥40,
7,张恺,  主治医师,中医科,中医肿瘤科,浙江省中医院,10.0,12,,￥20,
8,王菊勇,  主任医师,中医科,中医肿瘤科,上海中医药大学附属龙华医院,9.5,1249,,￥150,￥300
9,李正旺,  主治医师,中医科,中医肿瘤科,肥城市中医医院,10.0,5,,￥20,￥39
10,姚琼,  副主任医师,中医科,中医肿瘤科,上海中医药大学附属龙华医院,10.0,57,,￥100,￥200
11,卢艳琳,  副主任医师,中医科,中医肿瘤科,上海中医药大学附属龙华医院,9.9,57,,￥100,
12,张景涛,  主治医师,中医科,中医肿瘤科,佛山市中医院,10.0,69,,￥20,
13,刘宁宁,  副主任医师,中医科,中医肿瘤科,上海中医药大学附属曙光医院东院,10.0,139,,￥300,￥500
14,黎国强,  主治医师,中医科,中医肿瘤科,阳江市中医院,10.0,822,,,￥100
15,刘庚,  主治医师,中医科,中医肿瘤科,天津市南开医院,,1,,￥20,
16,付晓伶,  主任医师,中医科,中医肿瘤科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.9,224,,￥100,￥200
17,胡兵,  主任医师,中医科,中医肿瘤科,上海中医药大学附属龙华医院,9.5,689,,￥200,
18,王传岱,  副主任医师,中医科,中医肿瘤科,肥城市中医医院,,2,专家团队,￥30,￥40
19,毕旭东,  副主任医师,中医科,中医肿瘤科,天津市南开医院,,1,专家团队,￥20,
20,周祺,  副主任医师,中医科,中医肿瘤科,天津中医药大学第二附属医院,10.0,29,,￥20,
21,刘占芬,  主治医师,中医科,中医肿瘤科,天津市中医药研究院附属医院,10.0,49,,￥20,
22,李雨,  副主任医师,中医科,中医肿瘤科,黑龙江中医药大学附属第一医院,10.0,230,专家团队,￥29,￥49
23,阎丽珠,  主任医师,中医科,中医肿瘤科,天津中医药大学第二附属医院,10.0,18,专家团队,￥50,
24,吴存恩,  住院医师,中医科,中医肿瘤科,江苏省中医院,10.0,108,,￥30,￥50
25,刘译鸿,  主治医师,中医科,中医肿瘤科,广东省中医院大德路总院,9.9,272,,￥30,￥150
26,张鹤,  副主任医师,中医科,中医肿瘤科,天津市南开医院,10.0,7,,￥20,
27,罗荣城,  主任医师,中医科,中医肿瘤科,南方医科大学中西医结合医院（南医大肿瘤中心）,9.6,134,专家团队,￥50,￥200
28,刘玉金,  主任医师,中医科,中医肿瘤科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.9,169,,￥160,￥200
29,周之毅,  主任医师,中医科,中医肿瘤科,上海中医药大学附属龙华医院,9.7,1189,,￥99,
30,马波,  主任医师,中医科,中医肿瘤科,天津市南开医院,10.0,127,专家团队,￥30,
31,李勇,  副主任医师,中医科,中医肿瘤科,广东省中医院大德路总院,9.6,132,,￥100,
32,由凤鸣,  主任医师,中医科,中医肿瘤科,成都中医药大学附属医院,10.0,99,,￥60,
33,吴万垠,  主任医师,中医科,中医肿瘤科,广东省中医院大德路总院,9.8,2299,,￥200,
34,李敏,  副主任医师,中医科,中医肿瘤科,南京市中医院,10.0,45,专家团队,￥50,
35,黄兆明,  主任医师,中医科,中医肿瘤科,温州数字医院,10.0,78,,￥60,
36,吴国玉,  副主任医师,中医科,中医肿瘤科,成都中医药大学附属医院,10.0,39,,￥30,￥50
37,彭海燕,  主任医师,中医科,中医肿瘤科,江苏省中医院,9.8,177,专家团队,￥20,
38,许维丹,  副主任医师,中医科,中医肿瘤科,丽水生生堂医院,,5,,￥20,
39,陶玉华,  副主任中医师,中医科,中医肿瘤科,南通市中医院,9.8,2973,,￥50,
40,卢言琪,  主治医师,中医科,中医肿瘤科,深圳市宝安纯中医治疗医院,10.0,210,,￥30,
41,刘楠,  主治医师,中医科,中医肿瘤科,陕西省中医医院,,2,,￥20,
42,钟妙文,  主任中医师,中医科,中医肿瘤科,江门市五邑中医院,10.0,9,,￥80,
43,赵俊玲,  主治医师,中医科,中医肿瘤科,恩施州中心医院,10.0,10,,￥30,
44,陈孟溪,  主任医师,中医科,中医肿瘤科,湖南中医药大学第一附属医院,10.0,248,,￥20,
45,张丽娟,  主治医师,中医科,中医肿瘤科,华中科技大学同济医学院附属协和医院,10.0,13,,￥20,
46,李佑民,  主任医师,中医科,中医肿瘤科,湖北省中医院,9.8,54,,￥38,￥80
47,宋伟祥,  主治医师,中医科,中医肿瘤科,上海中医药大学附属岳阳中西医结合医院（大柏树）,10.0,14,,￥30,￥50
48,李检阅,  主治医师,中医科,中医肿瘤科,江苏省中西医结合医院,,1,,￥30,
49,李柳宁,  主任医师,中医科,中医肿瘤科,广东省中医院大德路总院,9.6,205,专家团队,￥300,￥300
50,姚昶,  主任医师,中医科,中医肿瘤科,江苏省中医院,9.7,134,专家团队,￥100,
51,孟启明,  主治医师,中医科,中医肿瘤科,深圳市宝安纯中医治疗医院,10.0,12,,￥30,
52,苗文红,  主任医师,中医科,中医肿瘤科,陕西省中医医院,10.0,135,专家团队,￥30,
53,张彦博,  副主任医师,中医科,中医肿瘤科,上海中医药大学附属曙光医院东院,9.8,105,,￥200,
54,吕志刚,  主任医师,中医科,中医肿瘤科,江苏省中医院,10.0,491,,￥50,￥100
55,张兆洲,  主治医师,中医科,中医肿瘤科,上海中医药大学附属曙光医院西院,10.0,20,,￥30,
56,迟文成,  主治医师,中医科,中医肿瘤科,黑龙江中医药大学附属第一医院,10.0,175,专家团队,￥20,￥30
57,刘权,  住院医师,中医科,中医肿瘤科,益阳市第一中医医院,,5,,￥10,￥20
58,陈捷,  主任医师,中医科,中医肿瘤科,陕西省中医医院,9.9,583,专家团队,￥30,￥50
59,霍介格,  主任中医师,中医科,中医肿瘤科,江苏省中西医结合医院,10.0,82,专家团队,￥100,￥200
60,孙建立,  主任医师,中医科,中医肿瘤科,上海中医药大学附属龙华医院,9.8,1982,,￥100,￥200
61,唐庆,  主任医师,中医科,中医肿瘤科,华中科技大学同济医学院附属协和医院,9.7,216,,￥38,
62,罗秀丽,  主任医师,中医科,中医肿瘤科,湖北省中医院,9.9,459,专家团队,￥50,
63,赵钢,  主任医师,中医科,中医肿瘤科,上海中医药大学附属曙光医院东院,9.8,279,,￥40,￥100
64,周利红,  副主任医师,中医科,中医肿瘤科,上海中医药大学附属曙光医院东院,10.0,83,,￥50,
65,张扶莉,  主任医师,中医科,中医肿瘤科,西安市中医医院,,15,专家团队,￥20,￥50
66,张晖,  副主任医师,中医科,中医肿瘤科,上海中医药大学附属龙华医院,9.8,417,,￥100,
67,任建琳,  主任医师,中医科,中医肿瘤科,上海市中医医院芷江路院区,9.6,9,,￥200,
68,程彬彬,  副主任医师,中医科,中医肿瘤科,上海长海医院,10.0,12,,￥50,￥200
69,曹银科,  主治医师,中医科,中医肿瘤科,天水市中西医结合医院,10.0,29,,￥20,￥15
70,王熙,  主治医师,中医科,中医肿瘤科,武汉市中医医院,10.0,20,,￥20,
71,靳建旭,  主任医师,中医科,中医肿瘤科,西安市中医医院,10.0,184,专家团队,￥10,
72,陈衍智,  主任医师,中医科,中医肿瘤科,北京大学肿瘤医院,9.6,34,,￥200,￥300
73,黄利敏,  副主任医师,中医科,中医肿瘤科,潍坊市中医院,,3,专家团队,￥30,
74,董倩,  主治医师,中医科,中医肿瘤科,中国中医科学院广安门医院,10.0,58,,￥100,￥200
75,蔡玥娇,  主治医师,中医科,中医肿瘤科,上海中医药大学附属龙华医院,10.0,24,,￥60,
76,张铁权,  副主任医师,中医科,中医肿瘤科,中国中医科学院广安门医院,9.9,52,专家团队,￥200,
77,刘海晔,  主任医师,中医科,中医肿瘤科,天津中医药大学第二附属医院,,10,专家团队,￥20,
78,郑展,  主任医师,中医科,中医肿瘤科,上海中医药大学附属龙华医院,9.7,102,,￥200,
79,刘宏杰,  副主任医师,中医科,中医肿瘤科,上海中医药大学附属曙光医院东院,9.9,418,,￥200,
80,姜怡,  副主任医师,中医科,中医肿瘤科,上海中医药大学附属龙华医院,10.0,9,,￥100,
81,李黎,  副主任医师,中医科,中医肿瘤科,中国中医科学院广安门医院,10.0,106,,￥100,
82,方青,  主任医师,中医科,中医肿瘤科,浙江大学医学院附属邵逸夫医院,,3,,￥20,
83,李道睿,  主任医师,中医科,中医肿瘤科,中国中医科学院广安门医院,9.9,172,专家团队,￥100,
84,陈学彰,  副主任中医师,中医科,中医肿瘤科,佛山市中医院,9.9,224,,￥100,
85,韩永波,  主治医师,中医科,中医肿瘤科,上海群力中医门诊部（上海群力草药店）,10.0,293,,￥50,
