,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,朱文伟,  主任医师,中医科,中医血液科,上海中医药大学附属岳阳中西医结合医院（大柏树）,10.0,1298,专家团队,￥120,
1,赵越洋,  住院医师,中医科,中医血液科,广东省中医院大德路总院,10.0,62,,￥30,
2,李峻,  主任中医师,中医科,中医血液科,江苏省中医院,10.0,83,,￥150,
3,张明辉,  主治医师,中医科,中医血液科,中国中医科学院广安门医院,9.8,185,,￥20,￥60
4,胡永珍,  副主任医师,中医科,中医血液科,广东省中医院大德路总院,9.9,143,,￥50,
5,朱光荣,  副主任医师,中医科,中医血液科,江苏省中医院,,8,,￥50,￥100
6,杨洪涌,  主任医师,中医科,中医血液科,广州中医药大学第一附属医院,9.4,38,,￥100,￥200
7,周韶虹,  主任医师,中医科,中医血液科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.5,603,专家团队,￥100,
8,李达,  主任医师,中医科,中医血液科,广东省中医院大德路总院,9.6,625,,￥150,
9,李慧,  副主任医师,中医科,中医血液科,广东省中医院大德路总院,9.7,101,,￥100,
10,代喜平,  主任医师,中医科,中医血液科,广东省中医院大德路总院,9.5,69,,￥148,￥148
11,张晨,  副主任医师,中医科,中医血液科,中国中医科学院广安门医院,,3,,￥50,
12,周永明,  主任医师,中医科,中医血液科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.3,157,专家团队,￥150,
13,刘文华,  副主任医师,中医科,中医血液科,湖南中医药大学第一附属医院,9.7,321,,￥8,
14,庞洁,  主治医师,中医科,中医血液科,江苏省中医院,10.0,103,,￥20,
15,胡令彦,  副主任医师,中医科,中医血液科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.7,20,,￥20,
16,刘朝霞,  主任医师,中医科,中医血液科,山东中医药大学附属医院,10.0,20,专家团队,￥60,
17,侯著法,  副主任医师,中医科,中医血液科,成都中医药大学附属医院,9.6,110,,￥40,
18,孔祥图,  副主任中医师,中医科,中医血液科,江苏省中医院,,1,,￥20,
19,于慧,  副主任医师,中医科,中医血液科,江苏省中医院,,7,,￥50,
20,王丹,  住院医师,中医科,中医血液科,江苏省中医院,10.0,22,,￥30,
21,张小亮,  副主任中医师,中医科,中医血液科,辽宁中医药大学附属医院,,4,,,
22,倪海雯,  主任中医师,中医科,中医血液科,江苏省中医院,10.0,12,,￥20,
23,王国征,  副主任医师,中医科,中医血液科,广东省中医院大德路总院,9.5,22,,￥50,
24,丁淑敏,  主治医师,中医科,中医血液科,山东中医药大学附属医院,10.0,22,,￥20,￥50
25,方圆,  副主任医师,中医科,中医血液科,山东中医药大学附属医院,,4,,￥28,
26,李艳,  副主任医师,中医科,中医血液科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.9,433,,￥50,
27,孙岸弢,  主任医师,中医科,中医血液科,中国中医科学院广安门医院,9.9,381,,￥100,￥200
28,李亚男,  主任医师,中医科,中医血液科,辽宁中医药大学附属医院,,9,专家团队,￥50,
29,马敏,  副主任医师,中医科,中医血液科,济南市第三人民医院,10.0,65,,￥20,￥50
30,王凯丰,  主治医师,中医科,中医血液科,济南市章丘区人民医院,,1,,￥20,
31,谌海燕,  副主任医师,中医科,中医血液科,北京中医药大学东方医院,,9,专家团队,￥10,
32,廖俊尧,  主治医师,中医科,中医血液科,北京中医药大学东方医院,9.6,107,专家团队,￥15,
33,杨月艳,  副主任医师,中医科,中医血液科,江苏省中医院,,12,,￥50,
34,丁晓庆,  主任医师,中医科,中医血液科,北京中医药大学东方医院,9.4,167,专家团队,￥80,￥120
35,胡莉文,  主任医师,中医科,中医血液科,广州中医药大学第一附属医院,10.0,20,专家团队,￥50,
36,陈毅宁,  主治医师,中医科,中医血液科,福建省人民医院,,2,,￥20,
37,张杰,  副主任医师,中医科,中医血液科,山东中医药大学附属医院,9.2,54,专家团队,￥20,
38,吴远彬,  副主任医师,中医科,中医血液科,广东省中医院大德路总院,10.0,12,,￥50,
39,姚宇红,  主任医师,中医科,中医血液科,贵阳中医学院第二附属医院,,0,专家团队,￥50,
40,王琥,  副主任医师,中医科,中医血液科,安徽中医药大学第一附属医院,,0,,￥50,
41,王敬毅,  副主任医师,中医科,中医血液科,山东中医药大学附属医院,,0,专家团队,￥20,
42,杜福泉,  主治医师,中医科,中医血液科,黑龙江中医药大学附属第一医院,,0,,￥30,
43,李琤,  主治医师,中医科,中医血液科,广东省中医院大德路总院,,0,,￥30,
44,廖婧,  住院医师,中医科,中医血液科,北京中医药大学东方医院,,4,专家团队,￥10,
45,罗松,  住院医师,中医科,中医血液科,贵阳中医学院第二附属医院,,0,专家团队,￥30,
46,罗曼,  主治医师,中医科,中医血液科,广州中医药大学第一附属医院,,7,专家团队,￥10,
47,张雅月,  副主任医师,中医科,中医血液科,北京中医药大学东直门医院,,0,,￥100,
48,徐杰,  主治医师,中医科,中医血液科,山东中医药大学附属医院,,0,,￥20,
49,满其俊,  主治医师,中医科,中医血液科,蚌埠市中医医院,,0,,￥20,
50,王宜宗,  主治医师,中医科,中医血液科,日照市中医医院,,0,,￥20,
51,席亚男,  主治医师,中医科,中医血液科,邢台市人民医院,,3,,￥0,
52,张帆,  医师,中医科,中医血液科,辽宁中医药大学附属医院,,0,,￥30,
