,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,邓元江,  主任医师,中医科,中医针灸科,中山大学附属第一医院,10.0,7,,￥150,￥300
1,富小菲,  住院医师,中医科,中医针灸科,广东省中医院大德路总院,,19,,￥20,
2,李旻颖,  住院医师,中医科,中医针灸科,广东省中医院大德路总院,,34,,￥30,
3,杨静一,  主治医师,中医科,中医针灸科,武汉大学人民医院,,6,,￥20,
4,侯春光,  副主任中医师,中医科,中医针灸科,天津市中医药研究院附属医院,,2,,￥20,
5,陈磊,  主治医师,中医科,中医针灸科,广东省中医院大德路总院,9.0,190,,￥30,
6,蔡红,  主任中医师,中医科,中医针灸科,江苏省人民医院,,21,,￥20,
7,邹维,  主治医师,中医科,中医针灸科,陕西省中医医院,10.0,2534,,￥20,
8,罗汉华,  主任医师,中医科,中医针灸科,广东省中医院下塘门诊部,9.0,2,,￥100,
9,陆欣玲,  副主任医师,中医科,中医针灸科,上海中医药大学附属曙光医院东院,9.8,315,,￥100,￥300
10,管志敏,  主治医师,中医科,中医针灸科,嘉兴市中医医院,,10,,￥30,
11,王旭慧,  主任医师,中医科,中医针灸科,天津中医药大学第一附属医院,,4,,￥30,
12,张开勇,  主治医师,中医科,中医针灸科,上海交通大学附属第一人民医院,10.0,12,,￥158,
13,安英,  主治医师,中医科,中医针灸科,泰安市中医医院,10.0,367,,￥30,
14,金锦兰,  主任医师,中医科,中医针灸科,天津中医药大学第一附属医院,,59,,￥30,
15,李春梅,  主任医师,中医科,中医针灸科,天津中医药大学第一附属医院,,59,,￥30,
16,马文,  副主任医师,中医科,中医针灸科,上海中医药大学附属曙光医院东院,10.0,161,,￥50,
17,马希贵,  副主任中医师,中医科,中医针灸科,淮安市妇幼保健院,10.0,2756,,￥20,￥30
18,侯文光,  主任医师,中医科,中医针灸科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.8,21,,￥100,
19,赵红,  主任医师,中医科,中医针灸科,天津中医药大学第一附属医院,10.0,219,,￥80,￥300
20,汤峥冬,  副主任医师,中医科,中医针灸科,上海中医药大学附属曙光医院东院,9.8,62,,￥200,￥500
21,刘沙沙,  主治医师,中医科,中医针灸科,泰安市中医医院,10.0,152,,￥50,￥50
22,叶必宏,  副主任中医师,中医科,中医针灸科,浙江中医药大学附属温州中医院,10.0,6,,￥30,￥50
23,孙录,  主任医师,中医科,中医针灸科,广东省中医院大德路总院,9.9,3635,专家团队,￥98,￥500
24,张贻强,  住院医师,中医科,中医针灸科,泉州市中医院,10.0,38,,￥20,
25,陈宥伊,  主治医师,中医科,中医针灸科,天津中医药大学第一附属医院,10.0,146,,￥20,
26,杨丽红,  主治医师,中医科,中医针灸科,天津中医药大学第一附属医院,,10,,￥20,
27,陈云飞,  主任医师,中医科,中医针灸科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.8,117,,￥180,
