,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,崔学军,  主任医师,中医科,中医骨伤科,上海中医药大学附属龙华医院,9.8,28,,￥100,
1,江祁斌,  副主任医师,中医科,中医骨伤科,祁门县人民医院,10.0,194,,￥20,
2,赵洪,  主任医师,中医科,中医骨伤科,常州市中医医院,9.9,458,,￥60,￥50
3,王炳南,  主任中医师,中医科,中医骨伤科,广东省中医院大德路总院,10.0,297,,￥200,￥500
4,华贤章,  主任医师,中医科,中医骨伤科,恩施州中心医院,,4,,￥30,
5,徐铭婧,  副主任医师,中医科,中医骨伤科,贵州省人民医院,,9,,￥20,￥50
6,梁桂洪,  住院医师,中医科,中医骨伤科,广东省中医院大德路总院,,82,,￥30,
7,高琼,  主治医师,中医科,中医骨伤科,日照市中医医院,10.0,187,,￥20,￥100
8,王东伟,  副主任医师,中医科,中医骨伤科,沈阳市第七人民医院,,120,专家团队,￥30,
9,彭明铭,  主任医师,中医科,中医骨伤科,十堰市中医院,,2,,￥20,￥50
10,陈平,  副主任医师,中医科,中医骨伤科,广东省中医院大德路总院,9.8,36,专家团队,,
11,王玉龙,  副主任医师,中医科,中医骨伤科,天津中医药大学第一附属医院,,30,,￥20,
12,郭守进,  主治医师,中医科,中医骨伤科,肥城市中医医院,10.0,9,,￥10,
13,孙绍卫,  主任医师,中医科,中医骨伤科,湖南中医药大学第二附属医院,9.8,206,,￥40,
14,彭仲华,  副主任医师,中医科,中医骨伤科,佛山市中医院,9.9,365,,￥80,
15,庞智晖,  主任医师,中医科,中医骨伤科,广州中医药大学第一附属医院,9.2,1,,￥50,
16,师磊,  主治医师,中医科,中医骨伤科,西安市中心医院,,3,,￥20,
17,高益,  主任中医师,中医科,中医骨伤科,常州市中医医院,9.7,40,,￥50,￥200
18,谢一平,  副主任医师,中医科,中医骨伤科,祁门县中医医院,10.0,1702,,￥20,￥39
19,郭平德,  主治医师,中医科,中医骨伤科,甘肃省中医院,,4,专家团队,￥30,
20,邵明伟,  主治医师,中医科,中医骨伤科,日照市中医医院,,3,,￥20,
21,张金宝,  主治医师,中医科,中医骨伤科,日照市中医医院,,1,,￥20,￥39
22,曹月龙,  主任医师,中医科,中医骨伤科,上海中医药大学附属曙光医院西院,9.7,125,,￥600,￥1200
23,谢学文,  主任医师,中医科,中医骨伤科,佛山市中医院,10.0,248,,,￥150
24,杜国庆,  主治医师,中医科,中医骨伤科,上海中医药大学附属曙光医院西院,9.9,24,,￥100,
25,郑文林,  副主任医师,中医科,中医骨伤科,佛山市中医院,9.9,62,,￥50,
26,魏成建,  主任医师,中医科,中医骨伤科,江苏省中医院,9.8,104,专家团队,￥50,
27,孙克慧,  主治医师,中医科,中医骨伤科,陕西体育医院,10.0,13004,,￥30,
28,周华元,  主治中医师,中医科,中医骨伤科,临沂市中医医院,,1,,￥10,
29,相峰,  主治医师,中医科,中医骨伤科,枣庄市中医医院,,1,,￥20,
30,王立斌,  主任医师,中医科,中医骨伤科,张店区中医院,,1,,￥20,
31,解志葆,  主任医师,中医科,中医骨伤科,北京中医药大学东直门医院,9.9,320,,￥100,
32,张盛强,  主任医师,中医科,中医骨伤科,佛山市中医院,9.8,478,,￥50,
33,李东洪,  主治医师,中医科,中医骨伤科,重庆市奉节县中医院,,71,,￥20,
34,沈华山,  副主任医师,中医科,中医骨伤科,诏安县中医院,,2,,￥30,
35,张杰,  住院医师,中医科,中医骨伤科,天津市宁河区中医医院,,3,,￥10,
36,王海彬,  主任医师,中医科,中医骨伤科,广州中医药大学第一附属医院,9.5,66,,￥100,￥200
37,陈元川,  副主任医师,中医科,中医骨伤科,上海中医药大学附属曙光医院东院,9.9,420,,￥30,
38,张志强,  副主任医师,中医科,中医骨伤科,东莞市儿童医院,,6,,￥30,
39,范赵翔,  主治医师,中医科,中医骨伤科,上海中医药大学附属龙华医院,10.0,30,,￥25,
40,邓崇礼,  主任中医师,中医科,中医骨伤科,广东省第二中医院,10.0,18,,￥30,
41,张辰,  主治医师,中医科,中医骨伤科,甘肃省中医院,10.0,75,,￥20,
42,王永铭,  主任医师,中医科,中医骨伤科,安康市中医医院,,4,,￥20,
43,骆渊城,  副主任医师,中医科,中医骨伤科,恩施州中心医院,,1,,,
44,王晓玲,  副主任医师,中医科,中医骨伤科,陕西中医药大学附属医院,,5,专家团队,￥15,
45,张厚建,  住院医师,中医科,中医骨伤科,浙江中医药大学附属湖州市中医院,,1,,￥20,
46,沈鹏飞,  副主任医师,中医科,中医骨伤科,常州市中医医院,10.0,131,,￥20,￥30
47,王翔,  副主任医师,中医科,中医骨伤科,上海中医药大学附属曙光医院西院,9.7,131,,￥100,
48,周超,  副主任医师,中医科,中医骨伤科,江南大学附属医院南院,9.8,25,,￥38,￥38
49,史萌,  副主任医师,中医科,中医骨伤科,上海中医药大学附属曙光医院东院,10.0,5,,￥30,
50,彭卓龙,  主治医师,中医科,中医骨伤科,广东省中医院大德路总院,9.1,428,,￥30,￥100
51,刘奕宁,  副主任医师,中医科,中医骨伤科,梅州市中医医院,10.0,231,,￥50,
52,张国勇,  主治医师,中医科,中医骨伤科,肥城市中医医院,10.0,16,,￥0,￥39
53,车伟伟,  主治中医师,中医科,中医骨伤科,清远市中医院,10.0,25,,￥20,
54,陈荣慧,  主治医师,中医科,中医骨伤科,鞍山市铁西区人民医院,10.0,389,,￥20,￥30
55,陈忠强,  住院医师,中医科,中医骨伤科,衢州市中医院,10.0,248,,￥5,
56,霍志谦,  主治中医师,中医科,中医骨伤科,佛山市中医院,10.0,54,,￥50,
57,赵强,  住院医师,中医科,中医骨伤科,临沂市人民医院,10.0,318,,,
58,柳杨城,  主治医师,中医科,中医骨伤科,江西宜春万载县中医院,,1,,￥20,
59,葛京化,  主任医师,中医科,中医骨伤科,上海市长宁区天山中医医院,9.7,274,专家团队,￥100,
60,苟海昕,  主任医师,中医科,中医骨伤科,复旦大学附属华东医院,9.9,108,,￥45,
61,王华明,  副主任医师,中医科,中医骨伤科,甘肃省中医院,10.0,362,专家团队,￥20,
62,张小春,  主治医师,中医科,中医骨伤科,浙江大学医学院附属第一医院,10.0,19,,￥20,
63,陈洪雨,  主治医师,中医科,中医骨伤科,天津市武清区中医医院,,1,,￥30,
64,岑景盛,  主治医师,中医科,中医骨伤科,佛山市中医院,9.9,50,,￥80,
65,于乐,  主治中医师,中医科,中医骨伤科,北京市昌平区中西医结合医院,,1,,￥30,
66,何勇,  主治医师,中医科,中医骨伤科,甘肃省中医院,,4,,￥20,
67,姜迪,  主治医师,中医科,中医骨伤科,鄂州市中医院,,2,,￥25,
68,朱栋,  主治医师,中医科,中医骨伤科,上海中医药大学附属龙华医院,,19,,￥20,
69,卢俊浩,  主治医师,中医科,中医骨伤科,南京市中医院,,1,,￥30,
70,郭玉海,  主任医师,中医科,中医骨伤科,广东省中医院大德路总院,9.3,1063,专家团队,￥70,￥500
71,高俊,  副主任中医师,中医科,中医骨伤科,常州市中医医院,9.9,196,,￥80,￥100
72,区健毅,  副主任中医师,中医科,中医骨伤科,佛山市中医院,10.0,1021,,￥80,
73,龚晓浪,  副主任医师,中医科,中医骨伤科,桂阳县中医医院,,2,,￥20,￥30
74,伏治国,  主任医师,中医科,中医骨伤科,常州市中医医院,9.8,39,,￥20,
75,黄晋,  主治医师,中医科,中医骨伤科,甘肃省中医院,9.9,61,专家团队,￥20,
76,刘畅畅,  主治中医师,中医科,中医骨伤科,南京市中医院,10.0,225,专家团队,￥40,
77,王晓飞,  主治医师,中医科,中医骨伤科,九江市中医医院,,7,,￥30,￥20
78,叶华磊,  住院医师,中医科,中医骨伤科,上海交通大学医学院附属瑞金医院舟山分院,10.0,9,,￥20,
79,戚海,  副主任医师,中医科,中医骨伤科,浦北县人民医院,,1,,￥20,
80,齐立卿,  主任医师,中医科,中医骨伤科,河北省中医院,10.0,14,,￥30,
81,谢杰伟,  副主任医师,中医科,中医骨伤科,广东省中医院大德路总院,10.0,6,,￥60,
82,施耀华,  副主任医师,中医科,中医骨伤科,常州市中医医院,,5,,￥20,
83,宋铁兵,  副主任医师,中医科,中医骨伤科,西安市中医医院,,5,专家团队,￥20,
84,孙银娣,  主任医师,中医科,中医骨伤科,西安市红会医院,9.9,300,专家团队,￥50,￥50
85,陈伯健,  主任中医师,中医科,中医骨伤科,广东省中医院大德路总院,9.7,248,专家团队,￥100,
86,杭柏亚,  主任中医师,中医科,中医骨伤科,南京市中医院,10.0,753,,￥100,￥200
87,王志远,  副主任中医师,中医科,中医骨伤科,佛山市中医院,10.0,1438,,￥39,￥100
88,周活龙,  主治医师,中医科,中医骨伤科,佛山市中医院,9.9,1332,,￥33,￥80
89,周峰,  主治中医师,中医科,中医骨伤科,临沂市中医医院,10.0,212,,￥49,￥30
90,罗汉文,  主任医师,中医科,中医骨伤科,佛山市中医院,9.8,80,,￥40,￥80
91,赵萍,  副主任医师,中医科,中医骨伤科,甘肃省中医院,,15,专家团队,￥50,￥100
92,王晓东,  主治医师,中医科,中医骨伤科,天津医科大学总医院,,6,,￥20,
93,吴宁,  主治医师,中医科,中医骨伤科,玉林市中西医结合骨科医院,,4,,￥30,
94,雒新勇,  主治医师,中医科,中医骨伤科,德州市宁津县中医院,10.0,74,,￥20,
95,张长明,  主任医师,中医科,中医骨伤科,陕西省中医医院,9.8,634,专家团队,￥30,
96,徐瑞生,  主任医师,中医科,中医骨伤科,江南大学附属医院南院,9.6,130,专家团队,￥60,￥50
97,许少健,  主任医师,中医科,中医骨伤科,广东省中医院大德路总院,8.5,51,专家团队,￥50,
98,陈树清,  副主任医师,中医科,中医骨伤科,岭南中医馆东山门诊部,10.0,73,,￥80,
99,刘光明,  主任医师,中医科,中医骨伤科,上海市黄浦区香山中医医院,9.9,93,专家团队,￥30,￥40
100,邹立鹏,  主治医师,中医科,中医骨伤科,威海市中医院,10.0,33,专家团队,￥50,
101,王祥杰,  主治医师,中医科,中医骨伤科,日照市中医医院,10.0,448,,￥10,
102,侯蕾,  副主任医师,中医科,中医骨伤科,佛山市中医院,9.9,120,,,￥80
103,胡伟雄,  住院医师,中医科,中医骨伤科,广东省中医院大德路总院,9.7,230,,￥10,
104,李卓伟,  副主任中医师,中医科,中医骨伤科,佛山市中医院,9.9,1633,,￥19,
105,肖兴雷,  副主任医师,中医科,中医骨伤科,淮安市中医院,9.8,156,,￥20,
106,柳占元,  主任医师,中医科,中医骨伤科,丽水市中医院,,12,,￥30,
107,苏海涛,  主任中医师,中医科,中医骨伤科,广东省中医院大德路总院,9.2,22,专家团队,￥60,
108,陈博,  副主任医师,中医科,中医骨伤科,上海中医药大学附属曙光医院东院,9.7,38,,￥50,
109,梁伟春,  副主任中医师,中医科,中医骨伤科,佛山市中医院,9.8,509,,￥50,￥80
110,张华,  主治医师,中医科,中医骨伤科,广州中医药大学第一附属医院,9.6,236,,￥20,
111,胡静国,  副主任医师,中医科,中医骨伤科,浙江中医药大学附属第三医院莫干山路院区,10.0,10,专家团队,￥40,
112,陈志伟,  主治医师,中医科,中医骨伤科,甘肃省中医院,,2,专家团队,￥25,
113,潘建科,  副主任医师,中医科,中医骨伤科,广东省中医院大德路总院,10.0,361,,￥60,
114,卢申童,  副主任医师,中医科,中医骨伤科,佛山市中医院,10.0,222,,￥30,
115,王世昌,  主治医师,中医科,中医骨伤科,承德市中医院,,4,,￥10,￥40
116,李宁,  副主任医师,中医科,中医骨伤科,佛山市中医院,9.9,500,,￥60,
117,徐天人,  主治中医师,中医科,中医骨伤科,苏州市中医医院,10.0,26,,￥20,
118,杨友发,  主任医师,中医科,中医骨伤科,安吉县中医院,,13,,￥60,￥60
119,曾令烽,  副主任医师,中医科,中医骨伤科,广东省中医院大德路总院,10.0,19,,￥20,
120,徐逸生,  副主任中医师,中医科,中医骨伤科,广东省中医院大德路总院,9.7,54,专家团队,￥20,￥300
121,邹本贵,  主任医师,中医科,中医骨伤科,山西中医学院附属医院,9.0,2,专家团队,￥50,￥200
122,赵帅,  副主任医师,中医科,中医骨伤科,广东省中医院大德路总院,9.6,101,专家团队,￥100,
123,赵兵德,  副主任医师,中医科,中医骨伤科,广东省中医院大德路总院,9.7,28,专家团队,￥30,
124,吕阳,  住院医师,中医科,中医骨伤科,广东省中医院二沙岛分院,10.0,244,,￥30,
125,张晓,  副主任医师,中医科,中医骨伤科,苏州大学附属第二医院,9.5,42,,￥30,
126,王志勇,  主治医师,中医科,中医骨伤科,甘肃省中医院,10.0,258,专家团队,￥20,￥200
127,许兴辉,  副主任医师,中医科,中医骨伤科,宝鸡市中医医院,10.0,23,专家团队,￥30,
128,谢彬,  副主任中医师,中医科,中医骨伤科,银川市中医医院,,3,专家团队,￥30,
129,钱冬晨,  主治医师,中医科,中医骨伤科,江苏省第二中医院,,4,,￥30,
130,张宏超,  主治医师,中医科,中医骨伤科,新昌县中医院,,2,,￥25,￥50
131,黄远超,  住院医师,中医科,中医骨伤科,博罗县中医医院,,1,,￥30,
132,罗斌,  主治医师,中医科,中医骨伤科,广东省中医院二沙岛分院,9.6,131,专家团队,￥39,￥100
133,涂泽松,  主任中医师,中医科,中医骨伤科,佛山市中医院,9.9,2195,,￥40,￥200
134,陈江,  副主任医师,中医科,中医骨伤科,北京中医药大学东直门医院,9.9,80,,￥20,￥80
135,陈世海,  副主任医师,中医科,中医骨伤科,甘肃省中医院,10.0,33,专家团队,￥30,￥50
136,包杭生,  副主任中医师,中医科,中医骨伤科,佛山市中医院,9.9,114,,￥50,
137,王羽丰,  副主任医师,中医科,中医骨伤科,广东省中医院大德路总院,9.1,16,专家团队,￥60,
138,李想,  副主任医师,中医科,中医骨伤科,广东省中医院大德路总院,9.3,82,专家团队,￥30,
139,胡颖翀,  主治医师,中医科,中医骨伤科,上海市中医文献馆中医门诊部,9.8,106,,￥58,￥188
140,黄臻,  副主任医师,中医科,中医骨伤科,湖南中医药大学第二附属医院,9.2,59,,￥50,
141,张念军,  主治医师,中医科,中医骨伤科,佛山市中医院,9.9,717,,￥33,￥30
142,王聪,  副主任医师,中医科,中医骨伤科,上海中医药大学附属曙光医院东院,10.0,125,,￥20,
