,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,黄宗文,  主任医师,中西医结合科,中西医结合科,四川大学华西医院,9.9,3832,,￥80,
1,刘艳娟,  副主任医师,中西医结合科,中西医结合科,华中科技大学同济医学院附属同济医院,9.8,1052,,￥30,
2,徐庆年,  主任医师,中西医结合科,中西医结合科,上海市公共卫生临床中心市区分部,10.0,2353,,￥159,￥200
3,邹莹,  主治医师,中西医结合科,中西医结合科,广州医科大学附属肿瘤医院,,120,,￥30,
4,刘宝君,  副主任医师,中西医结合科,中西医结合科,上海华山医院宝山院区（原华山北院）,10.0,845,,￥100,
5,卢芙蓉,  副主任医师,中西医结合科,中西医结合科,华中科技大学同济医学院附属协和医院,10.0,196,,￥20,
6,赵文洁,  副主任医师,中西医结合科,中西医结合科,复旦大学附属妇产科医院黄浦院区,9.4,3616,专家团队,￥350,
7,邱新辉,  主治医师,中西医结合科,中西医结合科,乐平市第二人民医院,10.0,128285,,￥20,
8,李晓明,  副主任医师,中西医结合科,中西医结合科,上海华山医院宝山院区（原华山北院）,9.5,654,,￥50,
9,孙勇,  副主任医师,中西医结合科,中西医结合科,湖北省中西医结合医院,10.0,9875,,￥20,￥40
10,徐霞,  主治医师,中西医结合科,中西医结合科,中南大学湘雅医院,10.0,1415,,￥49,￥99
11,花永强,  主任医师,中西医结合科,中西医结合科,复旦大学附属肿瘤医院浦东院区,10.0,457,,￥60,￥200
12,李进营,  主治医师,中西医结合科,中西医结合科,河南省人民医院,10.0,138,,￥30,￥50
13,郑金书,  主任医师,中西医结合科,中西医结合科,滁州市中西医结合医院,,4,,￥60,
14,黄韬,  主任医师,中西医结合科,中西医结合科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.6,2876,专家团队,￥60,￥200
15,魏美娟,  副主任医师,中西医结合科,中西医结合科,复旦大学附属妇产科医院黄浦院区,8.7,58,专家团队,￥98,
16,许瑞卿,  副主任医师,中西医结合科,中西医结合科,滁州市中西医结合医院,10.0,3523,,￥30,￥80
17,蔡佳宇,  主治医师,中西医结合科,中西医结合科,南京大学医学院附属金陵医院（东部战区总医院）,10.0,290,,￥80,
18,付慕勇,  主任医师,中西医结合科,中西医结合科,天津医院,10.0,14,,￥20,￥60
19,陈哲,  副主任医师,中西医结合科,中西医结合科,华中科技大学同济医学院附属同济医院,10.0,39,,￥30,
20,张熙,  副主任医师,中西医结合科,中西医结合科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.9,1452,专家团队,￥39,￥79
21,万晓东,  副主任医师,中西医结合科,中西医结合科,鹤岗市人民医院,10.0,76185,,￥20,
22,张卫军,  主任中医师,中西医结合科,中西医结合科,兰溪市中医院,10.0,6952,,￥20,￥50
23,赵智明,  副主任中医师,中西医结合科,中西医结合科,南京大学医学院附属金陵医院（东部战区总医院）,,2,,￥50,
24,徐秀荣,  主任医师,中西医结合科,中西医结合科,哈尔滨市中西医结合医院,10.0,608,,￥50,
25,薛鸾,  主任医师,中西医结合科,中西医结合科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.6,1548,,￥150,￥300
26,谢圣芳,  主任中医师,中西医结合科,中西医结合科,江苏省中西医结合医院,10.0,1788,专家团队,￥80,￥80
27,江科,  主任医师,中西医结合科,中西医结合科,上海中医药大学附属岳阳中西医结合医院（大柏树）,9.9,151,专家团队,￥50,
28,金晨慈,  主任医师,中西医结合科,中西医结合科,浙江中医药大学附属温州中西医结合医院,9.9,513,,￥30,￥50
29,唐文富,  主任医师,中西医结合科,中西医结合科,四川大学华西医院,9.6,16,,￥50,
30,熊晓玲,  主任医师,中西医结合科,中西医结合科,四川省中西医结合医院,,3,专家团队,￥50,￥200
31,简文静,  主治医师,中西医结合科,中西医结合科,深圳市第二人民医院,10.0,12,,￥100,
32,张智勇,  主治医师,中西医结合科,中西医结合科,漯河市中医院,9.5,13,,￥30,
33,钟万珠,  副主任医师,中西医结合科,中西医结合科,三明市中西医结合医院,,4,,￥20,
34,李成华,  主治医师,中西医结合科,中西医结合科,利津县妇幼保健计划生育服务中心,10.0,36809,,￥20,
35,崔寒尽,  主治医师,中西医结合科,中西医结合科,中南大学湘雅医院,9.9,270,,￥50,
36,董卫,  主任医师,中西医结合科,中西医结合科,山西省中西医结合医院,,1,,￥50,
37,鞠立霞,  副主任医师,中西医结合科,中西医结合科,上海市肺科医院,10.0,382,,￥100,
38,段超,  主治医师,中西医结合科,中西医结合科,华中科技大学同济医学院附属梨园医院,10.0,203,,￥35,￥150
39,万琨,  副主任医师,中西医结合科,中西医结合科,武汉大学中南医院,,1,专家团队,,
40,胡令潮,  主治医师,中西医结合科,中西医结合科,中国人民解放军新疆军区总医院,10.0,9,,￥10,
41,赵成朋,  主治医师,中西医结合科,中西医结合科,南宫市人民医院,10.0,86,,￥20,
42,闫祝辰,  副主任医师,中西医结合科,中西医结合科,天津市肿瘤医院,9.8,574,,￥99,￥200
43,杨波,  副主任医师,中西医结合科,中西医结合科,中南大学湘雅医院,9.9,15,,￥50,
