,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,成伟,  副主任医师,儿科,儿科综合,北京儿童医院,10.0,3373,,￥50,￥200
1,胡志伟,  主任医师,儿科,儿科综合,华中科技大学同济医学院附属协和医院,9.8,63,专家团队,￥80,
2,郭卫红,  主任医师,儿科,儿科综合,北京儿童医院,10.0,572,,￥200,￥300
3,唐力行,  主任医师,儿科,儿科综合,北京儿童医院,10.0,869,专家团队,￥200,￥500
4,张创辉,  主治医师,儿科,儿科综合,北京儿童医院,10.0,601,,￥100,￥200
5,邢嬛,  主任医师,儿科,儿科综合,北京儿童医院,10.0,269,,￥288,
6,刘虎,  副主任医师,儿科,儿科综合,北京儿童医院,,1,,￥60,
7,解自行,  副主任医师,儿科,儿科综合,北京儿童医院,10.0,550,,￥99,￥199
8,罗若谷,  副主任医师,儿科,儿科综合,西北妇女儿童医院,10.0,24449,,￥49,￥99
9,易斌,  主任医师,儿科,儿科综合,华中科技大学同济医学院附属同济医院,9.8,450,,￥25,
10,杨阳,  副主任医师,儿科,儿科综合,北京儿童医院,10.0,603,,￥50,￥300
11,高波涛,  副主任医师,儿科,儿科综合,上海儿童医学中心,10.0,832,,￥80,￥120
12,周学锋,  副主任医师,儿科,儿科综合,华中科技大学附属同济医院光谷院区,10.0,854,专家团队,￥50,
13,郭健,  主任医师,儿科,儿科综合,北京儿童医院,10.0,47,,￥60,
14,沈涤华,  副主任医师,儿科,儿科综合,上海交通大学医学院附属新华医院,10.0,2699,,￥250,￥480
15,万毅,  主治医师,儿科,儿科综合,重庆医科大学附属儿童医院,10.0,1370,,￥30,￥30
16,邹彬,  主治医师,儿科,儿科综合,重庆医科大学附属儿童医院,10.0,3441,,￥30,
17,何晓敏,  副主任医师,儿科,儿科综合,上海儿童医学中心,10.0,268,,￥30,
18,王凯,  主治医师,儿科,儿科综合,北京儿童医院,10.0,26,,￥100,
19,高荣轩,  副主任医师,儿科,儿科综合,北京儿童医院,9.9,214,,￥80,￥150
20,刘超,  副主任医师,儿科,儿科综合,北京儿童医院,9.9,189,,￥150,
21,杨增雷,  副主任医师,儿科,儿科综合,西北妇女儿童医院,10.0,6522,,￥20,￥30
22,刘强,  主任医师,儿科,儿科综合,广西医科大学第一附属医院,10.0,4394,,￥40,￥50
23,张丰珍,  主治医师,儿科,儿科综合,北京儿童医院,10.0,193,,￥100,
24,周红梅,  主任医师,儿科,儿科综合,武汉亚洲心脏病医院,9.9,1386,,￥30,
25,林德富,  副主任医师,儿科,儿科综合,北京儿童医院,10.0,112,,￥100,
26,姚子明,  副主任医师,儿科,儿科综合,北京儿童医院,9.9,358,,￥80,￥120
27,张海波,  主任医师,儿科,儿科综合,上海儿童医学中心,9.6,135,,￥300,
