,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,陈秀琴,  主任医师,儿科,小儿内分泌科,浙江大学医学院附属儿童医院(湖滨院区),9.9,728,,￥200,￥500
1,童凡,  主任医师,儿科,小儿内分泌科,浙江大学医学院附属儿童医院(滨江新院区),10.0,8896,,￥88,
2,丁宇,  副主任医师,儿科,小儿内分泌科,上海儿童医学中心,9.9,1781,专家团队,￥150,
3,刘珊珊,  副主任医师,儿科,小儿内分泌科,湖南省人民医院,10.0,135,,￥50,
4,朱逞,  主任医师,儿科,小儿内分泌科,北京儿童医院,,5,,￥300,
5,桑艳梅,  主任医师,儿科,小儿内分泌科,北京儿童医院,9.8,202,,￥1000,
6,侯凌,  副主任医师,儿科,小儿内分泌科,深圳市妇幼保健院红荔院区,9.8,586,,￥100,
7,李群,  主治医师,儿科,小儿内分泌科,上海儿童医学中心,9.9,717,,￥50,￥150
8,黄书越,  主治医师,儿科,小儿内分泌科,首都儿科研究所附属儿童医院,10.0,101,,￥119,
9,汪治华,  主任医师,儿科,小儿内分泌科,西安市儿童医院,9.9,1051,专家团队,￥50,
10,王娟娟,  副主任医师,儿科,小儿内分泌科,安徽省儿童医院,9.7,53,,￥20,
11,李宁,  副主任医师,儿科,小儿内分泌科,深圳市妇幼保健院红荔院区,,3,,￥100,
12,龚艳,  主治医师,儿科,小儿内分泌科,上海市儿童医院普陀新院,10.0,147,,￥30,
13,佟雅洁,  主治医师,儿科,小儿内分泌科,中国医科大学附属盛京医院南湖院区,10.0,542,专家团队,￥50,
14,刘芳,  副主任医师,儿科,小儿内分泌科,河南省儿童医院,10.0,90,,￥100,
15,李坤霞,  副主任医师,儿科,小儿内分泌科,烟台毓璜顶医院,9.9,302,,￥60,
16,林志敏,  主治医师,儿科,小儿内分泌科,深圳市宝安区妇幼保健院,9.9,69,,￥30,
17,边乐,  主治医师,儿科,小儿内分泌科,天津市儿童医院,10.0,96,,￥10,
18,秦原,  主治医师,儿科,小儿内分泌科,武汉市妇女儿童医疗保健中心(儿童门诊),10.0,296,,￥30,
19,刘佳悦,  副主任医师,儿科,小儿内分泌科,天津市儿童医院,10.0,98,,￥50,
20,刘极文,  主治医师,儿科,小儿内分泌科,深圳市罗湖区妇幼保健院,10.0,126,,￥30,
21,陈婷,  副主任医师,儿科,小儿内分泌科,苏州大学附属儿童医院,9.9,655,,￥50,
22,荀泽丽,  主治医师,儿科,小儿内分泌科,西安市儿童医院,10.0,34,,￥50,
23,宋福英,  副主任医师,儿科,小儿内分泌科,首都儿科研究所附属儿童医院,10.0,269,,￥120,
24,李玛丽,  主治医师,儿科,小儿内分泌科,西安市儿童医院,10.0,9,专家团队,￥30,
25,刘培辉,  主任医师,儿科,小儿内分泌科,深圳市妇幼保健院红荔院区,10.0,1131,,￥20,
26,刘孟妮,  主任医师,儿科,小儿内分泌科,深圳市妇幼保健院红荔院区,10.0,43,,￥100,
27,刘世新,  主任医师,儿科,小儿内分泌科,深圳市妇幼保健院红荔院区,10.0,55,,￥50,
28,蒋红英,  副主任医师,儿科,小儿内分泌科,深圳市妇幼保健院红荔院区,10.0,33,,￥200,
29,刘海英,  副主任医师,儿科,小儿内分泌科,深圳市妇幼保健院红荔院区,10.0,9,,￥50,
30,吴贵员,  副主任医师,儿科,小儿内分泌科,深圳市龙华区妇幼保健院,9.5,16,,￥50,
31,崔璐璐,  主治医师,儿科,小儿内分泌科,上海市儿童医院北京西路院区,9.7,616,,￥30,
32,王丹丹,  主治医师,儿科,小儿内分泌科,南京市儿童医院,10.0,14,,￥50,
33,李欣,  主任医师,儿科,小儿内分泌科,华中科技大学同济医学院附属协和医院,9.3,309,专家团队,￥98,
34,周菁,  主任医师,儿科,小儿内分泌科,苏州大学附属儿童医院,9.5,363,,￥45,
35,高龙,  主治医师,儿科,小儿内分泌科,天津市儿童医院,10.0,43,,￥30,
36,王小琴,  主治医师,儿科,小儿内分泌科,深圳市宝安区妇幼保健院,10.0,16,,￥50,
37,陈丽芝,  副主任医师,儿科,小儿内分泌科,深圳市宝安区妇幼保健院,10.0,87,,￥100,
38,王斐,  副主任医师,儿科,小儿内分泌科,上海市儿童医院北京西路院区,9.9,206,专家团队,,
39,闵慧,  副主任医师,儿科,小儿内分泌科,深圳市妇幼保健院红荔院区,10.0,68,,￥30,
40,孙辉,  主治医师,儿科,小儿内分泌科,苏州大学附属儿童医院,10.0,137,,￥50,
41,姚梦霖,  主任医师,儿科,小儿内分泌科,深圳市妇幼保健院红荔院区,,3,,￥50,
42,张丽美,  主治医师,儿科,小儿内分泌科,深圳市罗湖区妇幼保健院,9.9,127,,￥10,
43,田先雨,  副主任医师,儿科,小儿内分泌科,深圳市宝安区妇幼保健院,10.0,34,,￥60,
44,曾秀珍,  主治医师,儿科,小儿内分泌科,清远市妇幼保健院,,3,,￥30,
