,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,丁国芳,  主任医师,儿科,小儿内科,北京协和医院,9.9,901,,￥300,￥600
1,许丽娟,  主治医师,儿科,小儿内科,重庆医科大学附属儿童医院,10.0,2862,,￥80,￥200
2,胡秀芬,  主任医师,儿科,小儿内科,华中科技大学同济医学院附属同济医院,9.7,1244,,￥80,￥100
3,宁铂涛,  主任医师,儿科,小儿内科,上海儿童医学中心,10.0,2237,,￥300,￥500
4,高金枝,  副主任医师,儿科,小儿内科,华中科技大学同济医学院附属同济医院,10.0,548,,￥89,
5,薛海虹,  主任医师,儿科,小儿内科,上海交通大学医学院附属新华医院,9.9,2521,,￥300,￥500
6,孙宏晶,  主治医师,儿科,小儿内科,哈尔滨医科大学附属第一医院,10.0,5606,,￥25,￥50
7,王慧欣,  主任医师,儿科,小儿内科,北京儿童医院,,9,,￥200,
8,陈纲,  副主任医师,儿科,小儿内科,上海国际医学中心,10.0,380,,￥100,
9,吴世洪,  副主任医师,儿科,小儿内科,达州市达川区疾病预防控制中心附属医院,10.0,85670,,￥60,￥100
10,武明雷,  主治医师,儿科,小儿内科,天津医科大学总医院,10.0,12043,,￥50,￥60
11,刘艳,  副主任医师,儿科,小儿内科,华中科技大学同济医学院附属同济医院,9.9,904,,￥60,
12,成胜权,  副主任医师,儿科,小儿内科,西京医院,9.9,1452,专家团队,￥50,
13,杨珍,  副主任医师,儿科,小儿内科,上海儿童医学中心,9.9,1742,,￥150,
14,郑洪,  主任医师,儿科,小儿内科,安徽省儿童医院,10.0,6998,,￥160,￥200
15,王林中,  主任医师,儿科,小儿内科,鄂州市中心医院,10.0,11449,,￥31,￥50
16,蔡金培,  主治医师,儿科,小儿内科,温州市人民医院,10.0,5071,,￥49,￥49
17,周红梅,  主任医师,儿科,小儿内科,武汉亚洲心脏病医院,9.9,1386,,￥30,
18,闾佳佳,  主治医师,儿科,小儿内科,上海交通大学医学院附属瑞金医院,10.0,750,,￥69,
19,邓莹,  主治医师,儿科,小儿内科,四川大学华西第二医院,9.9,342,,￥80,
20,赵红玲,  主任医师,儿科,小儿内科,咸宁市中心医院,10.0,6359,专家团队,￥30,￥100
21,李越,  副主任医师,儿科,小儿内科,葫芦岛市中心医院,10.0,20806,,￥20,￥30
22,刘虎,  主治医师,儿科,小儿内科,重庆医科大学附属儿童医院,,7,,￥50,
23,武鹏,  主治医师,儿科,小儿内科,西北妇女儿童医院,9.9,1893,,￥20,
24,刘建秋,  主任医师,儿科,小儿内科,烟台毓璜顶医院,10.0,2406,,￥60,
25,范梅红,  主任医师,儿科,小儿内科,山西中医学院附属医院,9.9,12599,专家团队,￥30,￥50
26,闫春梅,  副主任医师,儿科,小儿内科,北京儿童医院,10.0,1109,,￥300,￥599
27,焦先婷,  主治医师,儿科,小儿内科,上海交通大学医学院附属新华医院,10.0,1724,,￥150,￥200
28,邵荣昌,  主任医师,儿科,小儿内科,鄂州市中心医院,10.0,19742,,￥30,￥50
29,张立明,  主任医师,儿科,小儿内科,潍坊市人民医院,10.0,2013,,￥50,￥60
30,刘寅,  主任医师,儿科,小儿内科,唐山市妇幼保健院,10.0,1752,,￥30,￥30
31,刘兴楼,  副主任医师,儿科,小儿内科,华中科技大学同济医学院附属同济医院,10.0,7,,￥99,
32,唐认桥,  主治医师,儿科,小儿内科,上海交通大学医学院附属瑞金医院,10.0,398,,￥25,
33,蒋恒亮,  主治医师,儿科,小儿内科,南华大学附属第三医院,10.0,38326,,￥40,￥60
34,杜惠敏,  副主任医师,儿科,小儿内科,上海交通大学医学院附属新华医院,9.3,394,,￥200,
35,周志强,  主治医师,儿科,小儿内科,广西医科大学第一附属医院,10.0,941,,￥20,
36,周华,  副主任医师,儿科,小儿内科,华中科技大学同济医学院附属同济医院,9.9,705,,￥50,
37,王晓琳,  主治医师,儿科,小儿内科,解放军第九六〇医院(原济南军区总医院),10.0,26582,,￥20,￥60
38,何贤静,  主任医师,儿科,小儿内科,昆明市第三人民医院,10.0,8911,,￥50,￥100
39,吴洁,  主任医师,儿科,小儿内科,上海交通大学医学院附属新华医院,9.0,423,,￥300,
40,王文兰,  主任医师,儿科,小儿内科,内蒙古自治区人民医院,10.0,2812,,￥30,
41,陈玲,  主任医师,儿科,小儿内科,华中科技大学同济医学院附属同济医院,9.7,1121,,￥80,
42,王薇,  副主任医师,儿科,小儿内科,上海儿童医学中心,9.7,439,专家团队,￥300,￥500
43,邹振庄,  主治医师,儿科,小儿内科,上海儿童医学中心,9.9,4406,,￥39,￥100
44,张建玲,  副主任医师,儿科,小儿内科,华中科技大学同济医学院附属同济医院,10.0,989,,￥50,￥80
45,刘子美,  主任医师,儿科,小儿内科,安徽省立医院（总院）,10.0,4819,,￥45,￥69
46,吴祖波,  主治医师,儿科,小儿内科,华中科技大学同济医学院附属协和医院,10.0,403,,￥36,
47,曹玉红,  副主任医师,儿科,小儿内科,西安国际医学中心医院,10.0,2870,专家团队,￥75,
48,刘婷婷,  主治医师,儿科,小儿内科,西北妇女儿童医院,10.0,24661,,￥20,￥39
49,李莉,  副主任医师,儿科,小儿内科,天津市儿童医院,10.0,3812,,￥100,￥300
50,刘硕,  主治医师,儿科,小儿内科,暨南大学附属第一医院,10.0,12352,,￥40,￥60
51,侯蔷,  主治医师,儿科,小儿内科,大连医科大学附属第一医院,10.0,2210,,￥60,￥200
52,陶丽梅,  主治医师,儿科,小儿内科,哈尔滨医科大学附属第四医院,10.0,9189,,￥15,￥50
53,王学山,  副主任医师,儿科,小儿内科,泰安市中心医院,10.0,14630,,￥5,
54,周小勤,  主治医师,儿科,小儿内科,重庆医科大学附属儿童医院,,6,,￥50,
55,杨惠,  主任医师,儿科,小儿内科,三明市第一医院,,96,,￥20,
56,王立波,  主任医师,儿科,小儿内科,上海国际医学中心,9.4,1404,,￥300,￥300
57,陈嫕,  副主任医师,儿科,小儿内科,上海交通大学医学院附属新华医院,9.9,2507,,￥100,￥300
58,张家源,  副主任医师,儿科,小儿内科,天津和平微医医院,9.3,52,,￥50,￥100
59,张欣,  副主任医师,儿科,小儿内科,北京大学第一医院,10.0,265,,￥99,
60,张静静,  副主任医师,儿科,小儿内科,西京医院,10.0,178,,￥99,
61,钟林,  副主任医师,儿科,小儿内科,安徽省儿童医院,10.0,22133,,￥70,￥100
62,金志娟,  主治医师,儿科,小儿内科,上海儿童医学中心,9.9,325,,￥129,￥199
63,冉旭东,  副主任医师,儿科,小儿内科,苏州大学附属儿童医院,10.0,10297,,￥80,￥80
64,姜勇,  副主任医师,儿科,小儿内科,枣庄市妇幼保健院,10.0,3919,,￥29,￥59
65,左瑞平,  副主任医师,儿科,小儿内科,山东大学齐鲁医院（青岛）,10.0,636,专家团队,￥50,￥100
66,何含含,  主治医师,儿科,小儿内科,西北妇女儿童医院,10.0,12079,,￥59,￥100
67,许瑞英,  主任医师,儿科,小儿内科,山东大学齐鲁医院,10.0,1332,,￥50,
68,卫丽,  副主任医师,儿科,小儿内科,陕西省人民医院,10.0,5230,,￥20,
69,齐骥,  副主任医师,儿科,小儿内科,山东第一医科大学第二附属医院,10.0,2815,,￥30,
70,张艳,  主治医师,儿科,小儿内科,滕州市中心人民医院,9.9,2781,,￥50,
71,皇甫占,  副主任医师,儿科,小儿内科,复旦大学附属中山医院青浦分院,9.8,129,,￥100,
72,朱为国,  副主任医师,儿科,小儿内科,南方医科大学南方医院,10.0,682,,￥99,
73,周小凤,  副主任医师,儿科,小儿内科,首都医科大学宣武医院,10.0,3515,,￥100,
74,丁建华,  副主任医师,儿科,小儿内科,上海儿童医学中心,9.1,367,,￥180,￥200
75,张玉慈,  主治医师,儿科,小儿内科,天津市儿童医院,10.0,1433,,￥40,
76,王璐璐,  主治医师,儿科,小儿内科,深圳市儿童医院,10.0,1461,,￥35,
77,商婷婷,  主治医师,儿科,小儿内科,重庆医科大学附属儿童医院,10.0,16,,￥100,
78,邱华勇,  主治医师,儿科,小儿内科,北部战区总医院和平院区,10.0,20521,专家团队,￥30,￥30
79,王洪兰,  主治医师,儿科,小儿内科,马鞍山市中心医院,10.0,30759,,￥30,￥30
