,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,刘全华,  主治医师,儿科,小儿呼吸科,上海交通大学医学院附属新华医院,10.0,8520,,￥120,￥500
1,莫丹丹,  主治医师,儿科,小儿呼吸科,上海儿童医学中心,10.0,450,,￥100,￥200
2,钟林,  副主任医师,儿科,小儿呼吸科,安徽省儿童医院,10.0,22133,,￥70,￥100
3,王瑞杰,  主治医师,儿科,小儿呼吸科,西安市儿童医院,10.0,183,,￥10,￥100
4,周拥,  副主任医师,儿科,小儿呼吸科,上海儿童医学中心,9.9,2967,,￥80,
5,王亚军,  副主任医师,儿科,小儿呼吸科,首都儿科研究所附属儿童医院,9.9,728,,￥300,￥400
6,孙惠泉,  主任医师,儿科,小儿呼吸科,苏州大学附属儿童医院,10.0,2939,,￥100,￥200
7,殷勇,  主任医师,儿科,小儿呼吸科,上海儿童医学中心,9.8,925,,￥300,￥500
8,杨晓蕴,  主任医师,儿科,小儿呼吸科,苏州大学附属儿童医院,9.7,641,,￥80,
9,程琪,  副主任医师,儿科,小儿呼吸科,中国医科大学附属盛京医院南湖院区,10.0,87,专家团队,￥100,￥150
10,史彧,  主任医师,儿科,小儿呼吸科,南京市儿童医院,10.0,193,,￥100,
11,黄莉,  主任医师,儿科,小儿呼吸科,苏州大学附属儿童医院,10.0,282,,￥50,
12,王新,  主治医师,儿科,小儿呼吸科,天津市儿童医院,9.9,124,,￥30,
13,涂国华,  主任医师,儿科,小儿呼吸科,常州市儿童医院,9.9,984,,￥100,￥100
14,张磊,  副主任医师,儿科,小儿呼吸科,上海儿童医学中心,9.8,408,,￥230,
15,华丽,  副主任医师,儿科,小儿呼吸科,上海交通大学医学院附属新华医院,10.0,568,,￥200,￥260
16,梁慧,  副主任医师,儿科,小儿呼吸科,南京市儿童医院,10.0,1331,,￥200,
17,毕良学,  主任医师,儿科,小儿呼吸科,安徽省儿童医院,9.9,337,,￥70,￥200
18,李增清,  主任医师,儿科,小儿呼吸科,广东省妇幼保健院番禺院区,10.0,2238,,￥100,￥200
19,胡海燕,  主任医师,儿科,小儿呼吸科,安徽省儿童医院,10.0,1018,,￥60,
20,马骥,  副主任医师,儿科,小儿呼吸科,安徽省儿童医院,,7,,￥50,
21,张皓,  主任医师,儿科,小儿呼吸科,上海儿童医学中心,9.4,366,,￥300,
22,张立珏,  主任医师,儿科,小儿呼吸科,临沂市妇幼保健院,10.0,475,,￥50,￥120
23,胡亮,  主治医师,儿科,小儿呼吸科,长春市儿童医院,10.0,18,,￥188,￥288
24,夏梦青,  主治医师,儿科,小儿呼吸科,武汉市妇女儿童医疗保健中心(儿童门诊),10.0,167,,￥30,
25,卢秋穗,  主任医师,儿科,小儿呼吸科,江苏省人民医院,9.9,455,,￥40,
26,冯亚男,  主任医师,儿科,小儿呼吸科,杭州市第一人民医院,10.0,1785,,￥50,￥200
27,韩晓华,  主任医师,儿科,小儿呼吸科,中国医科大学附属盛京医院南湖院区,10.0,936,专家团队,￥200,
28,王汉久,  主治医师,儿科,小儿呼吸科,安徽省儿童医院,9.8,1111,,￥40,￥60
29,张琪,  副主任医师,儿科,小儿呼吸科,安徽省儿童医院,10.0,118,,￥50,
30,刘文君,  副主任医师,儿科,小儿呼吸科,安徽省儿童医院,9.9,175,,,
31,李攀,  主治医师,儿科,小儿呼吸科,河北省儿童医院,10.0,118,,￥79,
32,朱灿红,  主任医师,儿科,小儿呼吸科,苏州大学附属儿童医院,9.8,653,,,
33,谭艳芳,  副主任医师,儿科,小儿呼吸科,广东省妇幼保健院番禺院区,10.0,797,,￥60,
34,林英,  主任医师,儿科,小儿呼吸科,广东省妇幼保健院番禺院区,10.0,2226,,￥80,
35,乜之瑛,  副主任医师,儿科,小儿呼吸科,深圳市妇幼保健院红荔院区,10.0,29,,￥50,
36,李欣,  副主任医师,儿科,小儿呼吸科,上海儿童医学中心,10.0,35,,,
37,徐凤琴,  副主任医师,儿科,小儿呼吸科,安徽省儿童医院,9.9,158,,￥50,
38,杨莹莹,  副主任医师,儿科,小儿呼吸科,安徽省儿童医院,9.9,242,,￥60,￥80
39,张佩华,  主任医师,儿科,小儿呼吸科,嘉兴市第二医院,9.9,99,,￥50,
40,卢鸣,  主任医师,儿科,小儿呼吸科,天津市儿童医院,9.9,754,,￥50,￥150
41,沈海广,  副主任医师,儿科,小儿呼吸科,广东省妇幼保健院番禺院区,10.0,507,,￥100,
42,陈鹏,  主任医师,儿科,小儿呼吸科,武汉市妇女儿童医疗保健中心(儿童门诊),9.8,729,,￥50,
43,李宁,  副主任医师,儿科,小儿呼吸科,深圳市妇幼保健院红荔院区,,3,,￥100,
44,黄永建,  副主任医师,儿科,小儿呼吸科,华中科技大学同济医学院附属同济医院,9.7,117,,￥168,
45,王莹,  主任医师,儿科,小儿呼吸科,武汉市妇女儿童医疗保健中心(儿童门诊),9.9,2522,,￥140,
46,吴巾红,  副主任医师,儿科,小儿呼吸科,上海儿童医学中心,9.5,53,,￥100,
47,张绍芬,  主任医师,儿科,小儿呼吸科,深圳市儿童医院,9.8,126,,￥100,
48,刘运可,  主治医师,儿科,小儿呼吸科,广东省妇幼保健院番禺院区,9.9,103,,￥15,
49,秦铭,  主任医师,儿科,小儿呼吸科,南京市儿童医院,9.9,608,,￥100,￥200
50,储芳芳,  主治医师,儿科,小儿呼吸科,安徽省儿童医院,10.0,129,,,￥30
51,赵德育,  主任医师,儿科,小儿呼吸科,南京市儿童医院,9.9,196,,￥300,
52,马陆,  主任医师,儿科,小儿呼吸科,浙江萧山医院,,3,,￥50,
53,陈和斌,  主任医师,儿科,小儿呼吸科,武汉市妇女儿童医疗保健中心(儿童门诊),9.7,493,,￥50,￥150
54,顾晓虹,  主任医师,儿科,小儿呼吸科,无锡市人民医院,9.6,166,,￥100,
55,陈广道,  副主任医师,儿科,小儿呼吸科,广东省妇幼保健院番禺院区,10.0,157,,￥50,
56,黄建宝,  主任医师,儿科,小儿呼吸科,湖南省儿童医院,9.8,546,专家团队,￥50,
57,唐珩,  主任医师,儿科,小儿呼吸科,南京市儿童医院,10.0,254,,￥120,
58,郑宝英,  副主任医师,儿科,小儿呼吸科,首都儿科研究所附属儿童医院,9.7,121,,￥99,
59,韩丽娜,  主治医师,儿科,小儿呼吸科,中国医科大学附属盛京医院南湖院区,9.9,116,,￥40,
60,黄凤,  副主任医师,儿科,小儿呼吸科,苏州大学附属儿童医院,10.0,16,,￥50,
61,陈健德,  主治医师,儿科,小儿呼吸科,上海儿童医学中心,9.9,206,,￥60,
62,王菲,  主治医师,儿科,小儿呼吸科,中国医科大学附属盛京医院南湖院区,10.0,50,专家团队,￥50,
63,马宇廷,  副主任医师,儿科,小儿呼吸科,天津市儿童医院,,2,,￥80,
64,李云,  主任医师,儿科,小儿呼吸科,湖南省人民医院,9.6,105,,￥100,
65,冯雍,  主治医师,儿科,小儿呼吸科,中国医科大学附属盛京医院南湖院区,9.9,496,专家团队,￥50,
66,张静,  副主任医师,儿科,小儿呼吸科,上海儿童医学中心,9.9,715,专家团队,￥80,
67,华山,  主任医师,儿科,小儿呼吸科,安徽省儿童医院,9.7,1089,,￥150,￥200
68,黄顺开,  主治医师,儿科,小儿呼吸科,广州医科大学附属第一医院,10.0,44,,￥59,
69,孟燕妮,  主任医师,儿科,小儿呼吸科,湖南省儿童医院,9.6,204,专家团队,￥60,
70,叶泽慧,  主治医师,儿科,小儿呼吸科,重庆医科大学附属儿童医院,10.0,37,,￥30,
71,王玉,  副主任医师,儿科,小儿呼吸科,安徽省儿童医院,10.0,60,,￥50,
72,高鲁燕,  主任医师,儿科,小儿呼吸科,深圳市儿童医院,10.0,17,,￥200,
73,张成,  主任医师,儿科,小儿呼吸科,珠海市人民医院,10.0,40,,￥100,
74,黄腾,  副主任医师,儿科,小儿呼吸科,广东省中医院大德路总院,9.9,1363,,,￥200
75,郦琳琳,  副主任医师,儿科,小儿呼吸科,南京市儿童医院,9.9,473,,￥100,
76,尚云晓,  主任医师,儿科,小儿呼吸科,中国医科大学附属盛京医院南湖院区,9.8,84,专家团队,￥200,￥500
77,郑燕霞,  副主任医师,儿科,小儿呼吸科,广东省中医院大德路总院,9.8,1158,,￥50,
78,刘培辉,  主任医师,儿科,小儿呼吸科,深圳市妇幼保健院红荔院区,10.0,1130,,￥20,
79,高燕敏,  主任医师,儿科,小儿呼吸科,无锡市第八人民医院,10.0,395,,￥100,
80,李晓迎,  主治医师,儿科,小儿呼吸科,天津市儿童医院,9.8,59,,￥30,￥80
81,刘丽辉,  副主任医师,儿科,小儿呼吸科,深圳市第二人民医院,9.9,117,,￥33,
82,王舒颖,  主治医师,儿科,小儿呼吸科,甘肃省妇幼保健院,10.0,8,,￥20,
83,刘孟妮,  主任医师,儿科,小儿呼吸科,深圳市妇幼保健院红荔院区,10.0,43,,￥100,
84,蒋红英,  副主任医师,儿科,小儿呼吸科,深圳市妇幼保健院红荔院区,10.0,33,,￥200,
85,刘海英,  副主任医师,儿科,小儿呼吸科,深圳市妇幼保健院红荔院区,10.0,9,,￥50,
86,郭永盛,  副主任医师,儿科,小儿呼吸科,天津市儿童医院,9.9,472,,,
87,王艳丽,  副主任医师,儿科,小儿呼吸科,武汉市妇女儿童医疗保健中心(儿童门诊),10.0,137,,￥50,
88,曹玉萍,  副主任医师,儿科,小儿呼吸科,深圳市妇幼保健院红荔院区,10.0,60,,￥30,
89,徐嘉望,  主任医师,儿科,小儿呼吸科,浙江萧山医院,9.3,17,,￥50,
90,文惯宇,  主治医师,儿科,小儿呼吸科,南京市儿童医院,9.9,431,,￥30,￥100
91,江文文,  主治医师,儿科,小儿呼吸科,广东省中医院大德路总院,10.0,31,,￥30,
92,曹玲,  主任医师,儿科,小儿呼吸科,首都儿科研究所附属儿童医院,8.9,33,,￥300,
93,周亚玲,  主任医师,儿科,小儿呼吸科,深圳市儿童医院,10.0,21,,￥160,
94,潘静,  主治医师,儿科,小儿呼吸科,深圳市第二人民医院,10.0,20,,￥25,
95,周菁,  主任医师,儿科,小儿呼吸科,苏州大学附属儿童医院,9.5,363,,￥45,
96,梁磊,  副主任医师,儿科,小儿呼吸科,安徽省儿童医院,10.0,67,,,￥500
97,费佳裕,  主治医师,儿科,小儿呼吸科,广东省妇幼保健院番禺院区,9.7,43,,￥30,
98,韩锋,  主治医师,儿科,小儿呼吸科,武汉市妇女儿童医疗保健中心(儿童门诊),9.5,32,,￥64,
99,贺晔,  主治医师,儿科,小儿呼吸科,常州市儿童医院,9.5,35,,￥30,
100,张泉,  主任医师,儿科,小儿呼吸科,昆明市儿童医院,9.9,614,,￥50,
101,郑泽吟,  住院医师,儿科,小儿呼吸科,广东省妇幼保健院番禺院区,10.0,15,,￥20,
102,周真,  主治医师,儿科,小儿呼吸科,广东省妇幼保健院番禺院区,10.0,346,,￥50,
103,闵慧,  副主任医师,儿科,小儿呼吸科,深圳市妇幼保健院红荔院区,10.0,68,,￥30,
104,姚梦霖,  主任医师,儿科,小儿呼吸科,深圳市妇幼保健院红荔院区,,3,,￥50,
105,苗涛,  副主任医师,儿科,小儿呼吸科,咸阳彩虹医院,10.0,7,,￥60,
106,罗淑娟,  副主任医师,儿科,小儿呼吸科,湖南省儿童医院,8.5,25,,￥30,
107,刘立云,  副主任医师,儿科,小儿呼吸科,中国医科大学附属盛京医院南湖院区,10.0,43,专家团队,￥60,
108,赵慧,  主治医师,儿科,小儿呼吸科,广东省妇幼保健院番禺院区,10.0,137,,￥80,
109,刘思,  主治医师,儿科,小儿呼吸科,中国医科大学附属盛京医院南湖院区,9.9,589,专家团队,￥98,
110,徐畅,  主治医师,儿科,小儿呼吸科,湖南省儿童医院,,23,,￥50,
111,于玫,  副主任医师,儿科,小儿呼吸科,天津市儿童医院,,7,,,
112,张婷婷,  主治医师,儿科,小儿呼吸科,甘肃省妇幼保健院,9.1,17,专家团队,￥30,
113,庞焕香,  主治医师,儿科,小儿呼吸科,广东省妇幼保健院番禺院区,10.0,189,,￥50,
114,赵京,  主任医师,儿科,小儿呼吸科,首都儿科研究所附属儿童医院,10.0,39,,,
115,王来成,  副主任医师,儿科,小儿呼吸科,义乌市妇幼保健院,,6,,￥60,￥120
