,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,李筠,  主任医师,儿科,小儿心血管内科,上海市儿童医院北京西路院区,9.8,542,,￥200,
1,周红梅,  主任医师,儿科,小儿心血管内科,武汉亚洲心脏病医院,9.9,1386,,￥30,
2,周欣,  主治医师,儿科,小儿心血管内科,山东大学齐鲁儿童医院,9.9,9055,,￥29,￥43
3,郭保静,  副主任医师,儿科,小儿心血管内科,首都医科大学附属北京安贞医院,9.9,75,专家团队,￥30,
4,陈笋,  主任医师,儿科,小儿心血管内科,上海交通大学医学院附属新华医院,9.9,645,,￥60,
5,赵乃琤,  主任医师,儿科,小儿心血管内科,南京市儿童医院,9.9,863,,￥68,
6,杨楠,  主任医师,儿科,小儿心血管内科,天津市儿童医院,10.0,799,,￥10,
7,邢艳琳,  副主任医师,儿科,小儿心血管内科,中国医科大学附属盛京医院南湖院区,10.0,110,专家团队,￥50,￥80
8,王伊然,  主治医师,儿科,小儿心血管内科,首都医科大学附属北京安贞医院,10.0,263,,￥30,
9,余更生,  主任医师,儿科,小儿心血管内科,重庆医科大学附属儿童医院,9.8,353,,￥79,￥299
10,黄洁,  主任医师,儿科,小儿心血管内科,苏州大学附属儿童医院,9.4,9,专家团队,￥60,
11,陈凌霄,  主治医师,儿科,小儿心血管内科,首都医科大学附属北京安贞医院,10.0,83,,￥30,
12,白凯,  副主任医师,儿科,小儿心血管内科,上海交通大学医学院附属新华医院,9.7,21,,￥100,￥150
13,王亚昆,  副主任医师,儿科,小儿心血管内科,天津市儿童医院,10.0,169,,￥20,
14,许小艳,  主治医师,儿科,小儿心血管内科,西安市儿童医院,,6,,￥10,
15,王丹,  医师,儿科,小儿心血管内科,湖南省儿童医院,9.9,379,,￥15,
16,周万平,  主任医师,儿科,小儿心血管内科,苏州大学附属儿童医院,10.0,139,专家团队,￥50,
17,孙凌,  主任医师,儿科,小儿心血管内科,苏州大学附属儿童医院,10.0,402,专家团队,￥120,
18,王祥,  副主任医师,儿科,小儿心血管内科,湖南省儿童医院,9.9,59,专家团队,￥50,
19,丁文虹,  主任医师,儿科,小儿心血管内科,首都医科大学附属北京安贞医院,10.0,1063,专家团队,￥100,￥300
20,刘丽萍,  副主任医师,儿科,小儿心血管内科,湖南省人民医院,10.0,82,专家团队,￥50,
21,钱为国,  主任医师,儿科,小儿心血管内科,苏州大学附属儿童医院,9.6,55,专家团队,￥20,
22,郑春华,  主任医师,儿科,小儿心血管内科,首都儿科研究所附属儿童医院,10.0,49,,￥60,
23,左超,  主治医师,儿科,小儿心血管内科,湖南省儿童医院,10.0,13,,￥20,￥100
24,陈睿,  副主任医师,儿科,小儿心血管内科,中国医科大学附属盛京医院南湖院区,10.0,232,专家团队,￥60,￥200
25,于雪馨,  主治医师,儿科,小儿心血管内科,中国医科大学附属盛京医院南湖院区,10.0,234,专家团队,￥15,￥200
26,凌雁,  副主任医师,儿科,小儿心血管内科,首都医科大学附属北京安贞医院,10.0,80,专家团队,￥149,
27,李健,  主治医师,儿科,小儿心血管内科,西安市儿童医院,,6,,￥30,
28,张陈,  副主任医师,儿科,小儿心血管内科,首都医科大学附属北京安贞医院,9.9,98,,￥60,￥200
29,杨世伟,  主任医师,儿科,小儿心血管内科,南京市儿童医院,9.7,265,专家团队,￥100,
30,胡根源,  副主任医师,儿科,小儿心血管内科,安徽省儿童医院,10.0,22,,￥30,￥65
31,张勇,  主任医师,儿科,小儿心血管内科,武汉市妇女儿童医疗保健中心(儿童门诊),9.9,35,,￥20,
32,吕海涛,  主任医师,儿科,小儿心血管内科,苏州大学附属儿童医院,9.7,343,专家团队,￥60,
33,贾丽娟,  副主任医师,儿科,小儿心血管内科,河南省儿童医院,10.0,265,,￥20,
34,王宏茂,  主治医师,儿科,小儿心血管内科,首都儿科研究所附属儿童医院,9.6,168,,￥50,
35,于宪一,  主任医师,儿科,小儿心血管内科,中国医科大学附属盛京医院南湖院区,10.0,16,专家团队,￥200,
36,周丽,  主任医师,儿科,小儿心血管内科,河南省儿童医院,10.0,51,,￥20,
37,陈静,  主任医师,儿科,小儿心血管内科,天津市儿童医院,10.0,40,,￥80,
38,赵鹏军,  副主任医师,儿科,小儿心血管内科,上海交通大学医学院附属新华医院,9.7,285,,￥30,
39,王野峰,  副主任医师,儿科,小儿心血管内科,湖南省儿童医院,10.0,46,,￥50,
40,韩玲,  主任医师,儿科,小儿心血管内科,首都医科大学附属北京安贞医院,10.0,14,,,
41,白希玲,  主任医师,儿科,小儿心血管内科,河南省胸科医院,,2,,￥20,
42,肖云彬,  副主任医师,儿科,小儿心血管内科,湖南省儿童医院,10.0,21,,￥200,
43,袁勇华,  副主任医师,儿科,小儿心血管内科,湖南省人民医院,9.6,22,专家团队,￥30,￥200
44,刘大为,  主治医师,儿科,小儿心血管内科,大连市儿童医院,,2,,￥30,
45,王霄芳,  副主任医师,儿科,小儿心血管内科,首都医科大学附属北京安贞医院,9.3,78,专家团队,￥10,￥200
46,李伟,  主治医师,儿科,小儿心血管内科,首都医科大学附属北京安贞医院,,1,,￥30,
47,王玉林,  主任医师,儿科,小儿心血管内科,山东省立医院,,1,,￥60,￥200
48,顾虹,  主任医师,儿科,小儿心血管内科,首都医科大学附属北京安贞医院,,42,专家团队,￥500,
49,祝高红,  主治医师,儿科,小儿心血管内科,武汉市妇女儿童医疗保健中心(儿童门诊),,7,,,￥20
50,黄玉强,  主任医师,儿科,小儿心血管内科,临沂市妇幼保健院,,0,,￥100,￥200
51,赵莉晴,  主治医师,儿科,小儿心血管内科,上海交通大学医学院附属新华医院,,1,,￥30,
52,李强强,  副主任医师,儿科,小儿心血管内科,首都医科大学附属北京安贞医院,,1,,￥30,￥200
53,吕震宇,  主治医师,儿科,小儿心血管内科,首都医科大学附属北京安贞医院,,0,,￥50,
54,皇甫春荣,  副主任医师,儿科,小儿心血管内科,云南省第一人民医院,,1,,￥25,
55,任振博,  住院医师,儿科,小儿心血管内科,天津市儿童医院,,0,,￥20,
56,孙琪青,  主治医师,儿科,小儿心血管内科,河南省儿童医院,,2,,￥20,
57,赵晓蕾,  住院医师,儿科,小儿心血管内科,泰达国际心血管病医院,,2,,￥25,
58,朱梦雅,  住院医师,儿科,小儿心血管内科,泰达国际心血管病医院,,0,,￥10,
59,马妍,  主治医师,儿科,小儿心血管内科,天津市儿童医院,,0,,￥30,
60,李昊颖,  主治医师,儿科,小儿心血管内科,天津市儿童医院,,0,,￥30,
61,李珊珊,  主治医师,儿科,小儿心血管内科,武汉亚洲心脏病医院,,0,,￥30,
62,何琛璐,  住院医师,儿科,小儿心血管内科,青海省妇女儿童医院,,0,专家团队,,￥200
63,匡冰,  住院医师,儿科,小儿心血管内科,罗田县匡河中心卫生院石桥铺分院,,0,,￥20,
64,李新香,  主治医师,儿科,小儿心血管内科,山东大学齐鲁儿童医院,9.8,11,,,
65,周广玉,  主任医师,儿科,小儿心血管内科,烟台毓璜顶医院,9.7,134,,,
66,夏琨,  副主任医师,儿科,小儿心血管内科,武汉市妇女儿童医疗保健中心(儿童门诊),9.9,107,,,
67,王涛,  副主任医师,儿科,小儿心血管内科,四川大学华西第二医院,10.0,16,,,
68,曹玉玲,  住院医师,儿科,小儿心血管内科,山西省儿童医院,9.6,16,,,
69,王策,  副主任医师,儿科,小儿心血管内科,中国医科大学附属盛京医院南湖院区,,8,专家团队,,
70,戴辰程,  副主任医师,儿科,小儿心血管内科,首都医科大学附属北京安贞医院,10.0,27,,,
71,李文秀,  副主任医师,儿科,小儿心血管内科,首都医科大学附属北京安贞医院,9.8,88,,,
