,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,袁丽华,  副主任医师,儿科,小儿感染科,青岛市妇女儿童医院,10.0,5533,专家团队,￥99,￥188
1,田野,  副主任医师,儿科,小儿感染科,南京市儿童医院,9.9,330,,￥198,
2,谭艳芳,  副主任医师,儿科,小儿感染科,湖南省儿童医院,10.0,63,,￥40,
3,方庆丰,  主任医师,儿科,小儿感染科,安徽省儿童医院,10.0,957,,￥20,
4,沈楠,  主治医师,儿科,小儿感染科,上海儿童医学中心,10.0,263,,￥40,
5,汤光明,  副主任医师,儿科,小儿感染科,苏州大学附属儿童医院,10.0,263,,￥68,￥108
6,李立群,  副主任医师,儿科,小儿感染科,南京市儿童医院,10.0,109,,￥80,
7,任路,  主治医师,儿科,小儿感染科,广州市妇女儿童医疗中心(广州市儿童医院),10.0,3743,,￥40,
8,乜之瑛,  副主任医师,儿科,小儿感染科,深圳市妇幼保健院红荔院区,10.0,29,,￥50,
9,陈军华,  主任医师,儿科,小儿感染科,重庆医科大学附属儿童医院,9.5,67,,￥150,
10,王芳,  主治医师,儿科,小儿感染科,河南省儿童医院,9.9,304,,￥30,
11,孔小行,  主任医师,儿科,小儿感染科,苏州大学附属儿童医院,10.0,45,,￥100,￥200
12,梅小丽,  主任医师,儿科,小儿感染科,南京市儿童医院,9.9,387,,￥50,￥120
13,郑改焕,  副主任医师,儿科,小儿感染科,重庆医科大学附属儿童医院,9.7,29,,￥95,
14,白华磊,  主治医师,儿科,小儿感染科,山东大学齐鲁儿童医院,10.0,51,,￥20,
15,杨维民,  主治医师,儿科,小儿感染科,青岛市妇女儿童医院,10.0,524,专家团队,￥30,
16,郭熙英,  主任医师,儿科,小儿感染科,新疆维吾尔自治区人民医院,9.8,1012,,￥50,￥200
17,刘培辉,  主任医师,儿科,小儿感染科,深圳市妇幼保健院红荔院区,10.0,1131,,￥20,
18,申远方,  副主任医师,儿科,小儿感染科,河南省儿童医院,10.0,27,,￥30,
19,刘孟妮,  主任医师,儿科,小儿感染科,深圳市妇幼保健院红荔院区,10.0,43,,￥100,
20,刘世新,  主任医师,儿科,小儿感染科,深圳市妇幼保健院红荔院区,10.0,55,,￥50,
21,蒋红英,  副主任医师,儿科,小儿感染科,深圳市妇幼保健院红荔院区,10.0,33,,￥200,
22,刘海英,  副主任医师,儿科,小儿感染科,深圳市妇幼保健院红荔院区,10.0,9,,￥50,
