,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,李俊,  主治医师,儿科,小儿消化科,重庆医科大学附属儿童医院,10.0,28,,￥99,
1,刘晖,  主任医师,儿科,小儿消化科,常州市儿童医院,10.0,5754,,￥60,￥70
2,周华,  副主任医师,儿科,小儿消化科,华中科技大学同济医学院附属同济医院,9.9,705,,￥50,
3,张书红,  主任医师,儿科,小儿消化科,天津市儿童医院,10.0,180,,￥200,
4,胡明,  副主任医师,儿科,小儿消化科,上海儿童医学中心,10.0,324,,￥100,
5,陈玉霞,  主治医师,儿科,小儿消化科,重庆医科大学附属儿童医院,10.0,107,,￥100,
6,皮壮,  主治医师,儿科,小儿消化科,吉林大学第一医院,10.0,829,,￥50,￥200
7,张文婷,  副主任医师,儿科,小儿消化科,湖南省儿童医院,10.0,127,,￥60,
8,郭静,  副主任医师,儿科,小儿消化科,中国医科大学附属盛京医院南湖院区,10.0,2498,,￥80,
9,张佳瑜,  住院医师,儿科,小儿消化科,上海儿童医学中心,10.0,397,,￥58,
10,王晓茵,  主任医师,儿科,小儿消化科,中国医科大学附属盛京医院南湖院区,10.0,274,专家团队,￥200,
11,冯海霞,  主治医师,儿科,小儿消化科,上海交通大学医学院附属新华医院,9.9,2363,,￥98,￥180
12,刘传洋,  主治医师,儿科,小儿消化科,重庆医科大学附属儿童医院,9.9,124,,￥15,
13,张先华,  主任医师,儿科,小儿消化科,湖南省人民医院,10.0,1867,专家团队,￥79,￥150
14,赵煜,  主任医师,儿科,小儿消化科,天津市儿童医院,10.0,350,,￥200,￥300
15,符晓莉,  主治医师,儿科,小儿消化科,山东大学齐鲁儿童医院,10.0,947,,￥50,￥100
16,董丽娟,  主任医师,儿科,小儿消化科,北京儿童医院,9.9,1797,,￥149,
17,张春艳,  副主任医师,儿科,小儿消化科,吉林大学第一医院,10.0,1003,,￥60,
18,王洪丽,  主治医师,儿科,小儿消化科,广州市妇女儿童医疗中心(广州市儿童医院),10.0,48,,￥125,
19,唐莹莹,  主治医师,儿科,小儿消化科,武汉市妇女儿童医疗保健中心(儿童门诊),10.0,1062,,￥20,
20,梅红,  主任医师,儿科,小儿消化科,武汉市妇女儿童医疗保健中心(儿童门诊),10.0,3117,,￥100,
21,杨平平,  主治医师,儿科,小儿消化科,中国医科大学附属盛京医院南湖院区,10.0,2449,,￥40,
22,涂国华,  主任医师,儿科,小儿消化科,常州市儿童医院,9.9,984,,￥100,￥100
23,梁慧,  副主任医师,儿科,小儿消化科,南京市儿童医院,10.0,1331,,￥200,
24,侯凌,  副主任医师,儿科,小儿消化科,深圳市妇幼保健院红荔院区,9.8,586,,￥100,
25,林兴,  主治医师,儿科,小儿消化科,广东省妇幼保健院番禺院区,10.0,3285,,￥100,
