,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,刘艳,  副主任医师,儿科,小儿神经内科,华中科技大学同济医学院附属同济医院,9.9,904,,￥60,
1,卓秀伟,  主治医师,儿科,小儿神经内科,北京儿童医院,10.0,1276,,￥150,
2,吴洁,  主任医师,儿科,小儿神经内科,上海交通大学医学院附属新华医院,9.0,423,,￥300,
3,孙觊,  主治医师,儿科,小儿神经内科,吉林大学第一医院,10.0,1904,,￥30,
4,李志毅,  主任医师,儿科,小儿神经内科,山东大学齐鲁儿童医院,10.0,2757,,￥70,￥150
5,金波,  主任医师,儿科,小儿神经内科,南京市儿童医院,10.0,5915,,￥248,￥400
6,刘俊举,  主任医师,儿科,小儿神经内科,扬州大学附属医院西区医院,9.7,493,,￥30,
7,黄艳军,  主任医师,儿科,小儿神经内科,南京市儿童医院,9.9,600,,￥100,￥150
8,黄胜,  主治医师,儿科,小儿神经内科,武汉市妇女儿童医疗保健中心(儿童门诊),,6,,￥45,
9,张刚,  副主任医师,儿科,小儿神经内科,南京市儿童医院,10.0,122,,￥150,
10,刘芳,  主任医师,儿科,小儿神经内科,广东省妇幼保健院番禺院区,10.0,994,,￥80,
11,孙浩,  副主任医师,儿科,小儿神经内科,山西省儿童医院,10.0,113,,￥25,￥50
12,王明光,  主任医师,儿科,小儿神经内科,徐州市儿童医院,,3,,￥50,
13,韩颖,  副主任医师,儿科,小儿神经内科,北京大学第一医院,9.9,171,,￥200,
14,刘士东,  主任医师,儿科,小儿神经内科,沛县大屯街道郝寨卫生院,10.0,10,,￥50,￥100
15,李春,  副主任医师,儿科,小儿神经内科,中国医科大学附属盛京医院南湖院区,10.0,69,专家团队,￥80,
16,宋西晓,  主任医师,儿科,小儿神经内科,西安市儿童医院,10.0,24,专家团队,￥300,
17,祁伯祥,  主任医师,儿科,小儿神经内科,徐州市儿童医院,10.0,256,,￥35,
18,王林淦,  主治医师,儿科,小儿神经内科,广东省妇幼保健院番禺院区,10.0,463,,￥50,
19,杨凤华,  主任医师,儿科,小儿神经内科,中国医科大学附属盛京医院南湖院区,9.9,106,专家团队,￥120,￥220
20,高峰,  主任医师,儿科,小儿神经内科,浙江大学医学院附属儿童医院(滨江新院区),10.0,1528,,￥200,￥500
21,陈述花,  主任医师,儿科,小儿神经内科,北京儿童医院,9.6,230,专家团队,￥300,￥300
22,李春香,  主任医师,儿科,小儿神经内科,烟台毓璜顶医院,9.8,265,,￥50,￥100
23,张育才,  主任医师,儿科,小儿神经内科,上海市儿童医院北京西路院区,9.6,864,,￥200,
