,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,张琳琳,  主治医师,儿科,小儿血液科,中国医科大学附属盛京医院南湖院区,,3,,￥29,
1,胡群,  主任医师,儿科,小儿血液科,华中科技大学同济医学院附属同济医院,9.6,250,,￥60,
2,宋泽亮,  主治医师,儿科,小儿血液科,首都儿科研究所附属儿童医院,9.9,927,,￥50,￥200
3,方拥军,  主任医师,儿科,小儿血液科,南京市儿童医院,10.0,509,,￥68,
4,吴泽霖,  主治医师,儿科,小儿血液科,广州医科大学附属第一医院,10.0,296,,￥50,
5,姜丽华,  副主任医师,儿科,小儿血液科,天津市儿童医院,10.0,102,,￥10,
6,师晓东,  主任医师,儿科,小儿血液科,首都儿科研究所附属儿童医院,10.0,2740,,￥300,￥600
7,王晓莉,  副主任医师,儿科,小儿血液科,烟台毓璜顶医院,10.0,594,,￥50,￥150
8,林如峰,  副主任医师,儿科,小儿血液科,南京市儿童医院,10.0,180,,￥30,
9,陈玉梅,  主任医师,儿科,小儿血液科,中国医学科学院血液病医院（血液学研究所）,10.0,546,,￥300,￥400
10,邹尧,  副主任医师,儿科,小儿血液科,中国医学科学院血液病医院（血液学研究所）,10.0,334,,￥200,￥200
11,马平,  主治医师,儿科,小儿血液科,河南省儿童医院,,6,,￥10,￥40
12,张俊,  副主任医师,儿科,小儿血液科,常州市儿童医院,10.0,908,,￥30,￥30
13,刘晓明,  副主任医师,儿科,小儿血液科,中国医学科学院血液病医院（血液学研究所）,10.0,33,,￥100,￥200
14,程杰,  副主任医师,儿科,小儿血液科,安徽省儿童医院,10.0,219,,￥80,￥80
15,李君惠,  副主任医师,儿科,小儿血液科,首都儿科研究所附属儿童医院,9.9,65,,￥79,
16,刘婷,  副主任医师,儿科,小儿血液科,珠海市妇幼保健院,10.0,49,,￥25,
17,陆勤,  主任医师,儿科,小儿血液科,南京市儿童医院,9.7,328,,￥100,￥130
18,李红,  副主任医师,儿科,小儿血液科,上海市儿童医院北京西路院区,10.0,187,,￥60,
19,周芬,  副主任医师,儿科,小儿血液科,华中科技大学同济医学院附属协和医院,9.6,277,专家团队,￥100,
20,张丽,  主任医师,儿科,小儿血液科,中国医学科学院血液病医院（血液学研究所）,,1,,￥100,
21,卢俊,  主任医师,儿科,小儿血液科,苏州大学附属儿童医院,9.9,154,,￥50,
22,王兆辉,  主治医师,儿科,小儿血液科,泰安市中心医院,,5,,￥10,
23,郭晔,  主任医师,儿科,小儿血液科,中国医学科学院血液病医院（血液学研究所）,10.0,351,,￥150,￥200
24,陈凯,  副主任医师,儿科,小儿血液科,上海市儿童医院北京西路院区,10.0,25,,￥50,￥120
25,王欢,  副主任医师,儿科,小儿血液科,中国医科大学附属盛京医院南湖院区,9.4,92,专家团队,,
26,胡涛,  副主任医师,儿科,小儿血液科,首都儿科研究所附属儿童医院,9.0,6,,￥90,
27,李桂梅,  主任医师,儿科,小儿血液科,山东省立医院,9.9,211,专家团队,￥50,
28,王弘,  主任医师,儿科,小儿血液科,中国医科大学附属盛京医院南湖院区,,6,专家团队,￥149,￥300
29,李俊霞,  住院医师,儿科,小儿血液科,江苏省人民医院,,8,专家团队,￥30,
30,蒋小梅,  副主任医师,儿科,小儿血液科,湖南省儿童医院,,0,,￥800,
31,柳彩虹,  住院医师,儿科,小儿血液科,山东省立医院,,0,,￥25,
32,常光妮,  住院医师,儿科,小儿血液科,泰安市中心医院,,0,,￥10,
33,阮敏,  副主任医师,儿科,小儿血液科,中国医学科学院血液病医院（血液学研究所）,10.0,238,,,
34,郑敏翠,  主任医师,儿科,小儿血液科,湖南省儿童医院,10.0,53,专家团队,,
35,贺湘玲,  主任医师,儿科,小儿血液科,湖南省人民医院,10.0,9,专家团队,,
36,周晓海,  住院医师,儿科,小儿血液科,温州医科大学附属第二医院,,2,,,
37,张蕾,  副主任医师,儿科,小儿血液科,首都儿科研究所附属儿童医院,10.0,164,,,
38,罗荣华,  主任医师,儿科,小儿血液科,泰安市中心医院,10.0,191,,,
39,邵静波,  主任医师,儿科,小儿血液科,上海市儿童医院北京西路院区,9.9,212,,,
40,常丽贤,  副主任医师,儿科,小儿血液科,中国医学科学院血液病医院（血液学研究所）,10.0,58,,,
41,贾月萍,  主任医师,儿科,小儿血液科,北京大学国际医院,9.9,104,,,
42,金玉婷,  医师,儿科,小儿血液科,安徽省儿童医院,10.0,9,,,
43,马志贵,  主任医师,儿科,小儿血液科,四川大学华西第二医院,10.0,15,,,
44,徐刚,  副主任医师,儿科,小儿血液科,中国医科大学附属盛京医院南湖院区,10.0,51,专家团队,,
45,高飞,  主任医师,儿科,小儿血液科,山东省立医院,,0,,,
46,梁家仪,  医师,儿科,小儿血液科,广东省人民医院,,2,,,
47,罗明静,  住院医师,儿科,小儿血液科,重庆医科大学附属儿童医院,,4,,,
48,李爽,  主治医师,儿科,小儿血液科,中国医科大学附属盛京医院南湖院区,10.0,37,专家团队,,
49,陈力军,  主任医师,儿科,小儿血液科,山东省立医院,,3,,,
50,田新,  主任医师,儿科,小儿血液科,昆明市儿童医院,,3,,,
51,刘红林,  副主任医师,儿科,小儿血液科,昆明市儿童医院,,3,,,
52,黄体龙,  副主任医师,儿科,小儿血液科,昆明市儿童医院,,3,,,
53,林云碧,  副主任医师,儿科,小儿血液科,昆明市儿童医院,,2,,,
54,金辉,  副主任医师,儿科,小儿血液科,昆明市儿童医院,,2,,,
55,郑浩,  副主任医师,儿科,小儿血液科,福建医科大学附属协和医院,,2,,,
56,陈茵,  主任医师,儿科,小儿血液科,广东省中医院大德路总院,9.0,4,,,
57,戎留成,  主任医师,儿科,小儿血液科,南京市儿童医院,,2,,,
58,王绪栋,  副主任医师,儿科,小儿血液科,泰安市中心医院,,1,,,
