,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,张国庆,  副主任医师,儿科,新生儿科,上海儿童医学中心,10.0,3563,,￥89,￥400
1,须丽清,  副主任医师,儿科,新生儿科,上海儿童医学中心,10.0,88,,￥40,
2,高金枝,  副主任医师,儿科,新生儿科,华中科技大学同济医学院附属同济医院,10.0,548,,￥89,
3,郑洪,  主任医师,儿科,新生儿科,安徽省儿童医院,10.0,6998,,￥160,￥200
4,陈玲,  主任医师,儿科,新生儿科,华中科技大学同济医学院附属同济医院,9.7,1121,,￥80,
5,冉旭东,  副主任医师,儿科,新生儿科,苏州大学附属儿童医院,10.0,10298,,￥80,￥80
6,刘立婷,  主治医师,儿科,新生儿科,重庆医科大学附属儿童医院,10.0,41,,￥68,
7,范颖,  主治医师,儿科,新生儿科,重庆医科大学附属儿童医院,10.0,158,,￥50,
8,朱为国,  副主任医师,儿科,新生儿科,南方医科大学南方医院,10.0,682,,￥99,
9,万子文,  主治医师,儿科,新生儿科,南昌市第三医院,10.0,4083,,￥22,
10,谢利娟,  主任医师,儿科,新生儿科,上海交通大学医学院附属新华医院,9.9,1302,,￥300,￥500
11,李向红,  主任医师,儿科,新生儿科,青岛大学附属医院黄岛院区,10.0,1678,,￥50,￥60
12,郭世杰,  主任医师,儿科,新生儿科,吉林大学第一医院,10.0,224,,￥80,
13,容志惠,  副主任医师,儿科,新生儿科,华中科技大学附属同济医院光谷院区,10.0,703,,￥128,￥300
14,钱继红,  主任医师,儿科,新生儿科,上海交通大学医学院附属新华医院,9.9,1130,,￥400,￥450
15,黄绮薇,  主任医师,儿科,新生儿科,上海市儿童医院北京西路院区,9.8,413,,￥200,
16,周红侠,  副主任医师,儿科,新生儿科,陕西省人民医院,10.0,6202,,￥40,￥50
17,宋红霞,  副主任医师,儿科,新生儿科,西安交通大学第一附属医院,9.9,358,专家团队,￥40,
18,刘伟,  副主任医师,儿科,新生儿科,华中科技大学同济医学院附属同济医院,9.9,239,,￥100,
19,施婴婴,  主任医师,儿科,新生儿科,中国福利会国际和平妇幼保健院,10.0,4017,专家团队,￥198,
20,王柱,  副主任医师,儿科,新生儿科,广东省妇幼保健院番禺院区,10.0,923,,￥50,
21,王玲,  主治医师,儿科,新生儿科,广州市妇女儿童医疗中心(广州市儿童医院),9.9,316,,￥30,
22,邱禹杉,  主治医师,儿科,新生儿科,哈尔滨医科大学附属第一医院,10.0,30,,￥50,
23,姚望,  副主任医师,儿科,新生儿科,阳光融和医院,10.0,521,,￥30,
24,胡勇,  主任医师,儿科,新生儿科,上海市东方医院南院,9.7,336,,￥60,￥200
25,王昌燕,  副主任医师,儿科,新生儿科,西电集团医院,10.0,449,,￥30,￥100
26,刘颖,  副主任医师,儿科,新生儿科,广东省妇幼保健院番禺院区,10.0,495,,￥50,￥100
27,孙革,  主任医师,儿科,新生儿科,浙江大学医学院附属妇产科医院,10.0,176,,￥0,
28,王晓蕾,  主任医师,儿科,新生儿科,无锡市人民医院,9.9,92,,￥50,￥80
29,陈永秀,  主任医师,儿科,新生儿科,四川大学华西第二医院,10.0,218,,￥100,
30,姚海娟,  副主任医师,儿科,新生儿科,苏州大学附属儿童医院,10.0,126,,￥100,￥200
31,郭文卉,  主治医师,儿科,新生儿科,哈尔滨医科大学附属第一医院,10.0,30,,￥20,
32,赵英娟,  主治医师,儿科,新生儿科,咸阳市中心医院,10.0,245,,￥40,
33,赵智,  主任医师,儿科,新生儿科,陕西省人民医院,10.0,516,,￥40,￥50
34,毛旭洁,  主任医师,儿科,新生儿科,乐清市人民医院,10.0,1245,,￥20,
35,刘冬云,  主任医师,儿科,新生儿科,青岛大学附属医院市南院区,9.9,319,,￥100,
36,王欢,  主治医师,儿科,新生儿科,哈尔滨医科大学附属第一医院,10.0,337,,￥50,￥75
37,宋小燕,  主治医师,儿科,新生儿科,南方医科大学南方医院,10.0,1106,,￥40,
38,张建军,  副主任医师,儿科,新生儿科,徐州市儿童医院,10.0,35,,￥50,
39,刘晓婷,  主治医师,儿科,新生儿科,山东大学齐鲁儿童医院,10.0,16,,￥30,￥40
40,赵莉萍,  主任医师,儿科,新生儿科,内蒙古自治区妇幼保健院,,11,,￥50,
41,杨祖钦,  副主任医师,儿科,新生儿科,温州医科大学附属第二医院,9.8,89,,￥60,
42,何康成,  副主任医师,儿科,新生儿科,东莞市滨海湾中心医院,10.0,20,,￥50,
43,杨依,  主治医师,儿科,新生儿科,湖北民族大学附属民大医院,10.0,17,,￥20,
44,颜胜宇,  主任医师,儿科,新生儿科,温州市人民医院,10.0,1029,,￥50,
45,夏利,  主治医师,儿科,新生儿科,四川省妇幼保健院,10.0,372,,￥30,
46,廖祥福,  主任医师,儿科,新生儿科,岳阳市第一人民医院,,3,,￥20,
47,阚兴财,  主治医师,儿科,新生儿科,泰安市中医医院,10.0,37,,￥20,
48,裘刚,  主任医师,儿科,新生儿科,上海市儿童医院北京西路院区,9.5,257,,￥160,￥500
49,姜红,  主任医师,儿科,新生儿科,武汉市中心医院南京路院区,10.0,547,,￥50,
50,刘翔,  主任医师,儿科,新生儿科,安徽省儿童医院,9.9,379,,￥80,
51,李先红,  副主任医师,儿科,新生儿科,安徽省儿童医院,10.0,309,,￥50,
52,郭立艳,  主任医师,儿科,新生儿科,天津市蓟州区人民医院,10.0,50,,￥30,
53,孙雪明,  主治医师,儿科,新生儿科,潍坊市益都中心医院,,1,,￥30,
54,龚小慧,  主任医师,儿科,新生儿科,上海市儿童医院普陀新院,9.8,294,,￥150,
55,邹婵娟,  副主任医师,儿科,新生儿科,湖南省儿童医院,10.0,384,,￥60,￥300
56,刘畅,  副主任医师,儿科,新生儿科,中国医科大学附属盛京医院南湖院区,10.0,818,,￥60,￥500
57,林柏杏,  主治医师,儿科,新生儿科,南方医科大学深圳医院,9.9,239,,￥25,￥35
58,姜赤秋,  主任医师,儿科,新生儿科,湖北省第三人民医院,10.0,6,专家团队,￥50,
59,兰雪,  住院医师,儿科,新生儿科,哈尔滨医科大学附属第一医院,10.0,35,,￥50,
60,陈文,  主任医师,儿科,新生儿科,重庆市妇幼保健院(七星岗院区),10.0,13,,￥100,
