,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,周珍妮,  副主任医师,全科医疗科,全科,大连大学附属新华医院,10.0,235,,￥1,
1,王洪华,  主治医师,全科医疗科,全科,山东第一医科大学第二附属医院,10.0,315655,,￥15,
2,黄玉明,  副主任医师,全科医疗科,全科,厦门市第五医院,10.0,23866,,￥30,￥34
3,吴永峰,  副主任医师,全科医疗科,全科,七台河市人民医院,10.0,14081,,￥20,￥20
4,梁力晖,  主任医师,全科医疗科,全科,湖南省人民医院,10.0,756,专家团队,￥24,￥50
5,杨鹏,  主治医师,全科医疗科,全科,四川省医学科学院·四川省人民医院,9.8,2707,,￥35,￥40
6,张涛,  主治医师,全科医疗科,全科,陕西省中医医院,10.0,6805,,￥20,￥39
7,杨爽,  副主任医师,全科医疗科,全科,河源市人民医院,9.9,2556,,￥100,
8,刘军武,  主治医师,全科医疗科,全科,天津市蓟州区人民医院,10.0,21937,,￥30,
9,陈文坚,  副主任医师,全科医疗科,全科,华中科技大学同济医学院附属同济医院,10.0,15,,￥30,
10,韩光宇,  副主任医师,全科医疗科,全科,天津市蓟州区人民医院,9.9,4812,,￥20,￥20
11,余宁生,  主治医师,全科医疗科,全科,泸州市中医医院,9.9,2518,,￥30,￥100
12,祁慧萌,  副主任医师,全科医疗科,全科,中国医科大学附属第一医院,10.0,107,,￥30,
13,于艳秋,  副主任医师,全科医疗科,全科,东南大学附属中大医院,10.0,4647,,￥30,￥50
14,王传德,  副主任医师,全科医疗科,全科,济阳县垛石镇中心卫生院,10.0,118715,,￥30,￥20
15,高军,  主治医师,全科医疗科,全科,曹县朱洪庙乡卫生院,10.0,123470,,￥10,
16,张晓猛,  副主任医师,全科医疗科,全科,合肥市第一人民医院,10.0,12309,,￥45,￥45
17,胡皓,  主治医师,全科医疗科,全科,复旦大学附属中山医院,10.0,170,,￥100,
18,李霞,  主任医师,全科医疗科,全科,新疆医科大学第五附属医院,10.0,409,专家团队,￥60,￥500
19,陈大国,  主任医师,全科医疗科,全科,山东省东平县银山镇中心卫生院,10.0,854,,￥10,￥20
20,曾华龙,  主治医师,全科医疗科,全科,三明市第一医院,,2163,,￥30,￥80
21,乔光华,  主治医师,全科医疗科,全科,济南市历城区港沟街道办事处社区卫生服务中心,10.0,196162,,￥5,￥39
22,马全英,  主治医师,全科医疗科,全科,新疆生产建设兵团第四师医院,9.9,786,,￥20,
23,杨海杰,  主治医师,全科医疗科,全科,揭阳市榕城区人民医院,10.0,300507,,￥5,￥20
24,李红冬,  主治医师,全科医疗科,全科,深圳市宝安区人民医院,9.7,3071,,￥50,￥200
25,郎秀婷,  副主任医师,全科医疗科,全科,潍坊市坊子区坊安街道卫生院,9.9,57410,,￥15,
26,钱小林,  副主任医师,全科医疗科,全科,安徽省庐江县人民医院,10.0,21059,,￥20,￥20
27,关邯峰,  副主任医师,全科医疗科,全科,华中科技大学同济医学院附属同济医院,9.8,249,,￥39,
