,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,汤正义,  主任医师,内科,内分泌科,上海交通大学医学院附属瑞金医院,9.9,4658,,￥300,
1,王晓黎,  主任医师,内科,内分泌科,中国医科大学附属第一医院,10.0,2540,专家团队,￥200,￥199
2,孟馨,  主任医师,内科,内分泌科,中国医科大学附属第一医院,10.0,483,,￥89,
3,余希杰,  主任医师,内科,内分泌科,四川大学华西医院,10.0,101,,￥150,￥300
4,徐潮,  主任医师,内科,内分泌科,山东省立医院,10.0,1479,专家团队,￥50,￥200
5,蒋伏松,  主任医师,内科,内分泌科,上海市第六人民医院东院(临港),10.0,1474,,￥100,￥200
6,凌雁,  主任医师,内科,内分泌科,复旦大学附属中山医院,9.9,761,,￥400,
7,罗说明,  副主任医师,内科,内分泌科,中南大学湘雅二医院,10.0,729,,￥80,
8,刘向阳,  副主任医师,内科,内分泌科,西京医院,10.0,672,,￥300,￥300
9,潘洁敏,  副主任医师,内科,内分泌科,上海市第六人民医院,9.9,300,专家团队,￥100,￥200
10,王淑艳,  主任医师,内科,内分泌科,烟台毓璜顶医院,10.0,12682,,￥60,￥200
11,罗萍艳,  主治医师,内科,内分泌科,贵州医科大学附属医院,10.0,16868,,￥5,￥39
12,宋淑萍,  主任医师,内科,内分泌科,天津医院,10.0,17309,,￥40,￥60
13,于明香,  主任医师,内科,内分泌科,复旦大学附属中山医院,9.9,1513,,￥500,￥880
14,邵菲菲,  主治医师,内科,内分泌科,甘肃省人民医院,9.9,9194,,￥21,
15,王洪华,  主治医师,内科,内分泌科,丽水微医互联网医院,10.0,315485,,￥15,
16,高峰,  主任医师,内科,内分泌科,华中科技大学同济医学院附属协和医院,10.0,4470,,￥100,￥200
17,王从容,  主任医师,内科,内分泌科,上海市第四人民医院,9.6,326,专家团队,￥199,￥300
18,苏欣,  主任医师,内科,内分泌科,中南大学湘雅二医院,9.9,809,,￥30,
19,陈芬琴,  副主任医师,内科,内分泌科,中国医科大学附属第一医院,10.0,576,,￥49,
20,袁晓勇,  副主任医师,内科,内分泌科,北京大学第一医院,10.0,248,,￥99,
21,俞一飞,  主治医师,内科,内分泌科,复旦大学附属华山医院,10.0,416,,￥30,
