,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,张海鹏,  住院医师,内科,呼吸内科,四川大学华西医院,10.0,2214,,￥30,￥60
1,汪涛,  主任医师,内科,呼吸内科,华中科技大学同济医学院附属同济医院,10.0,3801,,￥120,
2,罗锋,  主治医师,内科,呼吸内科,四川大学华西医院,9.9,1689,,￥140,
3,陈雪华,  副主任医师,内科,呼吸内科,复旦大学附属中山医院,9.8,1866,,￥80,
4,任治秀,  副主任医师,内科,呼吸内科,四川大学华西医院,9.8,490,,￥90,
5,温华,  副主任医师,内科,呼吸内科,中国医科大学附属第一医院,10.0,59,,￥50,
6,寿璐,  副主任医师,内科,呼吸内科,浙江省立同德医院,,6,,￥20,
7,黄铁群,  主任医师,内科,呼吸内科,中日友好医院,10.0,1359,,￥200,￥200
8,蒋进军,  主任医师,内科,呼吸内科,复旦大学附属中山医院,9.7,839,,￥380,￥800
9,彭再梅,  主任医师,内科,呼吸内科,中南大学湘雅二医院,9.9,649,,￥149,￥400
10,王晓琴,  主任医师,内科,呼吸内科,淮北市人民医院,10.0,192597,,￥60,
11,张新,  主任医师,内科,呼吸内科,复旦大学附属中山医院,9.7,500,,￥300,
12,陈小东,  主任医师,内科,呼吸内科,复旦大学附属华山医院,9.7,1081,,￥400,￥600
13,刘召军,  主治医师,内科,呼吸内科,上海交通大学医学院附属瑞金医院,9.8,207,,￥200,
14,刘婷,  住院医师,内科,呼吸内科,四川大学华西医院,9.9,313,,￥15,￥50
15,冯思玮,  主治医师,内科,呼吸内科,华中科技大学同济医学院附属协和医院,10.0,649,,￥120,
16,刘志平,  主治医师,内科,呼吸内科,黑龙江中医药大学附属第一医院,10.0,6763,,￥50,￥50
17,李成支,  主治医师,内科,呼吸内科,西安市红会医院,10.0,21164,,,￥39
18,韩锐,  副主任医师,内科,呼吸内科,合肥市第一人民医院,10.0,814,,,￥100
19,顾宇彤,  主任医师,内科,呼吸内科,复旦大学附属中山医院,9.7,3383,,￥200,￥500
20,周红梅,  主任医师,内科,呼吸内科,武汉亚洲心脏病医院,9.9,1386,,￥30,
21,官振标,  副主任医师,内科,呼吸内科,上海长海医院,10.0,1388,,￥100,￥300
22,薛喜锐,  副主任医师,内科,呼吸内科,甘肃省第二人民医院,10.0,14323,专家团队,￥20,￥40
