,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,程蕾蕾,  主任医师,内科,心血管内科,复旦大学附属中山医院,9.8,2169,,￥500,
1,廖建泉,  主治医师,内科,心血管内科,复旦大学附属中山医院,10.0,137,,￥100,￥200
2,张峰,  主任医师,内科,心血管内科,复旦大学附属中山医院,10.0,7792,,￥380,￥888
3,宋雷,  主任医师,内科,心血管内科,中国医学科学院阜外医院,10.0,134,,￥399,￥1199
4,沈珠军,  主任医师,内科,心血管内科,北京协和医院,10.0,187,,￥600,
5,黄智伟,  副主任医师,内科,心血管内科,中国医学科学院阜外医院,10.0,455,,￥150,￥500
6,冯一洲,  医师,内科,心血管内科,四川大学华西医院,10.0,425,,￥19,￥200
7,李敏,  主任医师,内科,心血管内科,首都医科大学附属北京安贞医院,10.0,1021,,￥100,￥300
8,陈秀梅,  副主任医师,内科,心血管内科,江苏省人民医院,10.0,756,,￥200,￥300
9,杨虹波,  副主任医师,内科,心血管内科,复旦大学附属中山医院,10.0,43,,￥199,
10,张磊,  副主任医师,内科,心血管内科,复旦大学附属中山医院,10.0,352,,￥150,
11,贺春晖,  主治医师,内科,心血管内科,中国医学科学院阜外医院,9.9,407,,￥200,￥500
12,刘彤,  主任医师,内科,心血管内科,首都医科大学附属北京安贞医院,10.0,2456,,￥500,￥1000
13,王飞,  副主任医师,内科,心血管内科,东莞市滨海湾中心医院,10.0,97833,,￥40,
14,沈迎,  副主任医师,内科,心血管内科,上海交通大学医学院附属瑞金医院,10.0,943,,￥168,
15,陈允钦,  副主任医师,内科,心血管内科,复旦大学附属中山医院,9.9,987,,￥130,
16,孙海霞,  副主任医师,内科,心血管内科,首都医科大学附属北京安贞医院,10.0,291,专家团队,￥60,
17,邹长虹,  主治医师,内科,心血管内科,中国医学科学院阜外医院,10.0,100,,￥100,
18,亢园园,  主治医师,内科,心血管内科,上海交通大学医学院附属瑞金医院,10.0,223,,￥100,
19,田锐,  主任医师,内科,心血管内科,首都医科大学附属北京安贞医院,,16,,￥200,
20,任学军,  主任医师,内科,心血管内科,首都医科大学附属北京安贞医院,,5,,￥200,
21,王晓琴,  主任医师,内科,心血管内科,丽水微医互联网医院,10.0,192597,,￥60,
22,卢新政,  主任医师,内科,心血管内科,江苏省人民医院,10.0,2435,,￥200,￥300
23,陈波,  副主任医师,内科,心血管内科,郑州大学附属郑州中心医院,10.0,36299,,￥29,￥99
24,沈雳,  主任医师,内科,心血管内科,复旦大学附属中山医院,9.9,811,,￥488,
25,于世龙,  主任医师,内科,心血管内科,华中科技大学同济医学院附属协和医院,9.8,589,,￥100,￥100
26,宿燕岗,  主任医师,内科,心血管内科,复旦大学附属中山医院,9.3,413,,￥300,
27,杨阳,  副主任医师,内科,心血管内科,北京儿童医院,10.0,603,,￥50,￥300
28,权薇薇,  副主任医师,内科,心血管内科,上海交通大学医学院附属瑞金医院,10.0,1885,,￥400,
29,高波涛,  副主任医师,内科,心血管内科,上海儿童医学中心,10.0,832,,￥80,￥120
30,王启贤,  主任医师,内科,心血管内科,昆明医科大学第一附属医院,10.0,10816,,￥150,￥300
31,翟光耀,  副主任医师,内科,心血管内科,首都医科大学附属北京安贞医院,,6,,￥300,
32,李博,  主治医师,内科,心血管内科,浙江大学医学院附属第一医院,10.0,16559,,￥35,￥80
33,陈海敏,  主治医师,内科,心血管内科,广东省人民医院,9.8,85,,￥30,
34,石治宇,  主治医师,内科,心血管内科,哈尔滨医科大学附属第一医院,10.0,11074,,￥10,
35,何汝敏,  主任医师,内科,心血管内科,上海交通大学医学院附属瑞金医院,9.8,1073,,￥180,￥300
36,马剑英,  主任医师,内科,心血管内科,复旦大学附属中山医院,8.9,343,,￥300,
37,钱卫冲,  主任医师,内科,心血管内科,江苏省人民医院,9.9,1052,专家团队,￥50,
38,李刚,  主任医师,内科,心血管内科,郑州大学第一附属医院,10.0,372,,￥59,￥300
39,梁义秀,  主治医师,内科,心血管内科,复旦大学附属中山医院,9.9,513,,￥60,￥500
40,高路,  副主任医师,内科,心血管内科,郑州大学第一附属医院,10.0,132,,￥30,
41,徐臣年,  主治医师,内科,心血管内科,西京医院,10.0,87,,￥50,￥50
42,何晓敏,  副主任医师,内科,心血管内科,上海儿童医学中心,10.0,266,,￥30,
43,罗庆志,  主治医师,内科,心血管内科,上海交通大学医学院附属瑞金医院,10.0,12,,￥50,
44,李筠,  主任医师,内科,心血管内科,上海市儿童医院北京西路院区,9.8,542,,￥200,
45,吴亚哲,  主任医师,内科,心血管内科,中国医学科学院阜外医院,9.9,724,,￥200,
46,冯高科,  副主任医师,内科,心血管内科,武汉大学人民医院,9.9,337,,￥56,￥79
47,李同斌,  主治医师,内科,心血管内科,西京医院,10.0,216,,￥20,
48,刘玉建,  主治医师,内科,心血管内科,华中科技大学同济医学院附属同济医院,10.0,161,,￥30,
49,蒋叔星,  副主任医师,内科,心血管内科,三明市第一医院,10.0,17671,,￥38,￥48
50,姚园,  副主任医师,内科,心血管内科,武汉大学人民医院,10.0,281,,￥49,
51,黄强,  主治医师,内科,心血管内科,泰安市立医院,10.0,144,,￥10,
52,黄岩,  副主任医师,内科,心血管内科,中国医学科学院阜外医院,10.0,1471,,￥70,
53,袁贤奇,  主任医师,内科,心血管内科,中国医学科学院阜外医院,9.9,2497,,,￥1000
54,黄东,  副主任医师,内科,心血管内科,复旦大学附属中山医院,9.7,791,,￥100,
55,周红梅,  主任医师,内科,心血管内科,武汉亚洲心脏病医院,9.9,1386,,￥30,
56,张琳琳,  副主任医师,内科,心血管内科,首都医科大学附属北京安贞医院,10.0,329,,￥50,￥50
57,张清芬,  主任医师,内科,心血管内科,河北省人民医院,10.0,8098,,￥30,
58,王俊,  副主任医师,内科,心血管内科,上海交通大学附属第一人民医院松江南院,10.0,27722,,￥49,￥100
59,刘盼,  主治医师,内科,心血管内科,威海市妇幼保健院,10.0,13562,,￥15,
60,张家利,  主任医师,内科,心血管内科,北京积水潭医院回龙观院区,,4,,￥150,
61,张朝香,  主任医师,内科,心血管内科,首都医科大学附属北京安贞医院,10.0,375,,￥100,￥200
62,徐昶,  副主任医师,内科,心血管内科,华中科技大学同济医学院附属同济医院,10.0,760,,￥38,
63,朱争凤,  副主任医师,内科,心血管内科,华中科技大学同济医学院附属协和医院,9.9,548,,￥50,￥100
64,洪墨纳,  主治医师,内科,心血管内科,上海交通大学医学院附属瑞金医院,10.0,622,,￥58,
65,刘春南,  主治医师,内科,心血管内科,哈尔滨医科大学附属第一医院,10.0,1634,,￥30,￥50
66,张文俐,  主治医师,内科,心血管内科,上海交通大学医学院附属瑞金医院,10.0,235,,￥40,
67,刘金华,  主治医师,内科,心血管内科,武汉市普仁医院,10.0,9636,,￥10,￥20
68,陆浩,  副主任医师,内科,心血管内科,复旦大学附属中山医院,9.9,526,,￥200,
