,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,蒋卫民,  主任医师,内科,感染科,复旦大学附属华山医院,9.9,5055,专家团队,￥300,￥500
1,施光峰,  主任医师,内科,感染科,复旦大学附属华山医院,9.5,1145,专家团队,￥498,￥498
2,杨帆,  主任医师,内科,感染科,复旦大学附属华山医院,9.3,144,,￥800,￥1000
3,盛滋科,  主治医师,内科,感染科,上海交通大学医学院附属瑞金医院,10.0,1210,,￥70,
4,范学工,  主任医师,内科,感染科,中南大学湘雅医院,9.8,23,,￥600,
5,任治秀,  副主任医师,内科,感染科,四川大学华西医院,9.8,490,,￥90,
6,金嘉琳,  主任医师,内科,感染科,复旦大学附属华山医院虹桥院区,8.7,15,专家团队,￥240,
7,徐晓刚,  主任医师,内科,感染科,复旦大学附属华山医院,9.9,470,,￥198,
8,毛日成,  副主任医师,内科,感染科,上海华山医院宝山院区（原华山北院）,9.7,87,,￥150,
9,颜炳柱,  主任医师,内科,感染科,哈尔滨医科大学附属第二医院,10.0,1572,,￥40,￥100
10,高杰,  副主任医师,内科,感染科,哈尔滨医科大学附属第二医院,10.0,1338,,￥20,
11,周朝晖,  主任医师,内科,感染科,复旦大学附属中山医院,9.9,1427,,￥300,￥500
12,李谦,  副主任医师,内科,感染科,复旦大学附属华山医院,9.7,115,,￥150,
13,赖荣陶,  副主任医师,内科,感染科,上海交通大学医学院附属瑞金医院,10.0,146,,￥150,
14,王彦丽,  副主任医师,内科,感染科,中国医科大学附属第一医院,10.0,564,,￥39,
15,王燕燕,  副主任医师,内科,感染科,南昌市第三医院,10.0,40149,,￥10,￥50
16,庄严,  主治医师,内科,感染科,唐都医院,10.0,2891,,￥50,￥50
17,全俊,  主任医师,内科,感染科,中南大学湘雅医院,9.8,1064,,￥100,
18,徐鹃鹃,  副主任医师,内科,感染科,天津医科大学总医院,9.9,3023,,￥86,￥189
19,孙静媛,  主任医师,内科,感染科,北京地坛医院,10.0,397,,￥50,
20,徐庆年,  主任医师,内科,感染科,上海市公共卫生临床中心金山总部,10.0,2351,,￥159,￥200
21,杨鹏飞,  主治医师,内科,感染科,哈尔滨医科大学附属第二医院,10.0,7709,,￥39,￥58
22,姜林宏,  主治医师,内科,感染科,江苏省人民医院,10.0,3965,,￥26,￥30
23,车明文,  主治医师,内科,感染科,中国人民解放军新疆军区总医院,9.9,10462,,￥20,
24,崔燕平,  副主任医师,内科,感染科,聊城市人民医院,10.0,1574,专家团队,￥20,
25,陈轶坚,  副主任医师,内科,感染科,复旦大学附属华山医院,9.9,710,,￥200,
26,李爱新,  主任医师,内科,感染科,首都医科大学附属北京佑安医院,10.0,118,,￥100,
27,徐鹤翔,  副主任医师,内科,感染科,合肥市第一人民医院,10.0,3170,,￥25,
28,魏文迪,  主治医师,内科,感染科,泰安市中医医院,10.0,15502,,￥0,￥100
29,李孝锋,  主治医师,内科,感染科,唐都医院,10.0,512,专家团队,￥30,
30,刚毅,  主治医师,内科,感染科,唐都医院,10.0,360,专家团队,￥15,
31,毛秀丽,  副主任医师,内科,感染科,齐齐哈尔市碾子山区人民医院,10.0,120181,,￥20,
32,连豫苞,  主任医师,内科,感染科,三明市第一医院,10.0,7556,,￥30,
33,李贲,  副主任医师,内科,感染科,北京地坛医院,10.0,126,,￥45,
34,郝志民,  主治医师,内科,感染科,菏泽市中医医院,10.0,15536,,￥20,￥68
35,李志荃,  主任医师,内科,感染科,寿光市人民医院,10.0,1602,,￥30,￥50
36,李欣,  主治医师,内科,感染科,哈尔滨市第一医院,10.0,4149,,￥20,
37,陈亮,  副主任医师,内科,感染科,张家界市人民医院,10.0,3251,,￥30,
38,王薇,  副主任医师,内科,感染科,上海儿童医学中心,9.7,439,专家团队,￥300,￥500
39,董民,  主任医师,内科,感染科,枣庄市立医院,10.0,2527,,￥50,￥200
40,谢容根,  副主任医师,内科,感染科,东莞市第三人民医院,10.0,11045,,￥10,￥300
41,赵英帅,  主治医师,内科,感染科,河南省人民医院,10.0,1267,,￥49,￥80
42,刘义,  主治医师,内科,感染科,安徽医科大学附属巢湖医院,10.0,17026,,￥10,￥59
43,李玉峰,  副主任医师,内科,感染科,三明市第一医院,9.9,1801,,￥50,
44,王鹏程,  主治医师,内科,感染科,杭州市红十字会医院,10.0,15226,,￥20,
45,潘新霞,  副主任医师,内科,感染科,辽宁省朝阳市中心医院,10.0,8160,,￥5,
46,赵晓妤,  主治医师,内科,感染科,利川市民族中医院,,271,,￥10,
47,辛海光,  副主任医师,内科,感染科,上海交通大学医学院附属瑞金医院,10.0,67,,￥80,
48,李鑫,  主任医师,内科,感染科,北京地坛医院,10.0,458,,￥200,￥500
49,卢联合,  主任医师,内科,感染科,北京地坛医院,10.0,12,,￥125,
50,谷丰,  副主任医师,内科,感染科,吉林省人民医院,10.0,6384,,￥20,
51,陈芳芳,  主治医师,内科,感染科,甘肃省第二人民医院,10.0,3711,专家团队,￥20,￥50
52,战东旺,  主治医师,内科,感染科,泰安市中医医院,10.0,4915,,￥0,￥50
53,焦成松,  副主任医师,内科,感染科,华中科技大学同济医学院附属同济医院,9.8,590,,￥40,￥80
54,谭晓风,  副主任医师,内科,感染科,联勤保障部队第904医院（无锡市太湖医院）,10.0,8367,,￥40,￥52
55,张萌萌,  住院医师,内科,感染科,哈尔滨医科大学附属第二医院,10.0,954,,￥30,
56,邹美银,  主任医师,内科,感染科,南通市第三人民医院,10.0,2320,,￥30,￥50
57,曹春玉,  副主任医师,内科,感染科,山东省曹县人民医院,10.0,6757,,￥10,￥30
58,毕玉珍,  副主任医师,内科,感染科,东莞市第三人民医院,10.0,12615,,￥30,
59,李文文,  主治医师,内科,感染科,泰安市中医医院,10.0,3062,,￥0,
60,魏秀丽,  主任医师,内科,感染科,安徽中医药大学第一附属医院,10.0,1263,,￥58,￥88
61,王晓韧,  主治医师,内科,感染科,哈尔滨医科大学附属第二医院,10.0,1207,,￥20,
62,高玉贤,  副主任医师,内科,感染科,彭阳县人民医院,9.9,3583,,￥200,￥150
63,程跃,  主治医师,内科,感染科,安徽医科大学附属巢湖医院,10.0,2581,,￥20,￥30
64,王义为,  主治医师,内科,感染科,九江市第一人民医院,10.0,765,,￥30,￥100
65,陈凤欣,  副主任医师,内科,感染科,北京地坛医院,10.0,763,,￥100,￥300
66,刘芳,  主任医师,内科,感染科,河北医科大学第三医院,10.0,1133,专家团队,￥30,￥60
67,马安林,  主任医师,内科,感染科,中日友好医院,9.8,15,,￥300,
68,田荣茂,  主任医师,内科,感染科,三明市中西医结合医院,10.0,407,,￥30,￥100
69,郑毅,  副主任医师,内科,感染科,浙江省新华医院,10.0,567,,￥39,￥100
70,刘媛媛,  主治医师,内科,感染科,泰安市中医医院,10.0,730,,￥20,￥50
71,侯周华,  主任医师,内科,感染科,中南大学湘雅医院,9.8,140,,￥150,￥150
72,张静,  主任医师,内科,感染科,西安市第八医院,9.9,2226,专家团队,￥30,￥50
73,叶翩,  主治医师,内科,感染科,华中科技大学同济医学院附属协和医院,10.0,222,,￥29,￥500
74,朱翠云,  主任医师,内科,感染科,上海市公共卫生临床中心市区分部,10.0,590,,￥200,￥180
75,黄益澄,  主治医师,内科,感染科,浙江省人民医院,10.0,5281,,￥29,￥50
76,马晓卿,  主治医师,内科,感染科,杭州市红十字会医院,10.0,2896,,￥20,￥50
77,李桂勇,  副主任医师,内科,感染科,泰安市中医医院,10.0,798,,￥100,
78,张燕平,  主任医师,内科,感染科,天津医科大学总医院,,3,,￥300,
79,孔钦翔,  主治医师,内科,感染科,安徽医科大学附属巢湖医院,10.0,5909,,￥5,￥480
80,郭军伟,  主治医师,内科,感染科,长治市人民医院,9.7,304,,￥20,￥39
81,娄江华,  主治医师,内科,感染科,河南省人民医院,,1,,￥20,
82,魏屏,  主任医师,内科,感染科,华中科技大学同济医学院附属协和医院,9.9,444,专家团队,￥60,
83,黄海辉,  主任医师,内科,感染科,复旦大学附属华山医院,9.6,325,,￥198,
84,姜泓,  副主任医师,内科,感染科,唐都医院,9.9,450,专家团队,￥50,￥100
85,吴盛迪,  副主任医师,内科,感染科,复旦大学附属中山医院,9.9,2860,,￥100,
86,王学林,  副主任医师,内科,感染科,河南省人民医院,10.0,527,,￥59,￥99
87,余卓,  副主任医师,内科,感染科,上海中医药大学附属曙光医院西院,10.0,4699,专家团队,￥30,￥200
88,杨晓筠,  主任医师,内科,感染科,新疆维吾尔自治区人民医院,10.0,297,专家团队,￥60,
89,童永喜,  主任医师,内科,感染科,浙江省人民医院,10.0,295,专家团队,￥100,￥200
90,张炜,  主治医师,内科,感染科,安徽医科大学附属巢湖医院,10.0,3980,,￥29,
91,李小燕,  副主任医师,内科,感染科,华润武钢总医院,10.0,3114,专家团队,￥30,￥20
92,王向槐,  主治医师,内科,感染科,长沙市中医医院,10.0,7187,,￥20,￥30
93,胡喆,  主治医师,内科,感染科,安徽省立医院（总院）,10.0,443,,￥25,
