,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,赵耀中,  主任医师,内科,普通内科,天津和平微医医院,10.0,1937,,￥200,￥500
1,李洋,  副主任医师,内科,普通内科,天津和平微医医院,10.0,715,,￥200,￥300
2,赵连江,  主任医师,内科,普通内科,潍坊市第二人民医院,10.0,48267,,￥20,￥50
3,黄金波,  副主任医师,内科,普通内科,天津和平微医医院,10.0,274,,￥100,￥300
4,刘凤芹,  副主任医师,内科,普通内科,南方医科大学南方医院,10.0,21970,,￥50,￥70
5,郝跃伟,  副主任医师,内科,普通内科,山东省第二人民医院（山东省耳鼻喉医院）,,116,,￥20,
6,吴世洪,  副主任医师,内科,普通内科,达州市达川区疾病预防控制中心附属医院,10.0,85590,,￥60,￥100
7,孙秀娟,  副主任医师,内科,普通内科,天津和平微医医院,10.0,275,,￥100,￥200
8,胡耐博,  副主任医师,内科,普通内科,天津和平微医医院,10.0,15,,￥100,￥200
9,李建平,  副主任医师,内科,普通内科,天津和平微医医院,9.9,101,,￥80,￥200
10,宋淑萍,  主任医师,内科,普通内科,天津和平微医医院,10.0,17309,,￥40,￥60
11,王晶,  主治医师,内科,普通内科,山东省立第三医院,10.0,141707,专家团队,￥25,￥80
12,刘志杰,  主任医师,内科,普通内科,山东青岛中西医结合医院,10.0,3492,,￥50,
13,李诗贤,  副主任医师,内科,普通内科,滕州市中医医院,10.0,198398,,￥50,￥20
14,徐鹃鹃,  副主任医师,内科,普通内科,天津和平微医医院,9.9,3023,,￥86,￥189
15,刘春生,  主任医师,内科,普通内科,石家庄市人民医院,10.0,7257,,￥45,￥100
16,刘高峰,  主治医师,内科,普通内科,阳光融和医院,,160,,￥30,￥50
17,刘士莹,  主任医师,内科,普通内科,天津和平微医医院,,7,,￥100,
18,沈春玲,  副主任医师,内科,普通内科,宁波市医疗中心李惠利医院,10.0,3111,,￥30,￥40
19,梁建英,  主任医师,内科,普通内科,石家庄市人民医院,10.0,5326,,￥38,
20,张琴,  主任医师,内科,普通内科,山东省立第三医院,10.0,2918,,￥50,￥50
21,许莉军,  副主任医师,内科,普通内科,郑州大学第一附属医院,10.0,311,,￥50,
22,梁力晖,  主任医师,内科,普通内科,湖南省人民医院,10.0,756,专家团队,￥24,￥50
23,张丽,  主治医师,内科,普通内科,山东省立第三医院,10.0,104124,专家团队,￥30,￥100
24,齐琪,  主治医师,内科,普通内科,天津和平微医医院,10.0,7235,,￥15,￥60
25,程忠良,  主治医师,内科,普通内科,华润武钢总医院,10.0,6992,,￥20,￥30
26,潘凯,  副主任医师,内科,普通内科,徐州市中心医院,9.5,4387,,￥30,￥59
27,汪鹏,  主治医师,内科,普通内科,铜陵市立医院,10.0,147633,,￥15,
28,董增胜,  主治医师,内科,普通内科,日照市中医医院,10.0,105833,,￥20,
29,朱海英,  主任医师,内科,普通内科,济南市第四人民医院,9.8,262,,￥20,
30,刘波,  主任医师,内科,普通内科,山东省肿瘤医院,10.0,2134,专家团队,￥20,￥30
31,刘兵城,  主任医师,内科,普通内科,天津和平微医医院,9.9,1390,,￥200,￥500
32,邵英起,  主任医师,内科,普通内科,天津和平微医医院,10.0,338,,￥300,￥300
33,张琪,  主任医师,内科,普通内科,天津和平微医医院,10.0,5915,专家团队,￥50,￥300
34,裴颖皓,  主治医师,内科,普通内科,江苏省中医院,10.0,43376,,￥49,￥100
35,薛娥,  副主任医师,内科,普通内科,淮安市妇幼保健院,10.0,5128,,￥50,￥120
36,李福刚,  副主任医师,内科,普通内科,天津和平微医医院,10.0,2481,,￥30,￥100
37,郭艳茹,  主治医师,内科,普通内科,辽宁医学院附属第三医院,10.0,33488,,￥20,￥49
38,颜承尧,  副主任医师,内科,普通内科,滕州市中医医院,10.0,101936,,￥20,
39,刘宜平,  主治医师,内科,普通内科,宜昌优抚医院,10.0,339934,,￥10,￥20
40,魏文明,  主治医师,内科,普通内科,潢川县来龙乡中心卫生院,10.0,29577,专家团队,￥10,
41,赵英帅,  主治医师,内科,普通内科,河南省人民医院,10.0,1267,,￥49,￥80
42,马希英,  副主任医师,内科,普通内科,广东省人民医院,10.0,1287,,￥40,
43,陈彤,  副主任医师,内科,普通内科,天津和平微医医院,10.0,3430,,￥30,
44,张磊,  主治医师,内科,普通内科,山东省立第三医院,10.0,31584,专家团队,￥29,￥100
45,姚薇,  副主任医师,内科,普通内科,天津和平微医医院,10.0,1741,,￥20,
46,杨俊峰,  副主任医师,内科,普通内科,天津和平微医医院,10.0,430,,￥60,￥100
47,孙鲁生,  主治医师,内科,普通内科,秦皇岛市第一医院,10.0,11469,,￥20,￥50
48,赵文,  主任医师,内科,普通内科,天津和平微医医院,10.0,54,,￥30,
49,吕明丽,  主治医师,内科,普通内科,齐齐哈尔市碾子山区人民医院,10.0,21164,,￥2,￥39
50,张静,  主任医师,内科,普通内科,天津和平微医医院,9.9,799,,￥100,￥200
51,梁彦,  副主任医师,内科,普通内科,天津和平微医医院,10.0,203,,￥100,
52,傅健,  主治医师,内科,普通内科,首都医科大学附属北京同仁医院,9.9,1817,,￥20,￥20
53,魏志方,  副主任医师,内科,普通内科,齐齐哈尔医学院附属第三医院,10.0,5650,,￥40,￥100
54,王盟,  主治医师,内科,普通内科,天津医科大学代谢病医院,10.0,1476,,￥30,￥40
55,易朝辉,  主任医师,内科,普通内科,揭阳市榕城区人民医院,10.0,25204,,￥5,￥50
56,徐明伟,  主任医师,内科,普通内科,甘肃省第二人民医院,,2,,￥20,￥50
57,齐军元,  主任医师,内科,普通内科,天津和平微医医院,9.8,138,,￥800,￥800
58,樊慧慧,  主治医师,内科,普通内科,天津和平微医医院,10.0,69,,,￥100
59,张晓猛,  副主任医师,内科,普通内科,合肥市第一人民医院,10.0,12307,,￥45,￥45
60,刘艳霞,  副主任医师,内科,普通内科,郑州大学第一附属医院,10.0,4049,,￥30,
