,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,李凯,  副主任医师,内科,消化内科,西京医院,10.0,3666,,￥80,
1,孙晓红,  主任医师,内科,消化内科,北京协和医院,10.0,1015,,￥300,
2,张德新,  主任医师,内科,消化内科,西京医院,9.9,2486,,￥100,
3,舒慧君,  主任医师,内科,消化内科,北京协和医院,10.0,846,,￥500,￥1000
4,陈辉,  主治医师,内科,消化内科,西京医院,9.9,185,,￥69,￥99
5,李异玲,  主任医师,内科,消化内科,中国医科大学附属第一医院,10.0,5322,,￥100,
6,张广文,  主治医师,内科,消化内科,西京医院,9.9,292,专家团队,￥50,
7,郑洋洋,  主治医师,内科,消化内科,西京医院,9.9,691,,￥60,
8,方霖,  主治医师,内科,消化内科,南方医科大学南方医院,10.0,6347,,￥39,￥100
9,朱绍华,  主治医师,内科,消化内科,西京医院,10.0,932,,￥30,￥60
10,郭涛,  副主任医师,内科,消化内科,北京协和医院,9.9,133,,￥300,
11,张顺财,  主任医师,内科,消化内科,复旦大学附属中山医院,9.6,2541,,￥380,￥700
12,吕富靖,  主任医师,内科,消化内科,首都医科大学附属北京友谊医院,10.0,1306,,￥150,￥300
13,周朝晖,  主任医师,内科,消化内科,复旦大学附属中山医院,9.9,1427,,￥300,￥500
14,吴世洪,  副主任医师,内科,消化内科,乌镇互联网医院门诊部,10.0,85590,,￥60,￥100
15,卢瑗瑗,  副主任医师,内科,消化内科,西京医院,10.0,162,,￥120,
16,缪连生,  副主任医师,内科,消化内科,甘肃省第二人民医院,10.0,46529,专家团队,￥30,￥38
17,李正良,  主任医师,内科,消化内科,西安交通大学第一附属医院,9.9,3534,,￥40,￥50
18,郑汝桦,  副主任医师,内科,消化内科,南京鼓楼医院,10.0,2404,,￥25,￥30
19,周琦,  副主任医师,内科,消化内科,华中科技大学同济医学院附属同济医院,10.0,5306,,￥150,
20,黄宗文,  主任医师,内科,消化内科,四川大学华西医院,9.9,3830,,￥80,
21,王君化,  副主任医师,内科,消化内科,西安市人民医院（西安市第四医院）,10.0,19836,,￥20,￥60
22,贺慧鹏,  副主任医师,内科,消化内科,中南大学湘雅医学院附属株洲医院,10.0,173580,,￥30,￥80
23,顾晓萌,  副主任医师,内科,消化内科,山东大学齐鲁医院,10.0,38,,￥20,
24,张静,  副主任医师,内科,消化内科,西京医院,9.8,142,,￥60,
25,吴鹏波,  主治医师,内科,消化内科,武汉大学人民医院,9.9,2724,,￥50,￥150
26,周宁,  副主任医师,内科,消化内科,浙江大学医学院附属第一医院,9.9,2996,,￥100,￥280
27,蔡珍华,  副主任医师,内科,消化内科,中国人民解放军第95医院,9.9,5550,,￥12,￥36
28,贺德志,  主任医师,内科,消化内科,郑州大学第一附属医院,10.0,627,专家团队,￥59,￥100
29,张玉洁,  主治医师,内科,消化内科,西京医院,10.0,323,,,￥100
30,程琤,  主治医师,内科,消化内科,山东省立第三医院,10.0,102101,,￥30,￥100
31,吴海武,  主任医师,内科,消化内科,赣州市人民医院,9.8,515,,￥15,￥888
32,柏愚,  副主任医师,内科,消化内科,上海长海医院,9.9,1881,专家团队,￥599,￥999
33,石亮亮,  副主任医师,内科,消化内科,南京鼓楼医院,10.0,2953,,￥25,
34,姜敏,  主任医师,内科,消化内科,中国医科大学附属第一医院,9.9,234,,￥100,￥100
35,陈芬荣,  副主任医师,内科,消化内科,西安交通大学第二附属医院,10.0,1947,专家团队,￥39,￥50
36,汤美,  副主任医师,内科,消化内科,常州市第一人民医院,10.0,9626,,￥30,￥40
37,何军衡,  主治医师,内科,消化内科,甘肃省第二人民医院,10.0,1059,,￥20,￥50
38,毛靓瑶,  主治医师,内科,消化内科,陕西省中医医院,10.0,3630,,￥30,
39,孟培培,  主治医师,内科,消化内科,中国人民解放军联勤保障部队第980医院,10.0,5431,,￥20,
40,孙为豪,  主任医师,内科,消化内科,江苏省人民医院,9.8,1179,专家团队,￥150,￥150
41,卢放根,  主任医师,内科,消化内科,中南大学湘雅二医院,10.0,438,,￥200,
42,李红,  主治医师,内科,消化内科,西京医院,9.8,74,,￥60,
43,施育鹏,  主治医师,内科,消化内科,西京医院,9.6,26,,￥58,￥60
44,龚建,  住院医师,内科,消化内科,中南大学湘雅二医院,9.9,1500,,￥30,￥40
45,梁俊荣,  主治医师,内科,消化内科,唐都医院,10.0,3973,,￥80,￥100
46,俞晶,  主任医师,内科,消化内科,汕头大学医学院第一附属医院,10.0,2637,,￥50,￥199
47,郭公新,  主任医师,内科,消化内科,解放军总医院第五医学中心（原307医院）,10.0,16700,,￥100,￥200
48,张强,  主治医师,内科,消化内科,山东省立第三医院,10.0,51101,,￥50,￥60
49,何云,  主治医师,内科,消化内科,随州市中心医院,10.0,1557,,￥18,
50,黄马养,  住院医师,内科,消化内科,广东省中医院大学城医院,,77,,,
51,程斌,  主任医师,内科,消化内科,华中科技大学同济医学院附属同济医院,9.8,1394,,￥100,
52,邵耘,  主任医师,内科,消化内科,江苏省人民医院,10.0,390,专家团队,,￥200
53,张吉,  主治医师,内科,消化内科,上海交通大学医学院附属瑞金医院,9.9,766,,￥25,
54,祝金泉,  主任医师,内科,消化内科,南昌大学第一附属医院,10.0,2644,,￥15,￥200
55,白玉焕,  副主任医师,内科,消化内科,聊城市第二人民医院,10.0,16673,,￥30,￥50
56,刘金殿,  副主任医师,内科,消化内科,甘肃省武威肿瘤医院,10.0,928,专家团队,￥30,￥100
57,衡定,  主治医师,内科,消化内科,江苏省人民医院,10.0,24,,￥69,
58,曹宏春,  副主任医师,内科,消化内科,赤峰市医院,10.0,6073,,￥79,
59,逄焕宁,  副主任医师,内科,消化内科,吉林市人民医院,10.0,7890,,￥30,￥100
60,陈勇,  主任医师,内科,消化内科,福建省立医院,10.0,1426,,￥50,￥100
61,夏军权,  主任医师,内科,消化内科,固生堂南京宁西分院,9.9,1168,,￥100,￥200
62,许亚男,  主治医师,内科,消化内科,山东省立第三医院,10.0,31372,,￥30,
63,朱春平,  主治医师,内科,消化内科,上海长海医院,9.9,2808,,￥168,￥500
64,靳迎春,  主治医师,内科,消化内科,中国人民解放军新疆军区总医院,10.0,5819,,￥50,￥20
65,赵威,  副主任医师,内科,消化内科,天津医科大学总医院,10.0,556,,￥80,
66,李耀东,  主任医师,内科,消化内科,德阳市人民医院,,5,专家团队,￥42,
67,许文菁,  主治医师,内科,消化内科,德州市陵城区人民医院,10.0,74966,,￥10,
68,刘丰,  副主任医师,内科,消化内科,广东省中医院大德路总院,8.8,1221,专家团队,￥80,￥200
69,王一倩,  主任医师,内科,消化内科,复旦大学附属华东医院,10.0,4312,,￥70,
70,苌新明,  主任医师,内科,消化内科,西安交通大学第一附属医院,9.8,841,,￥60,￥80
71,刘娓娓,  副主任医师,内科,消化内科,山东省立第三医院,10.0,985,,￥20,￥50
72,王岚,  副主任医师,内科,消化内科,贵州医科大学附属医院,10.0,4450,,￥15,￥200
73,王洪波,  主任医师,内科,消化内科,山东省立医院,9.9,146,,￥50,
74,杨德生,  副主任医师,内科,消化内科,河南省人民医院,9.9,1387,,￥20,
