,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,徐蔚海,  主任医师,内科,神经内科,北京协和医院,9.9,479,,￥650,
1,曹玉珍,  主任医师,内科,神经内科,北京协和医院,9.9,418,,￥300,
2,李晓光,  主任医师,内科,神经内科,北京协和医院,9.9,190,,￥999,￥1999
3,沙莎,  副主任医师,内科,神经内科,中国医科大学附属第一医院,10.0,3118,,￥89,￥200
4,邓钰蕾,  主任医师,内科,神经内科,上海交通大学医学院附属瑞金医院,9.9,636,,￥300,￥800
5,孔朝红,  副主任医师,内科,神经内科,武汉大学人民医院,10.0,7880,,￥30,￥80
6,龚凌云,  副主任医师,内科,神经内科,复旦大学附属华山医院,10.0,3785,,￥190,
7,柳青,  副主任医师,内科,神经内科,北京协和医院,9.9,177,,￥600,
8,柳叶,  主治医师,内科,神经内科,复旦大学附属华山医院,10.0,837,,￥60,
9,张祥,  副主任医师,内科,神经内科,复旦大学附属华山医院,9.9,4056,,￥200,￥500
10,钱云,  主任医师,内科,神经内科,江苏省人民医院,10.0,2137,专家团队,￥100,￥300
11,潘超,  主治医师,内科,神经内科,华中科技大学同济医学院附属同济医院,10.0,628,,￥99,
12,张艳,  主任医师,内科,神经内科,哈尔滨医科大学附属第一医院,10.0,607,,￥60,
13,王文宗,  副主任医师,内科,神经内科,西安市人民医院（西安市第四医院）,9.4,2536,,￥29,
14,孙石磊,  主任医师,内科,神经内科,郑州大学第一附属医院,9.9,1151,专家团队,￥80,￥500
15,汤荟冬,  主任医师,内科,神经内科,上海交通大学医学院附属瑞金医院,9.8,291,,￥200,
16,王晶,  主治医师,内科,神经内科,济南微医互联网医院,10.0,141700,专家团队,￥25,￥80
17,刘艳,  副主任医师,内科,神经内科,华中科技大学同济医学院附属同济医院,9.9,904,,￥60,
18,赵鸿琛,  主治医师,内科,神经内科,复旦大学附属华山医院,9.9,568,,￥58,
19,谭来勋,  主任医师,内科,神经内科,武汉大学人民医院,9.9,8508,,￥100,￥300
20,单敏,  主治医师,内科,神经内科,泰安市中心医院,10.0,46271,,￥0,￥50
21,齐琪,  主治医师,内科,神经内科,天津医科大学代谢病医院,10.0,7235,,￥15,￥60
