,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,宫萍,  副主任医师,内科,老年病科,北京大学第三医院,9.8,335,,￥30,￥200
1,钱云,  主任医师,内科,老年病科,江苏省人民医院,10.0,2137,专家团队,￥100,￥300
2,刘艳,  副主任医师,内科,老年病科,西京医院,10.0,45,,￥20,
3,刘士莹,  主任医师,内科,老年病科,天津医科大学总医院,,7,,￥100,
4,梁力晖,  主任医师,内科,老年病科,湖南省人民医院,10.0,756,专家团队,￥24,￥50
5,盛杰,  主治医师,内科,老年病科,中南大学湘雅医院,10.0,475,,￥50,
6,孙为豪,  主任医师,内科,老年病科,江苏省人民医院,9.8,1179,专家团队,￥150,￥150
7,李东杰,  副主任医师,内科,老年病科,中南大学湘雅医院,10.0,103,,￥149,￥280
8,赵文,  主任医师,内科,老年病科,天津医科大学总医院,10.0,54,,￥30,
9,邵耘,  主任医师,内科,老年病科,江苏省人民医院,10.0,390,专家团队,,￥200
10,曹桂花,  主治医师,内科,老年病科,西京医院,9.8,43,,￥20,￥60
11,吴瑾,  副主任医师,内科,老年病科,北京协和医院,10.0,40,,￥200,
12,陈睿,  主治医师,内科,老年病科,西京医院,,2,,￥10,
13,李静,  主任医师,内科,老年病科,哈尔滨医科大学附属第二医院,10.0,15,,￥50,
14,李小莹,  副主任医师,内科,老年病科,空军军医大学(第四军医大学)口腔医学院,10.0,140,专家团队,￥30,
15,杨德生,  副主任医师,内科,老年病科,河南省人民医院,9.9,1387,,￥20,
16,张春梅,  副主任医师,内科,老年病科,泰安市中医医院,10.0,1690,,￥0,￥20
17,杨先锋,  主任医师,内科,老年病科,运城市中心医院,9.9,1174,,￥30,
18,王霞,  主治医师,内科,老年病科,泰安市中心医院,10.0,1963,,￥0,￥50
19,钱力,  副主任医师,内科,老年病科,山西医科大学第一医院,,1,,￥30,
20,熊文博,  副主任医师,内科,老年病科,宜春市第三人民医院,10.0,7545,,￥30,￥50
21,罗明,  主任医师,内科,老年病科,上海市同济医院,9.9,1007,专家团队,￥120,￥150
22,姜珊,  主治医师,内科,老年病科,北京协和医院,,2,,￥150,
23,黄武,  副主任医师,内科,老年病科,中南大学湘雅二医院,,1,,￥30,
24,陈路芳,  主治医师,内科,老年病科,浙江大学医学院附属第一医院,10.0,760,,￥30,
25,刘彦廷,  主任中医师,内科,老年病科,扬州市中医院,9.9,255,,￥38,￥100
26,郝敬波,  副主任医师,内科,老年病科,徐州医科大学附属医院,10.0,2125,,￥30,￥30
27,范鹰,  主任医师,内科,老年病科,哈尔滨医科大学附属第二医院,,1,,￥50,
28,侯新,  副主任医师,内科,老年病科,中国医科大学附属第一医院,9.7,8,,￥40,
29,赵雪兰,  主治医师,内科,老年病科,复旦大学附属华山医院,10.0,34,,￥30,
30,杨海芸,  主任医师,内科,老年病科,上海交通大学医学院附属仁济医院东院,9.0,5,,￥500,￥800
31,朱云霞,  主治医师,内科,老年病科,上海市第六人民医院,9.7,56,,￥20,
32,张冉,  住院医师,内科,老年病科,泰安市中心医院,9.7,45,,￥5,
33,王鹏军,  主治医师,内科,老年病科,天津中医药大学第一附属医院,10.0,2112,,￥20,
34,顾湉荑,  主任医师,内科,老年病科,常州市第一人民医院,10.0,6,,￥50,
35,任古松,  副主任医师,内科,老年病科,天津市第五中心医院,10.0,103,,￥20,
36,孙月佳,  主治医师,内科,老年病科,天津市西青医院,,5,,￥20,
37,陈维杰,  主任医师,内科,老年病科,上海市第十人民医院,9.7,448,专家团队,￥50,￥200
38,孙静,  副主任医师,内科,老年病科,泰安市中医医院,10.0,48,,￥20,
39,周萍,  主任医师,内科,老年病科,哈尔滨医科大学附属第二医院,,5,,￥50,
40,楼慧玲,  主任医师,内科,老年病科,广州市第一人民医院,10.0,25,,￥30,
41,许耀,  主治医师,内科,老年病科,湖北省中西医结合医院,,45,,￥30,
42,陈金丽,  主治医师,内科,老年病科,兰州大学第一医院,,241,,￥20,
43,陈平,  副主任医师,内科,老年病科,广东省中医院大德路总院,9.8,36,专家团队,,
44,吕仕超,  副主任医师,内科,老年病科,天津中医药大学第一附属医院,10.0,12,,￥30,
45,刘振葳,  主治医师,内科,老年病科,天津中医药大学第一附属医院,10.0,44,,￥10,
46,许维娜,  主任医师,内科,老年病科,浙江大学医学院附属第四医院,,3,,￥20,
47,张涛,  副主任医师,内科,老年病科,江苏省人民医院,9.9,63,专家团队,￥30,
48,肖智林,  副主任医师,内科,老年病科,中南大学湘雅医院,,3,,￥30,
49,李月惠,  主任医师,内科,老年病科,酒钢医院,10.0,108,,￥20,
50,尹冬梅,  主任医师,内科,老年病科,新疆维吾尔自治区人民医院,,1,,￥20,
51,杨倩,  住院医师,内科,老年病科,上海市第六人民医院东院(临港),,4,,￥30,
52,曹秋红,  主治医师,内科,老年病科,泰安市中医医院,,80,,￥30,
53,郝德勋,  主治医师,内科,老年病科,郑州大学第一附属医院,9.8,210,专家团队,,￥80
54,朱敏,  副主任医师,内科,老年病科,复旦大学附属华山医院,10.0,103,,￥168,
55,宋添晶,  主治医师,内科,老年病科,解放军联勤保障部队第903医院,10.0,763,,￥20,
56,代飞,  主治医师,内科,老年病科,安徽中医药大学第二附属医院,,5,,￥30,
57,李斌,  副主任医师,内科,老年病科,四川省第四人民医院,9.8,150,,￥30,￥30
58,徐融,  副主任医师,内科,老年病科,杭州市中医院,10.0,12,,￥50,
59,王凤玲,  主任医师,内科,老年病科,佳木斯大学附属第一医院,10.0,19,,￥30,
60,陶钧,  主治医师,内科,老年病科,上海市第六人民医院,,2,,￥30,
61,高霞,  主治医师,内科,老年病科,肥城市中医医院,,1,,￥30,
62,李洁,  住院医师,内科,老年病科,临清市人民医院,,1,,￥5,
63,谢逸群,  主治医师,内科,老年病科,中南大学湘雅二医院,10.0,22,,￥199,
64,王立雪,  副主任医师,内科,老年病科,北京电力医院,10.0,69,,￥20,￥20
65,王海峰,  主治医师,内科,老年病科,上海市同济医院,10.0,78,,￥25,
