,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,高瑞通,  主任医师,内科,肾内科,北京协和医院,9.9,417,,￥700,￥1200
1,张鑫,  主治医师,内科,肾内科,北京大学第一医院,10.0,138,,￥60,
2,李超,  副主任医师,内科,肾内科,北京协和医院,9.9,120,,￥200,
3,陆福明,  主任医师,内科,肾内科,复旦大学附属华山医院,9.8,2895,专家团队,￥298,￥498
4,侯婉音,  主治医师,内科,肾内科,北京大学第一医院,10.0,65,,￥100,￥300
5,周绪杰,  副主任医师,内科,肾内科,北京大学第一医院,10.0,33,,￥200,
6,匡鼎伟,  副主任医师,内科,肾内科,复旦大学附属华山医院,9.9,1214,专家团队,￥158,￥368
7,刘强,  副主任医师,内科,肾内科,中国医科大学附属第一医院,10.0,1630,,￥50,￥100
8,李怀平,  副主任医师,内科,肾内科,西京医院,10.0,1726,,￥200,￥500
9,吴边,  主治医师,内科,肾内科,南京大学医学院附属金陵医院（东部战区总医院）,10.0,2003,,￥119,￥139
10,许戎,  主任医师,内科,肾内科,北京大学第一医院,10.0,696,,￥250,￥300
11,戴艳,  副主任医师,内科,肾内科,复旦大学附属中山医院,10.0,918,,￥120,￥300
12,马祖福,  副主任医师,内科,肾内科,华中科技大学同济医学院附属同济医院,9.3,21,专家团队,￥90,
13,李航,  主任医师,内科,肾内科,北京协和医院,10.0,602,,￥400,
14,杨晓,  主任医师,内科,肾内科,华中科技大学同济医学院附属协和医院,9.9,808,,￥80,
15,王汉民,  副主任医师,内科,肾内科,西京医院,10.0,23,,￥50,
16,沈子妍,  主治医师,内科,肾内科,复旦大学附属中山医院,10.0,125,,￥60,
17,关熠,  主治医师,内科,肾内科,复旦大学附属华山医院,10.0,156,,￥48,
18,姜美华,  主治医师,内科,肾内科,中国人民解放军中部战区总医院,,143,,￥20,￥40
19,余献平,  副主任医师,内科,肾内科,浙江大学医学院附属第一医院,9.9,534,,￥35,￥60
20,朱彤莹,  主任医师,内科,肾内科,复旦大学附属华山医院,8.7,114,专家团队,￥120,￥200
21,王一梅,  副主任医师,内科,肾内科,复旦大学附属中山医院,10.0,1668,,￥80,
22,张敏敏,  主任医师,内科,肾内科,复旦大学附属华山医院,9.8,566,专家团队,￥158,
23,李群,  副主任医师,内科,肾内科,浙江大学医学院附属第一医院,10.0,354,,￥60,￥120
24,霍亚平,  主任医师,内科,肾内科,山西省中医院,10.0,3394,,￥30,￥50
25,谭颖,  副主任医师,内科,肾内科,北京大学第一医院,,2,,￥80,
26,郭颖梅,  主治医师,内科,肾内科,广东省中医院大德路总院,,35,,￥20,
27,李红波,  副主任医师,内科,肾内科,武汉市第一医院,,29,,￥20,
28,李春媚,  副主任医师,内科,肾内科,哈尔滨医科大学附属第二医院,,11,,￥50,
29,黄晨,  主任医师,内科,肾内科,西京医院,10.0,718,,￥100,
30,廖莹,  副主任医师,内科,肾内科,深圳市第二人民医院,10.0,414,,￥25,￥60
31,俞小芳,  副主任医师,内科,肾内科,复旦大学附属中山医院,9.9,2137,,￥200,￥1000
32,任昊,  主任医师,内科,肾内科,南方医科大学南方医院,10.0,29,专家团队,￥80,
33,黄洪锋,  主任医师,内科,肾内科,浙江大学医学院附属第一医院,10.0,668,,￥50,
34,杨光,  主任医师,内科,肾内科,江苏省人民医院,9.9,173,专家团队,￥200,￥2000
35,李六生,  主任医师,内科,肾内科,宜昌市第一人民医院,10.0,3757,,￥30,
36,戴璇,  主治医师,内科,肾内科,天津市南开医院,10.0,1392,,￥20,
37,张鹏,  主任医师,内科,肾内科,西京医院,10.0,1968,专家团队,￥200,
38,薛骏,  主任医师,内科,肾内科,上海华山医院宝山院区（原华山北院）,9.7,816,,￥100,
