,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,常红,  主任医师,内科,血液科,四川大学华西医院,10.0,1823,,￥200,￥600
1,赵耀中,  主任医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,10.0,1937,,￥200,￥500
2,朱铁楠,  主任医师,内科,血液科,北京协和医院,10.0,14,,￥200,
3,郭涛,  主任医师,内科,血液科,华中科技大学同济医学院附属协和医院,10.0,84,,￥100,
4,李洋,  副主任医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,10.0,715,,￥200,￥300
5,王苓,  副主任医师,内科,血液科,上海交通大学医学院附属瑞金医院,9.9,1478,,￥100,
6,谢万灼,  主任医师,内科,血液科,浙江大学医学院附属第一医院,10.0,991,,￥50,
7,尹路,  主任医师,内科,血液科,上海市第十人民医院,9.9,639,专家团队,￥60,
8,黄金波,  副主任医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,10.0,274,,￥100,￥300
9,张波,  副主任医师,内科,血液科,华中科技大学同济医学院附属协和医院,10.0,523,,￥50,
10,韩冰,  主任医师,内科,血液科,北京协和医院,9.7,341,专家团队,￥300,￥1000
11,刘尚勤,  主任医师,内科,血液科,武汉大学中南医院,10.0,6596,,￥20,￥50
12,褚章波,  副主任医师,内科,血液科,华中科技大学同济医学院附属协和医院,10.0,698,,￥200,￥500
13,阎嶂松,  副主任医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,10.0,171,,￥100,￥200
14,孙秀娟,  副主任医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,10.0,275,,￥100,￥200
15,胡耐博,  副主任医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,10.0,15,,￥100,￥200
16,李建平,  副主任医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,9.9,101,,￥80,￥200
17,杨志梅,  主治医师,内科,血液科,北京大学人民医院,10.0,370,,,
18,黄伟,  主任医师,内科,血液科,华中科技大学同济医学院附属同济医院,9.8,616,专家团队,￥60,￥150
19,张璐,  副主任医师,内科,血液科,华中科技大学同济医学院附属协和医院,10.0,824,,￥60,
20,王成美,  副主任医师,内科,血液科,枣庄市立医院,10.0,15933,,￥20,￥30
21,张东华,  主任医师,内科,血液科,华中科技大学同济医学院附属同济医院,9.9,777,专家团队,￥50,￥100
22,施均,  主任医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,9.9,191,,￥300,￥500
23,刘兵城,  主任医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,9.9,1390,,￥200,￥500
24,陈苗,  副主任医师,内科,血液科,北京协和医院,10.0,201,,￥300,
25,邵英起,  主任医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,10.0,338,,￥300,￥300
26,陈令松,  主任医师,内科,血液科,徐州矿务集团总医院,10.0,3569,,￥30,￥50
27,温顺祝,  主治医师,内科,血液科,成都市第一人民医院,10.0,12932,,￥20,
28,黎纬明,  副主任医师,内科,血液科,华中科技大学同济医学院附属协和医院,10.0,81,,￥50,
29,陈彤,  副主任医师,内科,血液科,天津医科大学总医院,10.0,3430,,￥30,
30,叶蕾,  副主任医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,10.0,287,,￥50,￥200
31,吴秋玲,  主任医师,内科,血液科,华中科技大学同济医学院附属协和医院,9.8,478,,￥50,￥100
32,张静,  主任医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,9.9,799,,￥100,￥200
33,张家源,  副主任医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,9.3,52,,￥50,￥100
34,窦爱霞,  主任医师,内科,血液科,山东大学第二医院,10.0,335,专家团队,￥30,
35,齐军元,  主任医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,9.8,138,,￥800,￥800
36,吕晓毅,  副主任医师,内科,血液科,中国医科大学附属第一医院,10.0,248,专家团队,￥50,￥100
37,樊慧慧,  主治医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,10.0,69,,,￥100
38,申建凯,  主任医师,内科,血液科,中南大学湘雅二医院,9.9,321,,￥150,
39,张炎,  副主任医师,内科,血液科,北京协和医院,9.4,26,,,
40,崔国惠,  主任医师,内科,血液科,华中科技大学同济医学院附属协和医院,10.0,106,,￥100,
41,邹善华,  主任医师,内科,血液科,复旦大学附属中山医院,9.9,1675,,￥260,
42,周德凯,  主任医师,内科,血液科,重庆医科大学附属儿童医院礼嘉分院,9.9,1554,,￥20,￥200
43,曲爱忠,  副主任医师,内科,血液科,潍坊市益都中心医院,10.0,1474,,￥30,￥40
44,吴道香,  主治医师,内科,血液科,北京大学首钢医院,10.0,6145,,￥20,￥30
45,熊文婕,  主治医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,10.0,21,,,￥100
46,刘凌波,  主任医师,内科,血液科,华中科技大学同济医学院附属协和医院,9.6,221,,￥60,
47,段明辉,  主任医师,内科,血液科,北京协和医院,10.0,327,专家团队,,
48,井丽萍,  副主任医师,内科,血液科,中国医学科学院血液病医院（血液学研究所）,9.9,107,,￥150,￥300
49,陈波斌,  主任医师,内科,血液科,复旦大学附属华山医院,9.9,1478,,￥200,
