,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,陈浩,  主治医师,内科,过敏反应科,华中科技大学同济医学院附属同济医院,9.8,135,,￥20,
1,安立新,  主任医师,内科,过敏反应科,哈尔滨医科大学附属第一医院,10.0,171,,￥100,
2,马东霞,  主治医师,内科,过敏反应科,华中科技大学同济医学院附属同济医院,10.0,45,,￥20,
3,崔乐,  主治医师,内科,过敏反应科,北京协和医院,10.0,655,,￥100,￥150
4,杨珍,  副主任医师,内科,过敏反应科,上海儿童医学中心,9.9,1741,,￥150,
5,杨雅琪,  主治医师,内科,过敏反应科,华中科技大学同济医学院附属同济医院,10.0,114,,￥30,
6,徐迎阳,  住院医师,内科,过敏反应科,北京协和医院,10.0,174,,,
7,吴媛媛,  副主任医师,内科,过敏反应科,华中科技大学同济医学院附属同济医院,9.8,762,,￥80,
8,关媛媛,  主治医师,内科,过敏反应科,哈尔滨医科大学附属第一医院,10.0,67,,￥20,
9,唐瑶,  主治医师,内科,过敏反应科,哈尔滨医科大学附属第一医院,9.9,293,,￥20,
10,席广鹏,  主治医师,内科,过敏反应科,哈尔滨医科大学附属第二医院,10.0,67,,￥59,
11,陈向军,  主任医师,内科,过敏反应科,南方医科大学深圳医院,10.0,319,,￥50,
12,赵岩,  副主任医师,内科,过敏反应科,哈尔滨医科大学附属第一医院,10.0,177,,￥50,
13,甘辉,  主治医师,内科,过敏反应科,武汉大学中南医院,10.0,49,,,￥500
14,丁丽凤,  副主任医师,内科,过敏反应科,上海儿童医学中心,9.9,1008,,,￥159
15,王忠喜,  副主任医师,内科,过敏反应科,华中科技大学同济医学院附属同济医院,10.0,48,专家团队,￥30,
16,张续德,  主治医师,内科,过敏反应科,潍坊市人民医院,10.0,446,,￥20,
17,朱可建,  主任医师,内科,过敏反应科,浙江大学医学院附属邵逸夫医院,9.9,195,专家团队,￥80,￥200
18,魏巍,  主任医师,内科,过敏反应科,余姚市人民医院,10.0,178,,￥20,
19,李小敏,  主任医师,内科,过敏反应科,珠海市人民医院,9.9,96,,￥50,
20,何祖蕙,  主任医师,内科,过敏反应科,南京市儿童医院,9.6,569,,￥300,￥500
21,江盛学,  主治医师,内科,过敏反应科,中国医科大学附属盛京医院（滑翔院区）,,2,,￥30,
22,郭杰峰,  主任医师,内科,过敏反应科,珠海市人民医院,9.8,19,,￥80,
23,黄南,  副主任医师,内科,过敏反应科,华中科技大学同济医学院附属同济医院,9.9,31,,￥50,
24,高晓超,  主治医师,内科,过敏反应科,河北医科大学第一医院,9.9,144,,￥25,
25,范卫新,  主任医师,内科,过敏反应科,江苏省人民医院,9.9,677,,￥320,￥380
26,林航,  副主任医师,内科,过敏反应科,青岛大学附属医院市南院区,9.6,148,,￥300,
27,罗彬,  副主任医师,内科,过敏反应科,珠海市人民医院,10.0,87,,,
28,刘钊,  副主任医师,内科,过敏反应科,珠海市人民医院,10.0,117,,￥15,
29,李彬,  主任医师,内科,过敏反应科,黄石市中心医院,8.3,9,专家团队,￥50,
30,祝戎飞,  主任医师,内科,过敏反应科,华中科技大学同济医学院附属同济医院,9.8,581,专家团队,,
31,蒙昌荣,  副主任医师,内科,过敏反应科,广东省中医院大德路总院,9.6,644,专家团队,￥20,
32,孙月眉,  主任医师,内科,过敏反应科,烟台毓璜顶医院,9.7,268,,￥50,
33,刘凤霞,  主任医师,内科,过敏反应科,潍坊市人民医院,10.0,22,,￥20,
34,金玉,  主任医师,内科,过敏反应科,南京市儿童医院,9.8,381,,￥300,
35,高翔,  副主任医师,内科,过敏反应科,青岛大学附属医院市南院区,9.9,2883,,￥30,￥100
36,李孟荣,  主任医师,内科,过敏反应科,温州医科大学附属第二医院,,9,,￥150,
37,郭维丽,  住院医师,内科,过敏反应科,河南省人民医院,,0,,￥30,
38,周玲,  主治医师,内科,过敏反应科,武汉市普仁医院,,1,,￥30,
39,李永慧,  主治医师,内科,过敏反应科,秦皇岛市第二医院,,3,,￥10,
40,赵飞,  主治医师,内科,过敏反应科,秦皇岛市第二医院,,0,,￥30,
41,张旭,  住院医师,内科,过敏反应科,首都医科大学附属北京同仁医院,,8,,,
42,高军,  主任医师,内科,过敏反应科,北部战区总医院,10.0,658,,,
43,杜文锦,  主治医师,内科,过敏反应科,河南省人民医院,10.0,8,,,
44,文利平,  副主任医师,内科,过敏反应科,北京协和医院,,2,专家团队,,
45,孙劲旅,  主任医师,内科,过敏反应科,北京协和医院,9.9,56,专家团队,,
