,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,吴庆军,  主任医师,内科,风湿免疫科,北京协和医院,9.9,1770,,,
1,胡秀芬,  主任医师,内科,风湿免疫科,华中科技大学同济医学院附属同济医院,9.7,1243,,￥80,￥100
2,吴春玲,  副主任医师,内科,风湿免疫科,中国医科大学附属第一医院,10.0,320,专家团队,￥50,
3,华冰珠,  主任医师,内科,风湿免疫科,南京鼓楼医院,9.9,856,,￥100,
4,马晓蕾,  副主任医师,内科,风湿免疫科,南京鼓楼医院,9.9,59,,￥50,
5,王晶,  主治医师,内科,风湿免疫科,中国人民解放军联勤保障部队第962医院,10.0,2365,,￥25,￥39
6,杨铁生,  主任医师,内科,风湿免疫科,北京大学人民医院,9.8,198,,￥300,￥500
7,刘海娜,  副主任医师,内科,风湿免疫科,中国医科大学附属第一医院,10.0,17,专家团队,￥100,
8,刘花香,  主任医师,内科,风湿免疫科,山东大学齐鲁医院,10.0,505,专家团队,￥50,
9,王萍,  副主任医师,内科,风湿免疫科,大连市友谊医院,10.0,8414,,￥20,￥30
10,黄安斌,  主任医师,内科,风湿免疫科,华中科技大学同济医学院附属协和医院,9.8,1348,,￥100,￥600
11,刘宏磊,  副主任医师,内科,风湿免疫科,上海交通大学医学院附属瑞金医院,10.0,1099,,￥149,￥189
12,张炯,  副主任医师,内科,风湿免疫科,复旦大学附属华山医院,9.7,901,,￥300,￥300
13,吴祖波,  主治医师,内科,风湿免疫科,华中科技大学同济医学院附属协和医院,10.0,403,,￥36,
14,段力平,  主任医师,内科,风湿免疫科,中南大学湘雅医院,9.2,205,,￥200,
15,任昊,  主任医师,内科,风湿免疫科,南方医科大学南方医院,10.0,29,专家团队,￥80,
16,张晓猛,  副主任医师,内科,风湿免疫科,合肥市第一人民医院,10.0,12307,,￥45,￥45
17,于慧敏,  主任医师,内科,风湿免疫科,哈尔滨医科大学附属第二医院,10.0,37,,￥30,
18,赵成,  副主任医师,内科,风湿免疫科,南京鼓楼医院,10.0,607,,￥120,
19,李光文,  副主任医师,内科,风湿免疫科,青岛市市立医院东院,10.0,6558,专家团队,￥19,￥20
20,张玉高,  副主任医师,内科,风湿免疫科,西南医科大学附属医院,10.0,4071,,￥20,￥300
21,黄闰月,  主任医师,内科,风湿免疫科,广东省中医院大德路总院,10.0,936,专家团队,￥199,￥800
22,丁爽,  副主任医师,内科,风湿免疫科,中国医科大学附属第一医院,10.0,350,,￥30,￥50
23,宋立军,  主任医师,内科,风湿免疫科,山东大学齐鲁医院,10.0,70,专家团队,￥100,
24,林志国,  副主任医师,内科,风湿免疫科,哈尔滨医科大学附属第一医院,10.0,507,,￥30,
25,郑礼平,  副主任医师,内科,风湿免疫科,珠海市人民医院,10.0,2573,,￥100,￥100
26,张志明,  副主任医师,内科,风湿免疫科,福建省第二人民医院,10.0,454,,￥50,￥200
27,陈伟钱,  副主任医师,内科,风湿免疫科,浙江大学医学院附属第一医院,9.9,78,,￥100,
28,鱼云霞,  主任医师,内科,风湿免疫科,宁夏医科大学总医院,10.0,53,专家团队,￥50,
29,付敏,  副主任医师,内科,风湿免疫科,山东省立医院,10.0,26,,￥20,
30,刘爱华,  副主任医师,内科,风湿免疫科,北京医院,10.0,15,,￥100,
31,夏光涛,  副主任医师,内科,风湿免疫科,山东省立医院,,7,,￥20,￥50
32,任英,  主治医师,内科,风湿免疫科,唐都医院,,17,,￥30,
33,徐晓龑,  副主任医师,内科,风湿免疫科,东南大学附属中大医院,10.0,20,,￥50,
34,刘继赞,  主治医师,内科,风湿免疫科,福建医科大学附属第一医院,10.0,4040,,￥49,
35,张超,  主治医师,内科,风湿免疫科,新乡市中心医院,10.0,6296,,￥25,￥80
36,谢欣颖,  副主任医师,内科,风湿免疫科,怀化市第一人民医院,10.0,1460,,￥20,￥40
37,王平,  副主任医师,内科,风湿免疫科,合肥市第一人民医院,10.0,678,,￥45,
38,陈哲,  副主任医师,内科,风湿免疫科,华中科技大学同济医学院附属同济医院,10.0,39,,￥30,
39,李晓燕,  主任医师,内科,风湿免疫科,陕西省人民医院,9.9,316,,￥25,￥50
40,孙铀,  主任医师,内科,风湿免疫科,哈尔滨医科大学附属第二医院,9.9,147,,￥50,
41,夏嘉,  副主任医师,内科,风湿免疫科,上海市中医医院芷江路院区,10.0,173,专家团队,￥20,
42,李玲,  副主任医师,内科,风湿免疫科,广东省人民医院,10.0,48,,￥69,
43,马新美,  主任医师,内科,风湿免疫科,枣庄市立医院,10.0,1888,专家团队,￥30,￥30
44,张绍敏,  主治医师,内科,风湿免疫科,天津医科大学代谢病医院,10.0,409,,￥50,￥199
45,黄艳,  主治医师,内科,风湿免疫科,浙江省浙江医院,10.0,770,,￥38,￥48
46,郭翎飞,  主任医师,内科,风湿免疫科,天津市第五中心医院,10.0,85,,￥30,
47,张锌,  主治医师,内科,风湿免疫科,吉林大学中日联谊医院,10.0,60,,￥30,
48,蔺亚东,  主治医师,内科,风湿免疫科,山东青岛中西医结合医院,10.0,116,专家团队,￥20,
49,何光桥,  主治医师,内科,风湿免疫科,重庆医科大学附属第三医院(捷尔医院),10.0,434,,￥20,
50,于洪静,  主治中医师,内科,风湿免疫科,齐齐哈尔市中医医院,9.9,61,,￥20,
51,王慧,  主任医师,内科,风湿免疫科,天津中医药大学第一附属医院,10.0,45,,￥30,
52,李天红,  主治医师,内科,风湿免疫科,南充市中心医院,10.0,289,,￥20,￥50
53,薛鸾,  主任医师,内科,风湿免疫科,岳阳医院青海路名医特诊部,9.6,1548,,￥150,￥300
54,陈智勇,  主任医师,内科,风湿免疫科,上海市第六人民医院,10.0,2468,,￥149,￥199
55,雷小妹,  副主任医师,内科,风湿免疫科,华中科技大学附属同济医院光谷院区,9.8,361,,￥50,
56,何奕坤,  副主任医师,内科,风湿免疫科,上海中医药大学附属曙光医院东院,10.0,1021,,￥35,￥100
57,姚中强,  副主任医师,内科,风湿免疫科,北京大学第三医院,9.9,174,,￥300,￥300
58,王辉,  主任医师,内科,风湿免疫科,哈尔滨医科大学附属第一医院,10.0,226,,￥50,
59,高洁,  副主任医师,内科,风湿免疫科,上海长海医院,10.0,768,专家团队,￥40,
60,朱桂启,  主治医师,内科,风湿免疫科,枣庄市立医院,10.0,2745,,￥20,￥30
61,张英泽,  主任医师,内科,风湿免疫科,北京中医医院顺义医院,10.0,105,专家团队,￥100,
62,于一云,  副主任医师,内科,风湿免疫科,复旦大学附属华山医院,9.8,50,,￥80,
63,许俊来,  主治医师,内科,风湿免疫科,赣州市立医院,9.9,332,,￥20,￥39
64,马玲,  主治医师,内科,风湿免疫科,德阳市人民医院,9.9,921,,￥30,
65,吴霞,  副主任医师,内科,风湿免疫科,南阳市第二人民医院,10.0,15,,￥30,
66,李江涛,  主任医师,内科,风湿免疫科,宜宾市第一人民医院,9.9,269,,￥50,
67,张筠,  副主任医师,内科,风湿免疫科,中国人民解放军联勤保障部队第962医院,10.0,72,,￥50,
68,李璐,  主治医师,内科,风湿免疫科,枣庄市立医院,10.0,248,,￥20,
69,夏宇,  副主任医师,内科,风湿免疫科,深圳市儿童医院,,7,,￥50,
70,张旗,  主任医师,内科,风湿免疫科,胜利油田中心医院,10.0,30,,￥80,
71,韩武臣,  副主任医师,内科,风湿免疫科,广元市中心医院,10.0,14,,￥60,￥120
72,邓琼,  副主任医师,内科,风湿免疫科,三明市第一医院,,1,,￥30,
73,余立凯,  副主任医师,内科,风湿免疫科,华中科技大学同济医学院附属协和医院,9.6,78,,￥280,
74,丁峰,  主任医师,内科,风湿免疫科,山东大学齐鲁医院,9.7,128,专家团队,￥50,
75,孔瑞娜,  副主任医师,内科,风湿免疫科,上海长海医院,10.0,595,,￥30,
76,齐晅,  副主任医师,内科,风湿免疫科,河北医科大学第二医院,10.0,455,,￥45,￥500
77,方樑,  主治医师,内科,风湿免疫科,江苏省中医院,9.9,439,,￥38,￥100
78,王燕,  主任医师,内科,风湿免疫科,郑州大学第五附属医院,9.6,12,专家团队,￥50,￥200
79,骆康凯,  主治医师,内科,风湿免疫科,包头医学院第一附属医院,10.0,422,,￥20,￥50
80,余学芳,  副主任医师,内科,风湿免疫科,中国人民解放军联勤保障部队第901医院,10.0,68,,￥48,
81,刘晓亚,  主任医师,内科,风湿免疫科,天津中医药大学第一附属医院,10.0,32,,￥20,
82,王秀花,  副主任医师,内科,风湿免疫科,山东省千佛山医院,10.0,23,,￥20,
83,张育红,  主任医师,内科,风湿免疫科,十堰市人民医院,,3,,￥39,
84,许立飞,  主治医师,内科,风湿免疫科,泰安市中心医院,10.0,648,,￥0,￥80
85,申艳,  副主任医师,内科,风湿免疫科,复旦大学附属华东医院,10.0,515,专家团队,￥80,￥100
86,李国青,  主任医师,内科,风湿免疫科,扬州大学附属医院西区医院,10.0,269,,￥50,
