,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,于南,  副主任医师,医学影像科,医学影像科综合,四川大学华西医院,10.0,667,,￥80,
1,韩芳,  主治医师,医学影像科,医学影像科综合,复旦大学附属华山医院,10.0,394,,￥50,￥100
2,刘含秋,  主任医师,医学影像科,医学影像科综合,复旦大学附属华山医院,10.0,54,,￥300,￥200
3,张志勇,  主任医师,医学影像科,医学影像科综合,复旦大学附属中山医院,9.8,315,,￥300,
4,刘立恒,  主治医师,医学影像科,医学影像科综合,复旦大学附属中山医院,10.0,32,,￥200,￥200
5,齐永帅,  主治医师,医学影像科,医学影像科综合,南方医科大学南方医院,,2,,￥20,￥39
6,康林英,  副主任医师,医学影像科,医学影像科综合,复旦大学附属妇产科医院黄浦院区,9.6,1858,专家团队,￥150,
7,赵梦龙,  主治医师,医学影像科,医学影像科综合,复旦大学附属中山医院,10.0,35,,￥60,
8,杨艳梅,  主任医师,医学影像科,医学影像科综合,复旦大学附属华山医院,9.9,106,,￥280,￥500
9,王颖,  副主任医师,医学影像科,医学影像科综合,中国医科大学附属第一医院,10.0,63,,￥29,
10,黄强,  副主任医师,医学影像科,医学影像科综合,首都医科大学附属北京朝阳医院,,7,,￥60,￥100
11,杨爱民,  主任医师,医学影像科,医学影像科综合,西安交通大学第一附属医院,10.0,69,专家团队,￥48,￥300
12,卞秀华,  主任医师,医学影像科,医学影像科综合,江苏省肿瘤医院,10.0,114,,￥50,
13,杨姗,  副主任医师,医学影像科,医学影像科综合,复旦大学附属中山医院,10.0,4,,￥60,
14,赵明,  副主任医师,医学影像科,医学影像科综合,华中科技大学同济医学院附属同济医院,9.9,244,,￥30,
15,关运,  医师,医学影像科,医学影像科综合,复旦大学附属华山医院,10.0,24,,￥29,￥99
16,段旭华,  副主任医师,医学影像科,医学影像科综合,郑州大学第一附属医院,9.5,19,专家团队,￥20,￥20
17,姜玉良,  主治医师,医学影像科,医学影像科综合,北京大学第三医院,,3,,￥50,
18,何健,  主任医师,医学影像科,医学影像科综合,复旦大学附属中山医院,9.8,102,,￥300,
19,尹传高,  主任医师,医学影像科,医学影像科综合,安徽省儿童医院,10.0,1166,,￥60,￥100
20,徐清华,  副主任医师,医学影像科,医学影像科综合,上海市肺科医院,10.0,99,,￥88,￥198
21,娄江华,  主治医师,医学影像科,医学影像科综合,河南省人民医院,,1,,￥20,
22,童国海,  副主任医师,医学影像科,医学影像科综合,上海交通大学医学院附属瑞金医院,9.4,271,,￥40,
23,管樑,  主任医师,医学影像科,医学影像科综合,上海交通大学医学院附属瑞金医院,9.6,359,,￥300,
24,刘思为,  主治医师,医学影像科,医学影像科综合,复旦大学附属中山医院,9.9,140,,￥30,
25,王鑫,  副主任医师,医学影像科,医学影像科综合,中国医学科学院肿瘤医院,10.0,31,,￥399,￥500
26,宁宁,  副主任医师,医学影像科,医学影像科综合,西安交通大学第二附属医院,10.0,917,,￥65,
27,高云朝,  副主任医师,医学影像科,医学影像科综合,上海市第六人民医院,10.0,472,,￥80,
28,周支瑞,  主治医师,医学影像科,医学影像科综合,复旦大学附属华山医院,10.0,62,,￥35,￥150
29,张军,  副主任医师,医学影像科,医学影像科综合,浙江大学医学院附属第一医院,10.0,56,,￥80,￥100
30,翁婉雯,  主治医师,医学影像科,医学影像科综合,浙江大学医学院附属第一医院,10.0,11,,￥39,
31,张杰,  住院医师,医学影像科,医学影像科综合,解放军总医院第四医学中心（304医院）,10.0,27,,￥30,￥39
32,徐建宇,  主任医师,医学影像科,医学影像科综合,哈尔滨医科大学附属肿瘤医院,10.0,16,,￥50,
33,王俊英,  住院医师,医学影像科,医学影像科综合,东南大学附属中大医院,10.0,6,专家团队,￥30,
34,张俊海,  主任医师,医学影像科,医学影像科综合,复旦大学附属华山医院,9.9,202,专家团队,￥108,￥188
35,马金利,  副主任医师,医学影像科,医学影像科综合,复旦大学附属肿瘤医院徐汇院区,9.8,841,,￥200,￥360
36,王征,  副主任医师,医学影像科,医学影像科综合,复旦大学附属肿瘤医院浦东院区,10.0,1804,,￥298,
37,徐崇明,  主任医师,医学影像科,医学影像科综合,湖北省肿瘤医院,,9,专家团队,￥60,￥50
38,王昌明,  主任医师,医学影像科,医学影像科综合,北京大学第三医院,10.0,25,,￥80,￥120
39,董华,  副主任医师,医学影像科,医学影像科综合,天津医科大学第二医院,10.0,2653,,￥20,
40,李玮,  主任医师,医学影像科,医学影像科综合,天津医科大学总医院,10.0,211,,￥20,
41,赵丽华,  副主任医师,医学影像科,医学影像科综合,中国人民解放军海军特色医学中心,10.0,18,专家团队,￥100,
42,刘凌晓,  主任医师,医学影像科,医学影像科综合,复旦大学附属中山医院,9.9,515,,￥200,
43,杨焕军,  主任医师,医学影像科,医学影像科综合,复旦大学附属肿瘤医院徐汇院区,9.8,1994,,￥88,
44,董孟杰,  主任医师,医学影像科,医学影像科综合,浙江大学医学院附属第一医院,9.9,50,,￥60,￥120
45,高蕊,  主任医师,医学影像科,医学影像科综合,西安交通大学第一附属医院,10.0,26,专家团队,￥30,
46,徐勤,  主治医师,医学影像科,医学影像科综合,浙江大学医学院附属第一医院,10.0,780,,￥30,￥50
47,祁伟祥,  主治医师,医学影像科,医学影像科综合,上海交通大学医学院附属瑞金医院,9.9,93,,￥60,
48,谭先华,  副主任医师,医学影像科,医学影像科综合,武汉市第五医院,10.0,33,,￥500,
49,汪松,  副主任医师,医学影像科,医学影像科综合,安徽省儿童医院,10.0,1286,,￥100,￥100
50,王华,  副主任医师,医学影像科,医学影像科综合,海军军医大学第三附属医院（东方肝胆外科）长海路院区,10.0,97,,￥30,￥200
51,蔡恒烈,  主治医师,医学影像科,医学影像科综合,萍乡市人民医院,9.8,43,,￥20,
52,赵儒义,  主治医师,医学影像科,医学影像科综合,上海交通大学附属第一人民医院,10.0,11,,￥30,
53,任峰奇,  主任医师,医学影像科,医学影像科综合,西北妇女儿童医院,,2,专家团队,￥20,
54,杨倞,  副主任医师,医学影像科,医学影像科综合,上海市第一妇婴保健院东院,10.0,7,,￥150,
55,谭中宝,  副主任医师,医学影像科,医学影像科综合,江苏大学附属医院,,4,,￥20,
56,王湘连,  副主任医师,医学影像科,医学影像科综合,复旦大学附属华东医院,10.0,232,专家团队,￥50,￥200
57,甄作武,  主治医师,医学影像科,医学影像科综合,江门市中心医院,10.0,2486,,￥30,￥60
58,庄一平,  主任医师,医学影像科,医学影像科综合,江苏省肿瘤医院,10.0,139,,￥50,
59,张万高,  主任医师,医学影像科,医学影像科综合,安徽中医药大学第一附属医院,9.7,17,,￥50,￥100
60,刘欣红,  主任医师,医学影像科,医学影像科综合,临沂市肿瘤医院,10.0,21,,￥50,
61,万智勇,  副主任医师,医学影像科,医学影像科综合,上海交通大学附属第一人民医院,10.0,3,,￥100,
62,李红伟,  副主任医师,医学影像科,医学影像科综合,蚌埠医学院第一附属医院,10.0,25,,￥50,￥120
63,周青,  副主任医师,医学影像科,医学影像科综合,徐州医科大学附属医院,,6,,￥20,
64,张涛,  主任医师,医学影像科,医学影像科综合,潍坊市人民医院,,1,,￥80,
65,毛广敏,  主治医师,医学影像科,医学影像科综合,上海中医药大学附属龙华医院,,1,,￥30,
66,宋乐,  副主任医师,医学影像科,医学影像科综合,北京大学第三医院,10.0,170,,￥69,
67,刘国锋,  主治医师,医学影像科,医学影像科综合,中南大学湘雅二医院,10.0,962,,￥50,
68,高伟,  副主任医师,医学影像科,医学影像科综合,上海市第四人民医院,10.0,1442,,￥30,
69,张丽娟,  主任医师,医学影像科,医学影像科综合,郑州大学第一附属医院,10.0,21,,￥200,￥500
70,韩向军,  主任医师,医学影像科,医学影像科综合,中国医科大学附属第一医院,10.0,14,,￥20,
71,王铁功,  副主任医师,医学影像科,医学影像科综合,上海长海医院,10.0,14,,￥80,
72,王芳军,  主任医师,医学影像科,医学影像科综合,广州中医药大学第一附属医院,,11,,￥35,￥99
73,庞宁东,  副主任医师,医学影像科,医学影像科综合,山西医科大学第一医院,,24,,￥20,
74,丁国伟,  主治医师,医学影像科,医学影像科综合,天津市第五中心医院,10.0,195,,￥10,
75,李庚武,  主任医师,医学影像科,医学影像科综合,安徽省儿童医院,10.0,455,,￥50,
76,金香顺,  主任医师,医学影像科,医学影像科综合,吉化集团公司总医院,,2,,￥30,
77,饶圣祥,  主任医师,医学影像科,医学影像科综合,复旦大学附属中山医院,10.0,301,,￥90,
78,王昶,  副主任医师,医学影像科,医学影像科综合,安徽省儿童医院,10.0,975,,￥50,￥80
79,冯建林,  副主任医师,医学影像科,医学影像科综合,江苏省人民医院,10.0,11,,￥80,
80,方敏,  副主任医师,医学影像科,医学影像科综合,浙江省肿瘤医院,10.0,157,,￥40,
81,王添平,  主治医师,医学影像科,医学影像科综合,复旦大学附属妇产科医院黄浦院区,9.9,946,专家团队,￥30,￥500
82,韩成龙,  主治医师,医学影像科,医学影像科综合,中国人民解放军第81医院,10.0,17,,￥30,￥60
83,熊英友,  主治医师,医学影像科,医学影像科综合,湖北民族大学附属民大医院,10.0,25,,￥25,
84,王金玉,  主治医师,医学影像科,医学影像科综合,珠海市人民医院,10.0,10,,￥20,￥80
85,张雯,  副主任医师,医学影像科,医学影像科综合,复旦大学附属中山医院,9.9,170,,￥50,
86,张希梅,  副主任医师,医学影像科,医学影像科综合,天津市肿瘤医院,9.7,134,,￥80,
87,郑飞波,  主任医师,医学影像科,医学影像科综合,青岛市市立医院东院,10.0,87,,￥30,￥30
88,杨忠毅,  副主任医师,医学影像科,医学影像科综合,复旦大学附属肿瘤医院徐汇院区,10.0,833,,￥15,￥300
89,陈卓,  主治医师,医学影像科,医学影像科综合,黄冈市中心医院,10.0,544,,￥40,￥100
90,倪政欣,  副主任医师,医学影像科,医学影像科综合,苏州市中医医院,9.9,162,,￥50,￥300
91,徐骋,  副主任医师,医学影像科,医学影像科综合,中山大学附属肿瘤医院,10.0,11,,￥100,
92,袁春旺,  主任医师,医学影像科,医学影像科综合,首都医科大学附属北京佑安医院,10.0,19,,￥500,￥500
93,高洪盛,  主任医师,医学影像科,医学影像科综合,潍坊市第二人民医院,10.0,95,,￥30,
94,柴丽,  副主任医师,医学影像科,医学影像科综合,上海市第十人民医院,,10,,￥30,
95,郭贵军,  副主任医师,医学影像科,医学影像科综合,河北省人民医院,,3,,￥30,
96,马向林,  主治医师,医学影像科,医学影像科综合,天津市滨海新区汉沽中医医院,,2,,￥10,
97,陈璟,  主任医师,医学影像科,医学影像科综合,华中科技大学同济医学院附属同济医院,9.8,207,,￥30,
98,王喆,  副主任医师,医学影像科,医学影像科综合,西京医院,9.5,21,,￥60,
99,陈辉霖,  主任医师,医学影像科,医学影像科综合,武汉大学人民医院,10.0,169,,￥59,￥99
100,万军,  主任医师,医学影像科,医学影像科综合,复旦大学附属华山医院静安分院,10.0,55,,￥40,￥88
101,田丹,  主治医师,医学影像科,医学影像科综合,浙江大学医学院附属第一医院,10.0,15,,￥30,
102,杨毅,  副主任医师,医学影像科,医学影像科综合,苏州大学附属第一医院十梓街院区,10.0,18,,￥100,￥200
103,吴莉莉,  主治医师,医学影像科,医学影像科综合,复旦大学附属中山医院,10.0,29,,,
104,邵明岩,  主治医师,医学影像科,医学影像科综合,江西省人民医院,9.9,101,,￥30,
105,熊志,  副主任医师,医学影像科,医学影像科综合,咸宁市中心医院,,4,,￥20,
106,赵向荣,  主治医师,医学影像科,医学影像科综合,聊城市人民医院,10.0,756,,￥30,￥30
107,高小平,  副主任医师,医学影像科,医学影像科综合,甘肃省第二人民医院,,3,,￥10,￥50
108,李开国,  主治医师,医学影像科,医学影像科综合,广西医科大学附属肿瘤医院,,5,,￥20,
109,潘纯国,  副主任医师,医学影像科,医学影像科综合,江西省肿瘤医院,10.0,5,,￥30,
110,蒋春灵,  副主任医师,医学影像科,医学影像科综合,江西省肿瘤医院,,4,,￥50,￥100
111,张庆华,  副主任医师,医学影像科,医学影像科综合,徐州医科大学附属医院,,2,,￥35,￥39
112,侯海峰,  副主任医师,医学影像科,医学影像科综合,浙江大学医学院附属第二医院解放路院区,10.0,6,,￥79,
113,张愉,  副主任医师,医学影像科,医学影像科综合,江苏省中医院,10.0,34,,￥30,
114,朱慧,  主任医师,医学影像科,医学影像科综合,山东省肿瘤医院,10.0,24,专家团队,￥50,￥100
115,傅钢泽,  副主任医师,医学影像科,医学影像科综合,温州医科大学附属第一医院新院区,10.0,53,,￥200,
116,范长根,  副主任医师,医学影像科,医学影像科综合,湖南省肿瘤医院,10.0,13,专家团队,￥50,￥200
117,朱鸿剑,  主任医师,医学影像科,医学影像科综合,中国人民解放军第94医院,10.0,15,,￥60,
118,宾俊杰,  副主任医师,医学影像科,医学影像科综合,惠州市第三人民医院,10.0,11,,￥20,￥40
119,赵晨,  副主任医师,医学影像科,医学影像科综合,天津市肿瘤医院,9.8,11,,￥100,
120,肖琴,  副主任医师,医学影像科,医学影像科综合,湖南省肿瘤医院,,4,,￥30,
121,孔吉武,  住院医师,医学影像科,医学影像科综合,甘肃省武威肿瘤医院,,6,,￥10,￥20
122,张火俊,  主任医师,医学影像科,医学影像科综合,上海长海医院,9.9,511,专家团队,￥100,￥500
123,黄建敏,  主任医师,医学影像科,医学影像科综合,河北医科大学第三医院,10.0,54,专家团队,￥30,￥100
124,刘巍,  副主任医师,医学影像科,医学影像科综合,中南大学湘雅医院,10.0,660,,￥50,￥150
125,董萍,  副主任医师,医学影像科,医学影像科综合,天津医科大学第二医院,10.0,2734,,￥20,￥30
