,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,齐洪涛,  主任医师,医学影像科,心电诊断科,青岛市中心医疗集团,9.9,77,,￥50,￥80
1,贾晓波,  主治医师,医学影像科,心电诊断科,天津市蓟州区人民医院,,3,,￥30,
2,张帆,  主任医师,医学影像科,心电诊断科,甘肃省第二人民医院,,1,,￥30,
3,高洁,  主治医师,医学影像科,心电诊断科,福建省立医院,,1,专家团队,￥20,
4,仲涛,  副主任医师,医学影像科,心电诊断科,潍坊市人民医院,,1,,￥30,
5,许文波,  主治医师,医学影像科,心电诊断科,山东第一医科大学第二附属医院,,1,,￥10,
6,黄海明,  住院医师,医学影像科,心电诊断科,广州市第一人民医院,,2,,￥20,
7,张晓晖,  副主任医师,医学影像科,心电诊断科,山东第一医科大学第二附属医院,10.0,41,,￥10,
8,闫书妹,  主治医师,医学影像科,心电诊断科,郑州大学第一附属医院,10.0,16,,￥20,
9,吴会兴,  副主任医师,医学影像科,心电诊断科,天津市蓟州区人民医院,,1,,￥30,
10,赵亚娜,  主治医师,医学影像科,心电诊断科,杭州市第三人民医院,10.0,6,,￥30,￥80
11,李志金,  主治医师,医学影像科,心电诊断科,龙岩市第一医院分院(龙岩市妇幼保健院),10.0,7,,￥5,
12,陈绘迦,  主治医师,医学影像科,心电诊断科,恩施州优抚医院,,1,,￥30,
13,林金权,  主治医师,医学影像科,心电诊断科,阳西总医院人民医院,,5,,￥30,
14,刘书旺,  主任医师,医学影像科,心电诊断科,北京大学第三医院,8.4,8,专家团队,￥100,
15,吕作启,  主治医师,医学影像科,心电诊断科,枣庄市山亭区人民医院,,1,,￥20,
16,陈小金,  主治医师,医学影像科,心电诊断科,黄冈市中心医院,,0,,￥30,
17,郑琪,  住院医师,医学影像科,心电诊断科,福建省立医院,,0,专家团队,￥25,
18,杨燕秋,  医师,医学影像科,心电诊断科,福建省立医院,,2,专家团队,￥25,
19,贾玖荣,  主任医师,医学影像科,心电诊断科,天津市蓟州区人民医院,,0,,￥30,
20,欧阳微娜,  副主任医师,医学影像科,心电诊断科,湖南省人民医院,,0,,￥30,
21,孙海燕,  副主任医师,医学影像科,心电诊断科,泰安市中心医院,,0,,￥10,
22,李春秀,  主治医师,医学影像科,心电诊断科,天津市蓟州区人民医院,,0,,￥30,
23,张志平,  主治医师,医学影像科,心电诊断科,天津市蓟州区人民医院,,0,,￥30,
24,王春波,  主治医师,医学影像科,心电诊断科,天津市蓟州区人民医院,,0,,￥30,
25,何泉,  主治医师,医学影像科,心电诊断科,黄冈市中心医院,,0,,￥30,
26,李欢欢,  主治医师,医学影像科,心电诊断科,黄冈市中心医院,,0,,￥30,
27,陈岩,  主治医师,医学影像科,心电诊断科,潍坊市人民医院,,0,,￥30,
28,韩汶君,  主治医师,医学影像科,心电诊断科,潍坊市人民医院,,0,,￥30,
29,杨桦,  主治医师,医学影像科,心电诊断科,银川市妇幼保健院,,0,,￥30,
30,蒋芳,  主治医师,医学影像科,心电诊断科,泰安市中心医院,,0,,￥10,
31,孟晓武,  主治医师,医学影像科,心电诊断科,泰安市中心医院,,0,,￥10,
32,张亚文,  医师,医学影像科,心电诊断科,潍坊市人民医院,,0,,￥30,
33,王滨,  医师,医学影像科,心电诊断科,山东第一医科大学第二附属医院,,0,,￥10,
34,王艳玲,  主治中医师,医学影像科,心电诊断科,德州市宁津县中医院,,0,,￥30,
35,袁洋,  住院医师,医学影像科,心电诊断科,山东第一医科大学第二附属医院,,0,,￥10,
36,付基伟,  住院医师,医学影像科,心电诊断科,潍坊市人民医院,,0,,￥30,
37,花赟凯,  住院医师,医学影像科,心电诊断科,潍坊市人民医院,,0,,￥30,
38,孙玲燕,  住院医师,医学影像科,心电诊断科,山东第一医科大学第二附属医院,,0,,￥10,
39,焦爱燕,  住院医师,医学影像科,心电诊断科,潍坊市人民医院,,0,,￥30,
40,陈炼,  住院医师,医学影像科,心电诊断科,黄冈市中心医院,,0,,￥30,
41,刘淑英,  医师,医学影像科,心电诊断科,天津市第一医院,,1,,￥10,
42,匡滨川,  主治医师,医学影像科,心电诊断科,天津市滨海新区海滨人民医院,,1,,￥10,
43,张晓磊,  主治中医师,医学影像科,心电诊断科,天津市滨海新区塘沽妇产医院,,0,,￥10,
44,李红,  主任医师,医学影像科,心电诊断科,大庆市第四医院,,0,,￥20,
45,于兴珊,  副主任医师,医学影像科,心电诊断科,新汶矿业集团有限责任公司中心医院,,0,,￥30,
46,葛晓冬,  副主任医师,医学影像科,心电诊断科,山东省曹县人民医院,,0,,￥20,
47,张力,  主治医师,医学影像科,心电诊断科,西安庆华医院,,0,,￥20,
48,谢建翠,  住院医师,医学影像科,心电诊断科,新田县中医院,,0,,￥15,
49,郭俊玲,  主治医师,医学影像科,心电诊断科,大宁县人民医院,,0,,￥10,
50,丁莉鲁,  副主任医师,医学影像科,心电诊断科,新汶矿业集团有限责任公司中心医院,,0,,￥10,
51,余慧贞,  副主任医师,医学影像科,心电诊断科,龙岩人民医院,,1,,￥10,
52,王红娜,  主治医师,医学影像科,心电诊断科,山东省生建八三医院,,1,,￥20,
