,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,程蕾蕾,  主任医师,医学影像科,超声诊断科,复旦大学附属中山医院,9.8,2171,,￥500,
1,彭丽春,  副主任医师,医学影像科,超声诊断科,复旦大学附属中山医院,9.9,426,,￥100,
2,徐辉雄,  主任医师,医学影像科,超声诊断科,复旦大学附属中山医院,9.9,428,专家团队,￥100,￥200
3,季正标,  副主任医师,医学影像科,超声诊断科,复旦大学附属中山医院,9.8,110,专家团队,￥100,
4,金贇杰,  主治医师,医学影像科,超声诊断科,复旦大学附属中山医院,10.0,15,,￥50,
5,董彩虹,  主治医师,医学影像科,超声诊断科,复旦大学附属中山医院,10.0,15,,￥30,
6,黄备建,  主任医师,医学影像科,超声诊断科,复旦大学附属中山医院,9.8,50,,￥100,
7,袁海霞,  副主任医师,医学影像科,超声诊断科,复旦大学附属中山医院,10.0,96,,￥100,
8,李涛,  主治医师,医学影像科,超声诊断科,西京医院,10.0,50,,￥10,￥30
9,白文坤,  副主任医师,医学影像科,超声诊断科,上海市第六人民医院,9.9,260,,￥100,
10,王俊峰,  副主任医师,医学影像科,超声诊断科,哈尔滨医科大学附属第一医院,,2,,￥50,
11,张伟,  副主任医师,医学影像科,超声诊断科,华中科技大学同济医学院附属同济医院,9.7,128,,￥30,
12,丁红,  主任医师,医学影像科,超声诊断科,复旦大学附属华山医院,9.8,664,,￥100,
13,袁振茂,  副主任医师,医学影像科,超声诊断科,南京医科大学第二附属医院,10.0,30,,￥20,
14,董刚,  主任医师,医学影像科,超声诊断科,郑州大学第一附属医院,9.9,184,,￥20,
15,王建,  住院医师,医学影像科,超声诊断科,泰安市中心医院,10.0,220,,￥30,￥80
16,王婷婷,  主治医师,医学影像科,超声诊断科,开封市中医院,,4,,￥15,
17,姜善元,  住院医师,医学影像科,超声诊断科,泰安市中心医院,,1,,￥30,
18,陈为民,  副主任医师,医学影像科,超声诊断科,复旦大学附属华山医院,10.0,158,,￥300,
19,陈林,  主任医师,医学影像科,超声诊断科,复旦大学附属华东医院,10.0,199,,￥70,￥120
20,孙辉,  副主任医师,医学影像科,超声诊断科,上海市第十人民医院,10.0,83,,￥100,
21,孛茹婷,  主治医师,医学影像科,超声诊断科,天津医院,,3,,￥30,
22,胡玉凤,  副主任医师,医学影像科,超声诊断科,湖南省职业病防治院,,3,,￥20,
23,周梅玲,  主治医师,医学影像科,超声诊断科,宁夏同心县人民医院,,35,,￥30,
24,曹秋云,  主任医师,医学影像科,超声诊断科,南京鼓楼医院江北国际分院,10.0,5213,专家团队,,￥388
25,李昕,  主治医师,医学影像科,超声诊断科,天津市第二人民医院,,1,,￥10,
26,王换芳,  主治医师,医学影像科,超声诊断科,邢台医学高等专科学校第二附属医院,10.0,5,,￥30,
27,梁哲浩,  副主任医师,医学影像科,超声诊断科,浙江省中医院,,2,,￥60,
28,陈莉,  医师,医学影像科,超声诊断科,上海市第六人民医院,10.0,18,专家团队,￥30,
29,赵孝珍,  主治医师,医学影像科,超声诊断科,滨州市惠民县人民医院,9.8,34,,￥20,￥15
30,陈丽君,  副主任医师,医学影像科,超声诊断科,上海儿童医学中心,,3,,￥150,
31,杜中亮,  副主任医师,医学影像科,超声诊断科,太仓市中医医院,10.0,22,,￥80,
32,金凤山,  主治医师,医学影像科,超声诊断科,上海市第十人民医院,,1,,￥25,
33,苏轶华,  副主任医师,医学影像科,超声诊断科,同煤集团肿瘤医院,10.0,16,,￥20,
34,李新柱,  副主任医师,医学影像科,超声诊断科,泰安市第一人民医院,,1,,￥0,
35,许萍,  副主任医师,医学影像科,超声诊断科,复旦大学附属华山医院,10.0,454,专家团队,￥100,
36,茹彤,  主任医师,医学影像科,超声诊断科,南京鼓楼医院,9.8,107,,￥60,￥150
37,刘静,  主治医师,医学影像科,超声诊断科,华中科技大学同济医学院附属同济医院,10.0,82,,￥20,
38,周伟,  副主任医师,医学影像科,超声诊断科,上海交通大学医学院附属瑞金医院,10.0,1765,,￥180,
39,沈睿,  副主任医师,医学影像科,超声诊断科,上海市中医医院芷江路院区,10.0,23,,￥200,
40,李彦霖,  住院医师,医学影像科,超声诊断科,天津市第二医院,10.0,38,,￥20,
41,许玉红,  医师,医学影像科,超声诊断科,天长巿张铺镇卫生院,10.0,522,,￥5,
