,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,那春鑫,  主治医师,医学检验科,检验科,七台河市人民医院,10.0,84,,￥30,
1,郭雅琼,  副主任医师,医学检验科,检验科,甘肃省第二人民医院,10.0,21,,￥20,￥40
2,饶应波,  主治医师,医学检验科,检验科,浙江大学医学院附属第四医院,9.9,91,,￥10,
3,王立军,  医师,医学检验科,检验科,山东省泰安荣军医院,,1,,￥10,
4,王璐,  副主任医师,医学检验科,检验科,枣庄市立医院,10.0,12,,￥20,
5,郭绪晓,  副主任医师,医学检验科,检验科,山东中医药大学附属医院,10.0,20,,￥30,
6,胡咏新,  副主任医师,医学检验科,检验科,江苏省中西医结合医院,10.0,39,,￥50,
7,王伟,  主任医师,医学检验科,检验科,浙江省立同德医院,,5,专家团队,￥60,
8,李洪伟,  住院医师,医学检验科,检验科,大连市第三人民医院,10.0,80,,,￥30
9,宿建丽,  副主任医师,医学检验科,检验科,山东大学齐鲁医院（青岛）,,10,专家团队,￥30,
10,毕晓勤,  主治医师,医学检验科,检验科,山东大学齐鲁医院（青岛）,10.0,90,专家团队,￥30,
11,金涛,  主治医师,医学检验科,检验科,枣庄市立医院,,7,,￥20,
12,张燕,  医师,医学检验科,检验科,内江市第二人民医院,,1,,￥10,￥10
13,田秀青,  主任医师,医学检验科,检验科,山东省千佛山医院,,17,专家团队,￥20,￥50
14,肖东杰,  主任医师,医学检验科,检验科,济南市中心医院,,4,,￥100,￥200
15,侯艳娇,  主治医师,医学检验科,检验科,德州市人民医院（山东大学齐鲁医院德州医院）,,7,,￥30,￥80
16,黎慧萍,  副主任医师,医学检验科,检验科,佛山市中医院,,0,,￥40,￥80
17,郭靖卓,  主治医师,医学检验科,检验科,山东大学齐鲁医院（青岛）,,6,专家团队,￥30,
18,张宏波,  主治医师,医学检验科,检验科,山东大学齐鲁医院（青岛）,,2,专家团队,￥30,
19,李路,  主治医师,医学检验科,检验科,枣庄市立医院,,0,,￥20,
20,孙颖,  主治医师,医学检验科,检验科,枣庄市立医院,,0,,￥20,
21,王磊,  主治医师,医学检验科,检验科,赤峰市医院,,0,,￥30,
22,张璐,  主治医师,医学检验科,检验科,山东省立第三医院,,0,,￥6,￥6
23,李国栋,  主治医师,医学检验科,检验科,山东省千佛山医院,,3,,￥20,
24,王洪亚,  主治医师,医学检验科,检验科,山东省立第三医院,,0,,￥6,￥6
25,姜翠荣,  住院医师,医学检验科,检验科,枣庄市立医院,,0,,￥20,
26,薛玉梅,  住院医师,医学检验科,检验科,枣庄市立医院,,0,,￥20,
27,郭允,  住院医师,医学检验科,检验科,枣庄市立医院,,0,,￥20,
28,吴林军,  住院医师,医学检验科,检验科,乐山市中医院,,0,,￥15,
29,孙萍,  副主任医师,医学检验科,检验科,石嘴山市第二人民医院,,3,,￥20,
30,朱黎娜,  医师,医学检验科,检验科,天津中医药大学第二附属医院,,1,,￥10,
31,余莹莹,  医师,医学检验科,检验科,湖北民族大学附属民大医院,,0,,￥10,
32,刘洪波,  住院医师,医学检验科,检验科,利川市民族中医院,,0,,￥10,
33,张倩,  主任医师,医学检验科,检验科,昆明市儿童医院,,0,,￥80,
34,冯强,  主任医师,医学检验科,检验科,泰安市中心医院,,0,,￥30,
35,严剑波,  主任医师,医学检验科,检验科,秦皇岛市妇幼保健院,,0,,￥30,
36,张建英,  副主任医师,医学检验科,检验科,昆明市儿童医院,,0,,￥60,
37,张刘瑜,  医师,医学检验科,检验科,南方医科大学珠江医院,,0,,￥20,
38,张慧,  副主任医师,医学检验科,检验科,天津市职业病防治院,,0,,￥20,
39,王露,  主治医师,医学检验科,检验科,徐州市中心医院,,0,,￥28,
40,赵燕,  主治医师,医学检验科,检验科,淄博市中心医院,,0,,￥30,
41,梁慧青,  主治医师,医学检验科,检验科,保定市第一中心医院,,0,,￥20,
42,王充强,  主治医师,医学检验科,检验科,山东第一医科大学第二附属医院,,0,,￥10,
43,李伟,  主治医师,医学检验科,检验科,新疆生产建设兵团第四师医院,,0,,￥30,
44,潘贞贞,  主治医师,医学检验科,检验科,新疆生产建设兵团第四师医院,,0,,￥30,
45,张利媛,  主治医师,医学检验科,检验科,天津市职业病防治院,,0,,￥10,
46,肖英著,  副主任医师,医学检验科,检验科,来凤县人民医院,,0,,￥20,
47,黄芳,  医师,医学检验科,检验科,天津市第二人民医院,,0,,￥30,
48,柏艳芳,  医师,医学检验科,检验科,天津市职业病防治院,,0,,￥10,
49,陶书英,  医师,医学检验科,检验科,天津市职业病防治院,,0,,￥10,
50,方雪娇,  医师,医学检验科,检验科,利川市人民医院,,0,,￥10,
51,付塬,  住院医师,医学检验科,检验科,牡丹江医学院附属第二医院,,0,,￥30,
52,李万翔,  住院医师,医学检验科,检验科,潍坊市人民医院,,1,,￥30,
53,田甜,  住院医师,医学检验科,检验科,河北省沧州中西医结合医院,,0,,￥30,
54,房华丽,  住院医师,医学检验科,检验科,烟台山医院,,1,,￥5,
55,程莹莹,  住院医师,医学检验科,检验科,山东第一医科大学第二附属医院,,0,,￥10,
56,陈蕊,  住院医师,医学检验科,检验科,秦皇岛市妇幼保健院,,0,,￥30,
57,黄颖,  住院医师,医学检验科,检验科,山东第一医科大学第二附属医院,,0,,￥10,
58,王晶,  住院医师,医学检验科,检验科,山东第一医科大学第二附属医院,,0,,￥10,
59,张晓夏,  住院医师,医学检验科,检验科,天津市职业病防治院,,0,,￥10,
60,金星灵,  主治医师,医学检验科,检验科,建始县中医院,,0,,￥10,
61,于慧玲,  主任医师,医学检验科,检验科,克东县中医院,,1,,￥30,
62,王春兰,  主治医师,医学检验科,检验科,安丘市人民医院,,0,,￥30,
63,郭艳玲,  主治医师,医学检验科,检验科,德州市陵城区徽王卫生院,,0,,￥20,
64,李文芳,  医师,医学检验科,检验科,天津市宁河区潘庄医院,,0,,￥10,
