,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,夏永华,  主任医师,口腔科,儿童口腔科,哈尔滨医科大学附属第一医院,10.0,4480,,￥39,￥400
1,张耀国,  主任医师,口腔科,儿童口腔科,江苏省口腔医院,10.0,6518,,￥38,￥50
2,刘文,  副主任医师,口腔科,儿童口腔科,湖南省儿童医院,10.0,1993,,￥80,￥200
3,金福荣,  住院医师,口腔科,儿童口腔科,上海同口名佑口腔门诊部,10.0,332,,￥15,
4,李琴,  主治医师,口腔科,儿童口腔科,同济大学附属口腔医院,10.0,344,,￥0,￥39
5,蒋备战,  主任医师,口腔科,儿童口腔科,上海同口名佑口腔门诊部,10.0,2700,,￥100,￥200
6,田泽芸,  主治医师,口腔科,儿童口腔科,天津市儿童医院,10.0,227,,￥40,￥30
7,陈卓,  副主任医师,口腔科,儿童口腔科,北京儿童医院,10.0,317,,￥130,￥400
8,高旭广,  主治医师,口腔科,儿童口腔科,广州医科大学附属口腔医院,10.0,35,,￥20,￥88
9,方玉叶,  医师,口腔科,儿童口腔科,同济大学附属口腔医院,10.0,742,,￥10,
10,冯晓宇,  副主任医师,口腔科,儿童口腔科,北京口腔医院天坛院区,10.0,45,,,￥300
11,汤根兄,  副主任医师,口腔科,儿童口腔科,南京市儿童医院,10.0,304,,￥50,
12,司梦婷,  住院医师,口腔科,儿童口腔科,同济大学附属口腔医院,10.0,782,,￥20,
13,王芳,  主治医师,口腔科,儿童口腔科,天津市儿童医院,10.0,38,,￥29,
14,颜燕宏,  副主任医师,口腔科,儿童口腔科,上海同口名佑口腔门诊部,10.0,215,,￥50,
15,刘亚蕊,  副主任医师,口腔科,儿童口腔科,广州医科大学附属口腔医院,10.0,3680,专家团队,￥10,
16,苗芬,  主治医师,口腔科,儿童口腔科,南京市儿童医院,10.0,670,,￥20,￥30
17,方林仙,  主治医师,口腔科,儿童口腔科,浙江省口腔医院,10.0,269,,￥49,
