,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,秦哲,  主治医师,口腔科,口腔修复科,天津医科大学口腔医院,10.0,463,,￥10,
1,周大博,  副主任医师,口腔科,口腔修复科,中国医科大学附属口腔医院,9.9,485,,￥35,
2,金福荣,  住院医师,口腔科,口腔修复科,同济大学附属口腔医院,10.0,332,,￥15,
3,王革,  主任医师,口腔科,口腔修复科,武汉大学口腔医院,9.9,74,,￥60,￥200
4,张方明,  主任医师,口腔科,口腔修复科,首都医科大学附属北京友谊医院,10.0,9,,￥80,
5,王宁,  主任医师,口腔科,口腔修复科,南京市口腔医院,10.0,128,,￥80,
6,杨志诚,  主任医师,口腔科,口腔修复科,上海市口腔病防治院分院,9.8,696,,￥100,￥500
7,沈紫芸,  主治医师,口腔科,口腔修复科,上海同口名雅口腔门诊部,10.0,40,,￥10,
8,杨骏,  主治医师,口腔科,口腔修复科,南昌大学附属口腔医院,10.0,34,,￥20,
9,焦红敬,  主治医师,口腔科,口腔修复科,泰安市口腔医院,10.0,993,,￥30,￥50
10,徐海涛,  副主任医师,口腔科,口腔修复科,青岛大学附属医院市南院区,9.5,47,专家团队,￥40,￥200
11,闫树东,  医师,口腔科,口腔修复科,北京口腔医院王府井院区,10.0,13,,￥30,￥50
12,刘莉,  副主任医师,口腔科,口腔修复科,上海市口腔医院,9.4,83,,￥40,￥120
13,黄宇华,  主治医师,口腔科,口腔修复科,广东省中医院大学城医院,9.4,427,,￥25,￥30
14,叶俊,  副主任医师,口腔科,口腔修复科,同济大学附属口腔医院,10.0,22,,￥25,
15,张磊,  副主任医师,口腔科,口腔修复科,同济大学附属口腔医院,9.9,556,,￥20,
16,李辰,  副主任医师,口腔科,口腔修复科,上海同口名雅口腔门诊部,10.0,1101,,￥50,
17,李宁,  副主任医师,口腔科,口腔修复科,泰安市口腔医院,,3,,￥10,
18,苏俭生,  主任医师,口腔科,口腔修复科,同济大学附属口腔医院,8.8,19,,￥60,
19,李琼,  主治医师,口腔科,口腔修复科,同济大学附属口腔医院,9.8,229,,￥30,
20,韦丽芬,  主治医师,口腔科,口腔修复科,广州微医医院,9.9,69,,￥20,
21,沈琴,  主治医师,口腔科,口腔修复科,南方医科大学深圳医院,10.0,13,,￥50,
22,汤祎熳,  主治医师,口腔科,口腔修复科,北京大学口腔医院第四门诊部,,1,,￥80,
23,曾德良,  主治医师,口腔科,口腔修复科,上海交通大学医学院附属第九人民医院（南部院区）,10.0,260,,￥45,
24,张雅杰,  住院医师,口腔科,口腔修复科,济南市口腔医院,,1,,￥5,
25,叶荣荣,  副主任医师,口腔科,口腔修复科,上海市口腔医院,9.6,307,,￥40,
26,李健,  主任医师,口腔科,口腔修复科,湖南省人民医院,9.8,33,专家团队,￥50,
27,余昊翰,  主治医师,口腔科,口腔修复科,空军军医大学(第四军医大学)口腔医学院,10.0,16,,￥20,￥20
28,雷期音,  医师,口腔科,口腔修复科,南方医科大学深圳医院,10.0,11,,￥30,
29,陶建祥,  主任医师,口腔科,口腔修复科,同济大学附属口腔医院,9.7,146,,￥40,
30,乔广艳,  副主任医师,口腔科,口腔修复科,同济大学附属口腔医院,9.9,86,,￥20,
31,翁蓓军,  副主任医师,口腔科,口腔修复科,上海市口腔病防治院分院,9.8,122,,￥30,
32,杨双,  医师,口腔科,口腔修复科,广州医科大学附属口腔医院,,3,,￥10,
33,王帆,  主治医师,口腔科,口腔修复科,山西医科大学口腔医院,10.0,8,,￥20,
34,单倩,  主治医师,口腔科,口腔修复科,沈阳市口腔医院,10.0,11,,￥30,
35,刘伟才,  主任医师,口腔科,口腔修复科,同济大学附属口腔医院,9.2,152,,￥60,￥120
36,王光杰,  主治医师,口腔科,口腔修复科,泰安市口腔医院,,1,,￥10,
37,宋治锋,  主任医师,口腔科,口腔修复科,上海市口腔病防治院分院,9.6,109,,￥50,
38,于海利,  副主任医师,口腔科,口腔修复科,烟台市口腔医院开发区分院,,1,,￥30,
