,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,林立,  主任医师,口腔科,口腔正畸科,福建医科大学附属协和医院,,3,,￥80,
1,张渊岫,  副主任医师,口腔科,口腔正畸科,江苏省口腔医院,10.0,308,,￥35,
2,李娟,  主任医师,口腔科,口腔正畸科,四川大学华西口腔医院,9.7,131,,￥150,
3,施健巍,  主治医师,口腔科,口腔正畸科,广州医科大学附属口腔医院,,1,,￥20,
4,安晶涛,  副主任医师,口腔科,口腔正畸科,哈尔滨医科大学附属第一医院,10.0,22,,￥20,
5,赵君,  副主任医师,口腔科,口腔正畸科,上海交通大学医学院附属第九人民医院（南部院区）,10.0,1564,,￥100,￥300
6,万颖倩,  主治医师,口腔科,口腔正畸科,淮安市口腔医院,10.0,1063,,￥10,￥30
7,范晓川,  主治医师,口腔科,口腔正畸科,首都医科大学附属北京友谊医院,10.0,498,,￥30,
8,孙鹏,  副主任医师,口腔科,口腔正畸科,烟台市口腔医院,9.9,65,,￥20,￥30
9,谢琳,  副主任医师,口腔科,口腔正畸科,山东大学齐鲁医院（青岛）,10.0,34,专家团队,￥30,￥200
10,欧阳宁鹃,  主治医师,口腔科,口腔正畸科,上海交通大学医学院附属第九人民医院（南部院区）,,1,,￥25,
11,张淑珍,  主治医师,口腔科,口腔正畸科,武汉大学口腔医院,9.9,314,,￥20,
12,林苇,  副主任医师,口腔科,口腔正畸科,安徽医科大学第一附属医院高新院区,9.9,111,,￥20,
13,李文杰,  主治医师,口腔科,口腔正畸科,中南大学湘雅口腔医学院,10.0,111,,￥36,￥89
14,叶翁三杰,  主任医师,口腔科,口腔正畸科,武汉大学口腔医院,9.9,155,,￥200,
15,谷妍,  副主任医师,口腔科,口腔正畸科,江苏省口腔医院,10.0,139,,￥39,
16,王硕,  主治医师,口腔科,口腔正畸科,广州医科大学附属口腔医院,10.0,178,,￥30,￥100
17,刘璐,  住院医师,口腔科,口腔正畸科,上海交通大学医学院附属第九人民医院（南部院区）,9.8,18,,￥30,
18,管丽敏,  副主任医师,口腔科,口腔正畸科,西安交通大学口腔医院,9.8,104,专家团队,￥30,
19,余勇,  住院医师,口腔科,口腔正畸科,重庆医科大学附属口腔医院,10.0,17,,￥15,￥30
20,经典,  主治医师,口腔科,口腔正畸科,上海交通大学医学院附属第九人民医院（南部院区）,10.0,89,,￥40,
21,张君,  主任医师,口腔科,口腔正畸科,山东大学口腔医院,10.0,15,专家团队,￥60,￥200
22,李振霞,  主治医师,口腔科,口腔正畸科,上海交通大学医学院附属第九人民医院（南部院区）,,3,,￥30,
23,陈岱韻,  主治医师,口腔科,口腔正畸科,山东第一医科大学第二附属医院,10.0,7,,￥10,
24,李强,  副主任医师,口腔科,口腔正畸科,江苏省口腔医院,9.8,311,,￥35,￥100
25,唐国华,  主任医师,口腔科,口腔正畸科,上海交通大学医学院附属第九人民医院（南部院区）,9.9,2120,,￥80,
26,韩高峰,  主治医师,口腔科,口腔正畸科,同济大学附属口腔医院,10.0,250,,￥10,
27,王春晖,  主治医师,口腔科,口腔正畸科,广州医科大学附属口腔医院,9.5,108,,￥15,￥30
28,孙钢,  副主任医师,口腔科,口腔正畸科,浙江大学医学院附属第二医院解放路院区,9.8,132,,￥50,
29,夏伦果,  副主任医师,口腔科,口腔正畸科,上海交通大学医学院附属第九人民医院（南部院区）,9.9,591,专家团队,￥60,
30,阎潇,  副主任医师,口腔科,口腔正畸科,青岛大学附属医院崂山院区,10.0,65,专家团队,￥50,
31,徐学军,  副主任医师,口腔科,口腔正畸科,浙江省口腔医院,9.7,194,专家团队,￥100,
32,李健,  主任医师,口腔科,口腔正畸科,湖南省人民医院,9.8,33,专家团队,￥50,
33,袁方,  主任医师,口腔科,口腔正畸科,乌鲁木齐市口腔医院,,1,专家团队,￥50,
34,于洪波,  主任医师,口腔科,口腔正畸科,上海交通大学医学院附属第九人民医院（南部院区）,9.9,3224,,￥100,￥500
