,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,张士文,  主治医师,口腔科,口腔种植科,四川大学华西口腔医院,10.0,601,,￥50,￥100
1,欧阳思远,  主治医师,口腔科,口腔种植科,北京大学口腔医院（魏公村总院）,9.8,34,,￥60,
2,肖文林,  主任医师,口腔科,口腔种植科,青岛大学附属医院黄岛院区,10.0,358,专家团队,￥30,￥200
3,周炳荣,  主任医师,口腔科,口腔种植科,南京市口腔医院,9.8,67,,￥100,
4,李友云,  副主任医师,口腔科,口腔种植科,广东省中医院大学城医院,9.2,2,,￥100,
5,张兴,  主任医师,口腔科,口腔种植科,广东省中医院大德路总院,8.7,2,,￥100,
6,陈斌,  主治医师,口腔科,口腔种植科,广州医科大学附属口腔医院,,3,,￥50,￥300
7,莫嘉骥,  副主任医师,口腔科,口腔种植科,上海交通大学医学院附属第九人民医院（南部院区）,9.9,448,专家团队,￥150,￥200
8,贺文鹏,  副主任医师,口腔科,口腔种植科,暨南大学附属第一医院,9.9,97,,￥30,￥100
9,陈伟鸿,  住院医师,口腔科,口腔种植科,广州医科大学附属口腔医院,,2,,￥99,￥150
10,董正杰,  副主任医师,口腔科,口腔种植科,上海市口腔医院,9.9,2,,￥100,
11,厉超元,  主治医师,口腔科,口腔种植科,同济大学附属口腔医院,10.0,184,,￥0,
12,史俊宇,  主治医师,口腔科,口腔种植科,上海交通大学医学院附属第九人民医院（南部院区）,9.8,817,专家团队,￥100,￥100
13,李春明,  主任医师,口腔科,口腔种植科,哈尔滨医科大学附属第二医院,10.0,34,,￥60,
14,徐光宙,  主任医师,口腔科,口腔种植科,上海交通大学医学院附属第九人民医院（南部院区）,9.8,2241,,￥199,￥499
15,黄宇华,  主治医师,口腔科,口腔种植科,广东省中医院大学城医院,9.4,427,,￥25,￥30
16,何鑫,  医师,口腔科,口腔种植科,淮安市口腔医院,,2,,￥10,￥100
17,诸葛春耕,  主任医师,口腔科,口腔种植科,泰安市口腔医院,,2,,￥10,
18,叶颖,  副主任医师,口腔科,口腔种植科,同济大学附属口腔医院,9.9,149,,￥40,
19,范震,  主任医师,口腔科,口腔种植科,同济大学附属口腔医院,10.0,409,,￥40,￥80
20,刘恭奇,  主任医师,口腔科,口腔种植科,武汉大学口腔医院,10.0,18,,￥20,
21,胡劲松,  主任医师,口腔科,口腔种植科,贵阳市口腔医院,,1,专家团队,￥50,
22,钱姝娇,  主治医师,口腔科,口腔种植科,上海交通大学医学院附属第九人民医院（南部院区）,10.0,17,,￥50,￥50
23,王绍义,  副主任医师,口腔科,口腔种植科,上海交通大学医学院附属第九人民医院（南部院区）,9.7,627,,￥300,
24,闫恺潇,  主治医师,口腔科,口腔种植科,上海交通大学医学院附属第九人民医院（南部院区）,10.0,55,,￥10,
25,王莺,  副主任医师,口腔科,口腔种植科,北京大学口腔医院（魏公村总院）,10.0,17,,,￥150
26,孙竞,  副主任医师,口腔科,口腔种植科,同济大学附属口腔医院,9.7,22,,￥100,
27,王凤,  副主任医师,口腔科,口腔种植科,上海交通大学医学院附属第九人民医院（南部院区）,9.9,171,,￥60,
28,马文杰,  主治医师,口腔科,口腔种植科,南京市口腔医院,9.0,7,,￥50,￥200
29,王佐林,  主任医师,口腔科,口腔种植科,同济大学附属口腔医院,9.2,150,,￥20,
30,宋治锋,  主任医师,口腔科,口腔种植科,上海市口腔医院,9.6,109,,￥50,
31,韶波,  主任医师,口腔科,口腔种植科,内蒙古自治区人民医院,10.0,75,,￥40,
32,许舒宇,  主治医师,口腔科,口腔种植科,同济大学附属口腔医院,9.7,48,,￥10,
33,种植修复专科,  主治医师,口腔科,口腔种植科,上海永华口腔门诊部,9.9,133,,￥10,
34,张楚南,  主治医师,口腔科,口腔种植科,上海交通大学医学院附属第九人民医院（南部院区）,10.0,437,专家团队,￥10,
35,李耀华,  主任医师,口腔科,口腔种植科,上海永华口腔门诊部,10.0,1755,,￥10,
36,赖红昌,  主任医师,口腔科,口腔种植科,上海交通大学医学院附属第九人民医院（南部院区）,9.9,1361,专家团队,￥60,
37,秦风显,  主治医师,口腔科,口腔种植科,上海永华口腔门诊部,10.0,56,,￥10,
38,顾迎新,  副主任医师,口腔科,口腔种植科,上海交通大学医学院附属第九人民医院（南部院区）,9.8,796,专家团队,￥40,
39,刘小升,  主治医师,口腔科,口腔种植科,深圳市第二人民医院,,4,,￥100,
40,赵燕,  主治医师,口腔科,口腔种植科,重庆大学附属三峡医院,,2,,￥30,￥80
41,罗礼,  医师,口腔科,口腔种植科,重庆大学附属三峡医院,,3,,￥10,￥50
42,许胜,  副主任医师,口腔科,口腔种植科,烟台市口腔医院,,4,,￥30,
43,邹多宏,  副主任医师,口腔科,口腔种植科,上海交通大学医学院附属第九人民医院（南部院区）,9.3,24,,￥300,￥500
44,夏菁,  副主任医师,口腔科,口腔种植科,镇江市口腔医院,,1,,￥20,
45,孔江涛,  住院医师,口腔科,口腔种植科,郑州市口腔医院,,5,,￥20,
46,吴轶群,  主任医师,口腔科,口腔种植科,上海交通大学医学院附属第九人民医院（南部院区）,9.6,546,专家团队,￥100,
47,程志鹏,  主任医师,口腔科,口腔种植科,浙江省口腔医院,,6,专家团队,,
48,柳忠豪,  主任医师,口腔科,口腔种植科,烟台市口腔医院,,2,,￥50,
49,黄伟,  副主任医师,口腔科,口腔种植科,上海交通大学医学院附属第九人民医院（南部院区）,9.1,89,专家团队,￥100,
50,王健,  主治医师,口腔科,口腔种植科,天津医科大学口腔医院,,0,,￥10,
51,傅娜,  主治医师,口腔科,口腔种植科,天津医科大学口腔医院,,0,,￥10,
52,王立超,  主治医师,口腔科,口腔种植科,南方医科大学南方医院,,7,,￥25,
53,罗晓丁,  住院医师,口腔科,口腔种植科,天津医科大学口腔医院,,0,,￥10,
54,焦铁军,  住院医师,口腔科,口腔种植科,天津医科大学口腔医院,,0,,￥10,
55,王瑶,  住院医师,口腔科,口腔种植科,天津医科大学口腔医院,,0,,￥10,
56,李春林,  副主任医师,口腔科,口腔种植科,贵阳市口腔医院,,0,专家团队,￥30,
57,龙杨,  主治医师,口腔科,口腔种植科,重庆大学附属三峡医院,,1,,￥30,￥80
58,王春燕,  医师,口腔科,口腔种植科,重庆大学附属三峡医院,,1,,￥20,￥50
59,王心华,  主治医师,口腔科,口腔种植科,浙江省口腔医院,,5,,￥20,
60,赵世勇,  住院医师,口腔科,口腔种植科,广州医科大学附属口腔医院,,0,专家团队,￥10,
61,满云娜,  副主任医师,口腔科,口腔种植科,乌鲁木齐市口腔医院,,3,专家团队,￥100,
62,陈贤文,  副主任医师,口腔科,口腔种植科,阳春市口腔医院,,0,,￥30,
63,王杰,  主治医师,口腔科,口腔种植科,上海雅洁口腔医院,,2,,￥30,
64,吴海松,  主治医师,口腔科,口腔种植科,上海康沈医院,,0,,￥10,
