,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
1,张耀国,  主任医师,口腔科,口腔科综合,江苏省口腔医院,10,6518,,￥38,￥50
2,谢蟪旭,  副主任医师,口腔科,口腔科综合,四川大学华西口腔医院,10,267,,￥30,
3,王丽美,  主治医师,口腔科,口腔科综合,山东大学齐鲁医院,10,510,,￥30,
4,王晴,  主任医师,口腔科,口腔科综合,四川大学华西口腔医院,9.9,45,,￥90,
5,孙林琳,  主任医师,口腔科,口腔科综合,新乡医学院第一附属医院,10,9414,,￥120,￥150
6,吴明,  主治医师,口腔科,口腔科综合,安徽中医药大学第二附属医院,10,16602,,￥35,￥80
7,张月,  主治医师,口腔科,口腔科综合,西安交通大学口腔医院,10,10032,专家团队,￥29,￥49
8,张丹华,  副主任医师,口腔科,口腔科综合,郑州大学第一附属医院,10,958,,￥20,
9,毛玉虎,  主任医师,口腔科,口腔科综合,单县中心医院,10,3225,,￥20,￥50
10,张倩倩,  主治医师,口腔科,口腔科综合,中国人民解放军联勤保障部队第九六〇医院,10,2658,,￥5,
11,王道强,  主治医师,口腔科,口腔科综合,泰兴市人民医院,10,143308,,￥21,￥20
12,朱声荣,  主任医师,口腔科,口腔科综合,华中科技大学同济医学院附属同济医院,9.8,408,,￥50,￥80
13,阮念苏,  主治医师,口腔科,口腔科综合,武汉大学口腔医院,10,294,专家团队,￥30,
14,张小刚,  主治医师,口腔科,口腔科综合,甘肃省第二人民医院,10,12078,专家团队,￥20,￥46
15,袁丁未,  副主任医师,口腔科,口腔科综合,北京协和医院西院,9.8,411,专家团队,￥120,￥300
16,刘敏,  副主任医师,口腔科,口腔科综合,山东第一医科大学第二附属医院,10,3322,,￥20,￥39
17,姜荟荟,  主治医师,口腔科,口腔科综合,西安交通大学口腔医院,10,5062,专家团队,￥30,￥30
18,王婷婷,  副主任医师,口腔科,口腔科综合,甘肃省第二人民医院,10,3465,专家团队,￥20,￥50
19,冯红杰,  主治医师,口腔科,口腔科综合,杭州市第一人民医院,10,28431,,￥50,￥100
20,乔彬,  副主任医师,口腔科,口腔科综合,郑州大学第一附属医院,9.9,218,,￥20,￥30
21,李振杰,  主治医师,口腔科,口腔科综合,河南大学淮河医院,10,54888,,￥25,
22,郭立明,  主任医师,口腔科,口腔科综合,牡丹江市先锋医院,10,84325,,￥20,￥50
23,乔金科,  主治医师,口腔科,口腔科综合,聊城市第二人民医院,10,2265,,￥30,￥40
