,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,李巍,  副主任医师,口腔科,口腔颌面外科,北京大学口腔医院（魏公村总院）,10.0,60,,￥100,
1,叶斌,  副主任医师,口腔科,口腔颌面外科,四川大学华西口腔医院,,7,,￥40,
2,马永强,  主治医师,口腔科,口腔颌面外科,甘肃省第二人民医院,10.0,4435,,￥20,￥50
3,孙军,  主治医师,口腔科,口腔颌面外科,天津医科大学口腔医院,10.0,2176,,￥10,￥50
4,姚志涛,  副主任医师,口腔科,口腔颌面外科,新疆医科大学第一附属医院,10.0,5,专家团队,,
5,董作青,  副主任医师,口腔科,口腔颌面外科,山东大学齐鲁医院,10.0,421,专家团队,￥60,￥100
6,张勇,  副主任医师,口腔科,口腔颌面外科,上海国际医学中心,9.9,2073,,,￥1000
7,孟庆功,  主任医师,口腔科,口腔颌面外科,武汉大学口腔医院,9.8,264,专家团队,￥100,
8,洪劲超,  副主任医师,口腔科,口腔颌面外科,江门市中心医院,10.0,1453,,￥50,
9,刘琦,  副主任医师,口腔科,口腔颌面外科,武汉大学口腔医院,10.0,224,专家团队,￥49,￥200
10,张冰,  主任医师,口腔科,口腔颌面外科,哈尔滨医科大学附属第一医院,10.0,13,,￥50,
11,张晓晨,  主治医师,口腔科,口腔颌面外科,上海交通大学医学院附属第九人民医院（南部院区）,10.0,1577,,￥59,￥300
12,代杰文,  副主任医师,口腔科,口腔颌面外科,上海交通大学医学院附属第九人民医院（南部院区）,9.9,9606,,￥36,￥120
13,王德明,  副主任医师,口腔科,口腔颌面外科,上海交通大学医学院附属第九人民医院（南部院区）,10.0,980,,￥100,￥400
14,康非吾,  主任医师,口腔科,口腔颌面外科,同济大学附属口腔医院,9.9,2247,,￥20,
15,王方圆,  主治医师,口腔科,口腔颌面外科,同济大学附属口腔医院,10.0,1557,,￥1,￥500
16,黄圣运,  主任医师,口腔科,口腔颌面外科,山东省立医院,10.0,235,专家团队,￥30,￥200
17,黄丹青,  主治医师,口腔科,口腔颌面外科,同济大学附属口腔医院,10.0,513,,￥10,
18,刘雪荣,  主治医师,口腔科,口腔颌面外科,枣庄市立医院,,3,,￥20,
19,张雷,  主任医师,口腔科,口腔颌面外科,北京大学口腔医院（魏公村总院）,9.9,146,,￥150,￥300
20,常财旺,  副主任医师,口腔科,口腔颌面外科,扬州大学附属医院西区医院,9.7,20,,￥50,￥90
21,何黎升,  主任医师,口腔科,口腔颌面外科,空军军医大学(第四军医大学)口腔医学院,10.0,35,专家团队,￥60,
22,付超,  住院医师,口腔科,口腔颌面外科,重庆医科大学附属口腔医院,9.9,236,,￥20,￥30
23,杨荣涛,  副主任医师,口腔科,口腔颌面外科,武汉大学口腔医院,,2,,￥35,￥80
