,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,赵玉萍,  副主任医师,口腔科,口腔黏膜科,江苏省口腔医院,10.0,22393,,￥35,￥150
1,吴国英,  主任医师,口腔科,口腔黏膜科,江苏省口腔医院,8.3,30,,￥100,￥160
2,范媛,  主任医师,口腔科,口腔黏膜科,江苏省口腔医院,9.9,215,,￥80,
3,何明靖,  主治医师,口腔科,口腔黏膜科,武汉大学口腔医院,10.0,11,,￥70,
4,周培茹,  主治医师,口腔科,口腔黏膜科,北京大学口腔医院（魏公村总院）,10.0,1888,,,￥200
5,卓思源,  副主任医师,口腔科,口腔黏膜科,安徽中医药大学第一附属医院,10.0,1754,,￥50,￥69
6,刘青兰,  副主任医师,口腔科,口腔黏膜科,江苏省口腔医院,10.0,7738,,￥30,￥60
7,邓一文,  主治医师,口腔科,口腔黏膜科,上海交通大学医学院附属第九人民医院（南部院区）,9.9,1287,,￥160,￥200
8,肖璇,  主治医师,口腔科,口腔黏膜科,上海市口腔医院,9.9,1287,,￥40,
9,孙凯,  主治医师,口腔科,口腔黏膜科,上海交通大学医学院附属第九人民医院（南部院区）,10.0,868,,￥60,
10,闫香珍,  副主任医师,口腔科,口腔黏膜科,同济大学附属口腔医院,10.0,432,,￥50,
11,王万春,  主任医师,口腔科,口腔黏膜科,青岛市口腔医院,9.9,195,,￥60,￥100
12,姚辉,  主治医师,口腔科,口腔黏膜科,上海交通大学医学院附属第九人民医院（南部院区）,9.9,342,,￥60,
13,宗晓明,  副主任医师,口腔科,口腔黏膜科,烟台市口腔医院,10.0,86,,￥59,￥119
14,周海文,  主任医师,口腔科,口腔黏膜科,上海交通大学医学院附属第九人民医院（南部院区）,9.6,2598,专家团队,￥300,￥600
15,何虹,  主任医师,口腔科,口腔黏膜科,浙江省口腔医院,10.0,17,,￥500,
16,何园,  主任医师,口腔科,口腔黏膜科,同济大学附属口腔医院,9.5,326,,￥200,￥200
17,汪一江,  主治医师,口腔科,口腔黏膜科,同济大学附属口腔医院,,7,,￥50,
18,杨晓娟,  主治医师,口腔科,口腔黏膜科,同济大学附属口腔医院,10.0,83,,￥50,
19,杜观环,  主治医师,口腔科,口腔黏膜科,上海交通大学医学院附属第九人民医院（南部院区）,9.9,403,,￥120,
20,罗礼君,  主任医师,口腔科,口腔黏膜科,同济大学附属口腔医院,10.0,460,,￥100,
21,潘燕,  副主任医师,口腔科,口腔黏膜科,烟台市口腔医院,9.4,16,,￥30,
22,林琳,  主治医师,口腔科,口腔黏膜科,南京市口腔医院,10.0,259,,,
23,吴岚,  主任医师,口腔科,口腔黏膜科,上海交通大学医学院附属第九人民医院（南部院区）,9.6,118,,,
24,于平,  副主任医师,口腔科,口腔黏膜科,烟台市口腔医院,10.0,9,,,
25,江潞,  主任医师,口腔科,口腔黏膜科,四川大学华西口腔医院,9.9,65,,,
26,苏航,  主治医师,口腔科,口腔黏膜科,同济大学附属口腔医院,8.8,12,,,
27,鲁嘉韦,  主治医师,口腔科,口腔黏膜科,同济大学附属口腔医院,9.9,80,,,
28,刘洋,  副主任医师,口腔科,口腔黏膜科,北京大学口腔医院（魏公村总院）,10.0,24,,,
29,沈雪敏,  主任医师,口腔科,口腔黏膜科,上海交通大学医学院附属第九人民医院（南部院区）,9.6,1466,,,
30,李晓洁,  住院医师,口腔科,口腔黏膜科,宁夏医科大学总医院口腔医院,,2,专家团队,,
31,漆明,  主任医师,口腔科,口腔黏膜科,宁夏医科大学总医院口腔医院,,4,专家团队,,
