,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,赵玉萍,  副主任医师,口腔科,牙体牙髓科,江苏省口腔医院,10.0,22393,,￥35,￥150
1,汪成林,  副主任医师,口腔科,牙体牙髓科,四川大学华西口腔医院,9.9,247,,￥100,￥200
2,于鹏,  主治医师,口腔科,牙体牙髓科,北京大学口腔医院（魏公村总院）,,2,,￥200,
3,吕平,  副主任医师,口腔科,牙体牙髓科,北京大学口腔医院（魏公村总院）,10.0,164,,￥150,￥500
4,朱来宽,  副主任医师,口腔科,牙体牙髓科,上海交通大学医学院附属第九人民医院（南部院区）,10.0,84,,￥200,
5,谢俊良,  主治医师,口腔科,牙体牙髓科,同济大学附属口腔医院,10.0,3018,,￥25,
6,李琴,  主治医师,口腔科,牙体牙髓科,同济大学附属口腔医院,10.0,344,,￥0,￥39
7,蒋备战,  主任医师,口腔科,牙体牙髓科,同济大学附属口腔医院,10.0,2700,,￥100,￥200
8,张茹,  副主任医师,口腔科,牙体牙髓科,北京口腔医院天坛院区,10.0,51,,,￥200
9,周小康,  主治医师,口腔科,牙体牙髓科,同济大学附属口腔医院,10.0,1038,,￥0,
10,侯丽雯,  医师,口腔科,牙体牙髓科,同济大学附属口腔医院,10.0,496,,￥20,
11,王超,  主治医师,口腔科,牙体牙髓科,上海同口名雅口腔门诊部,9.9,109,,￥15,
12,方玉叶,  医师,口腔科,牙体牙髓科,上海同口名雅口腔门诊部,10.0,742,,￥10,
13,沈紫芸,  主治医师,口腔科,牙体牙髓科,同济大学附属口腔医院,10.0,40,,￥10,
14,杨卫东,  主任医师,口腔科,牙体牙髓科,南京市口腔医院,10.0,9,,￥200,
15,宋登贤,  主治医师,口腔科,牙体牙髓科,同济大学附属口腔医院,10.0,142,,￥20,
16,王萌萌,  主治医师,口腔科,牙体牙髓科,天津市口腔医院,10.0,94,,￥20,
17,李琳,  副主任医师,口腔科,牙体牙髓科,同济大学附属口腔医院,9.7,162,,￥150,
18,曹立群,  副主任医师,口腔科,牙体牙髓科,上海市口腔医院,10.0,230,,￥20,
19,王万春,  主任医师,口腔科,牙体牙髓科,青岛市口腔医院,9.9,195,,￥60,￥100
20,朱洪光,  主治医师,口腔科,牙体牙髓科,潍坊市人民医院,10.0,35,,￥30,
21,杨雪超,  主任医师,口腔科,牙体牙髓科,广州医科大学附属口腔医院,9.8,228,专家团队,￥20,
22,汪嘉,  主治医师,口腔科,牙体牙髓科,上海交通大学医学院附属第九人民医院（南部院区）,10.0,262,,￥150,
23,李辰,  副主任医师,口腔科,牙体牙髓科,同济大学附属口腔医院,10.0,1101,,￥50,
24,徐霆,  主治医师,口腔科,牙体牙髓科,同济大学附属口腔医院,10.0,221,,￥10,
25,何园,  主任医师,口腔科,牙体牙髓科,同济大学附属口腔医院,9.5,326,,￥200,￥200
26,田宇,  副主任医师,口腔科,牙体牙髓科,空军军医大学(第四军医大学)口腔医学院,9.9,116,专家团队,￥50,
27,程帆,  主治医师,口腔科,牙体牙髓科,同济大学附属口腔医院,10.0,331,,￥0,
28,何丰鹏,  主治医师,口腔科,牙体牙髓科,广州微医医院,9.8,61,专家团队,￥15,￥200
29,闫鹏,  副主任医师,口腔科,牙体牙髓科,天津市口腔医院,9.8,52,,￥30,
30,冯妍慧芝,  主治医师,口腔科,牙体牙髓科,上海同口名雅口腔门诊部,10.0,316,,￥10,
31,卢东晓,  主治医师,口腔科,牙体牙髓科,阳春市口腔医院,,1,,￥30,
32,郭静,  住院医师,口腔科,牙体牙髓科,泰安市口腔病防治院,10.0,13,,￥10,
33,苏婧,  主治医师,口腔科,牙体牙髓科,泰安市口腔医院,10.0,17,,￥10,
34,刘颖,  主任医师,口腔科,牙体牙髓科,天津医科大学口腔医院,,2,,￥30,
35,顾申生,  副主任医师,口腔科,牙体牙髓科,上海交通大学医学院附属第九人民医院（南部院区）,10.0,352,,￥400,
36,胡西娜尔·艾尼瓦尔,  副主任医师,口腔科,牙体牙髓科,乌鲁木齐市口腔医院,,3,专家团队,￥25,
37,韦晓玲,  副主任医师,口腔科,牙体牙髓科,上海市口腔医院,9.9,252,,￥100,
38,马健,  副主任医师,口腔科,牙体牙髓科,上海同口名雅口腔门诊部,9.6,46,,￥100,
39,潘益华,  副主任医师,口腔科,牙体牙髓科,上海交通大学医学院附属第九人民医院（南部院区）,9.5,503,,￥50,
40,刘霞,  主治医师,口腔科,牙体牙髓科,泰安市口腔医院,,2,,￥10,
41,孔方圆,  主治医师,口腔科,牙体牙髓科,上海交通大学医学院附属第九人民医院（南部院区）,10.0,90,,￥80,
42,林静静,  主治医师,口腔科,牙体牙髓科,泰安市口腔医院,,2,,￥10,
43,郝艳红,  主任医师,口腔科,牙体牙髓科,北京大学深圳医院,9.6,24,,￥200,
44,杨娇,  住院医师,口腔科,牙体牙髓科,潍坊市人民医院,9.0,8,,￥15,
45,陈敏,  住院医师,口腔科,牙体牙髓科,天津医科大学口腔医院,9.0,11,,￥10,
46,黄正蔚,  主任医师,口腔科,牙体牙髓科,上海交通大学医学院附属第九人民医院（南部院区）,9.5,691,,￥280,
47,吴丽更,  主任医师,口腔科,牙体牙髓科,天津医科大学口腔医院,,0,,￥30,
48,董文亮,  主治医师,口腔科,牙体牙髓科,宁夏医科大学总医院,,10,专家团队,￥10,
49,王志华,  住院医师,口腔科,牙体牙髓科,空军军医大学(第四军医大学)口腔医学院,,3,专家团队,￥30,
50,白庆霞,  住院医师,口腔科,牙体牙髓科,空军军医大学(第四军医大学)口腔医学院,,2,专家团队,￥30,
51,赵梦明,  副主任医师,口腔科,牙体牙髓科,天津医科大学口腔医院,,0,,￥20,
52,王娉婷,  副主任医师,口腔科,牙体牙髓科,天津医科大学口腔医院,,0,,￥20,
53,刘大勇,  副主任医师,口腔科,牙体牙髓科,天津医科大学口腔医院,,0,,￥20,
54,阙克华,  副主任医师,口腔科,牙体牙髓科,天津医科大学口腔医院,,1,,￥20,
55,夏颂欣,  主治医师,口腔科,牙体牙髓科,中山大学光华口腔医学院附属口腔医院,9.0,0,,￥20,
56,高杰,  副主任医师,口腔科,牙体牙髓科,广州医科大学附属口腔医院,,1,专家团队,￥30,
57,张金明,  主治医师,口腔科,牙体牙髓科,天津医科大学口腔医院,,0,,￥10,
58,王瑛慧,  主治医师,口腔科,牙体牙髓科,天津医科大学口腔医院,,0,,￥10,
59,李艳忠,  主治医师,口腔科,牙体牙髓科,天津医科大学口腔医院,,1,,￥10,
60,隋华超,  主治医师,口腔科,牙体牙髓科,天津医科大学口腔医院,,0,,￥10,
61,刘南,  主治医师,口腔科,牙体牙髓科,天津医科大学口腔医院,,0,,￥10,
62,苗静雯,  医师,口腔科,牙体牙髓科,天津医科大学口腔医院,,0,,￥10,
63,杨蕾,  主治医师,口腔科,牙体牙髓科,广东省中医院大德路总院,,0,,￥30,
64,吴泳,  主治医师,口腔科,牙体牙髓科,广东省中医院大德路总院,,0,,￥30,
65,庄媛媛,  主治医师,口腔科,牙体牙髓科,广东省中医院大德路总院,8.1,0,,￥30,
