,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,肖俐,  主治医师,口腔科,牙周病科,天津医科大学口腔医院,10.0,3821,,￥30,
1,黄振,  副主任医师,口腔科,牙周病科,北京大学口腔医院（魏公村总院）,9.9,101,,￥100,￥400
2,陈旭,  主治医师,口腔科,牙周病科,江苏省口腔医院,10.0,229,,￥25,￥200
3,亓妍秋,  住院医师,口腔科,牙周病科,天津医科大学口腔医院,,2,,￥10,
4,李友云,  副主任医师,口腔科,牙周病科,广东省中医院大学城医院,9.2,2,,￥100,
5,崔春,  副主任医师,口腔科,牙周病科,华中科技大学同济医学院附属同济医院,9.5,99,专家团队,￥50,
6,王乐诗,  医师,口腔科,牙周病科,广州医科大学附属口腔医院,10.0,52,,￥20,
7,闫香珍,  副主任医师,口腔科,牙周病科,上海同口名雅口腔门诊部,10.0,432,,￥50,
8,赵俊杰,  主治医师,口腔科,牙周病科,南京市口腔医院,9.9,291,,￥30,
9,郭兵兵,  主治医师,口腔科,牙周病科,上海同口名雅口腔门诊部,10.0,60,,￥10,
10,朱柯鑫,  医师,口腔科,牙周病科,黑龙江省口腔病防治院,9.9,27,,￥10,
11,边晓为,  主治医师,口腔科,牙周病科,天津医科大学口腔医院,,1,,￥10,
12,张凤秋,  主任医师,口腔科,牙周病科,北京口腔医院天坛院区,10.0,41,,￥100,
13,袁志瑶,  副主任医师,口腔科,牙周病科,南京市口腔医院,,53,,￥50,
14,黄宇华,  主治医师,口腔科,牙周病科,广东省中医院大学城医院,9.4,427,,￥25,￥30
15,陈珺,  主治医师,口腔科,牙周病科,中南大学湘雅口腔医学院,9.9,153,,￥30,
16,叶兰峰,  主治医师,口腔科,牙周病科,广州医科大学附属口腔医院,9.7,205,,￥10,
17,李宪国,  副主任医师,口腔科,牙周病科,黑龙江省口腔病防治院,10.0,1,,￥20,
18,潘兴游,  住院医师,口腔科,牙周病科,阳春市口腔医院,,1,,￥20,
19,丁一,  主任医师,口腔科,牙周病科,四川大学华西口腔医院,9.9,90,,￥100,
20,支敏,  主治医师,口腔科,牙周病科,天津医科大学口腔医院,9.9,720,,￥20,
21,冯妍慧芝,  主治医师,口腔科,牙周病科,同济大学附属口腔医院,10.0,316,,￥10,
22,李超伦,  副主任医师,口腔科,牙周病科,上海交通大学医学院附属第九人民医院（南部院区）,9.9,1179,专家团队,￥187,
23,张倩,  主治医师,口腔科,牙周病科,天津医科大学口腔医院,10.0,6,,￥20,
24,罗礼君,  主任医师,口腔科,牙周病科,上海同口名雅口腔门诊部,10.0,460,,￥100,
25,肖诗梦,  主治医师,口腔科,牙周病科,四川大学华西口腔医院,10.0,13,,￥120,
26,龚寅,  主治医师,口腔科,牙周病科,苏州大学附属第一医院十梓街院区,10.0,35,,￥100,
27,鲁皓,  住院医师,口腔科,牙周病科,苏州市华夏口腔医院,10.0,41,,￥10,
