,name,level,1_level_department,2_level_department,address,star,inquisition,expert_team,service_price_img,service_price_video
0,顾斐,  副主任医师,外科,乳腺外科,复旦大学附属华山医院江苏路分部,9.9,2059,,￥30,
1,贺涛,  住院医师,外科,乳腺外科,四川大学华西医院,9.9,37,,￥30,
2,段秀庆,  主任医师,外科,乳腺外科,哈尔滨医科大学附属第一医院,,4,,￥100,
3,谭秋雯,  主治医师,外科,乳腺外科,四川大学华西医院,10.0,1321,,￥80,￥300
4,张燕娜,  主治医师,外科,乳腺外科,北京协和医院,10.0,178,,￥200,
5,何建蓉,  副主任医师,外科,乳腺外科,上海交通大学医学院附属瑞金医院,9.7,479,,￥498,￥800
6,盛薇,  主任医师,外科,乳腺外科,西安交通大学第一附属医院,10.0,1248,专家团队,￥150,￥300
7,魏洪亮,  主治医师,外科,乳腺外科,西京医院,10.0,3458,专家团队,￥199,￥399
8,王常珺,  副主任医师,外科,乳腺外科,北京协和医院,9.9,283,,,
9,金贻婷,  主任医师,外科,乳腺外科,复旦大学附属华山医院江苏路分部,9.9,1939,专家团队,￥200,
10,赵洋,  主治医师,外科,乳腺外科,石家庄市妇产医院,10.0,3213,,￥20,￥100
11,马腾,  主治医师,外科,乳腺外科,泰安市中心医院,10.0,4033,,￥1,￥50
12,李凡,  副主任医师,外科,乳腺外科,重庆医科大学附属第一医院金山医院,,2,,￥50,
13,代志军,  主任医师,外科,乳腺外科,浙江大学医学院附属第一医院,9.9,5087,专家团队,￥150,
14,欧阳慧英,  主治医师,外科,乳腺外科,中南大学湘雅医院,9.8,1072,,￥80,
15,林快鹿,  主治医师,外科,乳腺外科,浙江大学医学院附属第一医院,10.0,78,,￥30,
16,王本忠,  主任医师,外科,乳腺外科,安徽医科大学第一附属医院高新院区,9.9,12190,,￥80,￥120
17,李刚,  副主任医师,外科,乳腺外科,西安大兴医院,10.0,2587,,￥30,￥50
18,白云,  副主任医师,外科,乳腺外科,山东第一医科大学第三附属医院,10.0,80,,￥30,￥78
19,傅成斌,  主治医师,外科,乳腺外科,福建医科大学附属协和医院,10.0,1220,,￥25,
20,李昭琦,  主治医师,外科,乳腺外科,宝鸡市中心医院,,4,专家团队,￥15,
21,高建虎,  主治医师,外科,乳腺外科,昆明市第一人民医院,,1,,￥30,
22,宗祥云,  副主任医师,外科,乳腺外科,上海市第六人民医院,9.7,269,,￥99,￥300
23,宋璐,  主治医师,外科,乳腺外科,泰安市中心医院,10.0,494,,￥10,
24,李俊杰,  副主任医师,外科,乳腺外科,复旦大学附属肿瘤医院徐汇院区,9.9,2999,,￥150,
25,陈波,  主任医师,外科,乳腺外科,中国医科大学附属第一医院,9.9,418,,￥30,
26,潘博,  副主任医师,外科,乳腺外科,北京协和医院,9.9,211,,￥399,
27,张伟杰,  副主任医师,外科,乳腺外科,南京鼓楼医院,9.8,234,,￥200,
28,杨志学,  副主任医师,外科,乳腺外科,苏州大学附属第二医院,10.0,453,,￥39,￥200
29,曹阿勇,  副主任医师,外科,乳腺外科,复旦大学附属肿瘤医院徐汇院区,9.6,288,专家团队,￥100,￥300
30,张超,  副主任医师,外科,乳腺外科,微医全科（北京西单）中心,9.9,105,,￥68,￥100
31,杨雪,  副主任医师,外科,乳腺外科,中国医学科学院肿瘤医院,10.0,23,,￥500,
32,刘淼,  主任医师,外科,乳腺外科,北京大学人民医院,9.9,120,,￥300,￥500
33,王永恒,  主治医师,外科,乳腺外科,陕西省人民医院,,5,专家团队,￥10,
34,李海平,  副主任医师,外科,乳腺外科,郑州人民医院,,3,,￥20,￥20
35,李金朋,  主治医师,外科,乳腺外科,武汉大学中南医院,10.0,7,,￥100,
36,姜丽娜,  主治医师,外科,乳腺外科,郑州人民医院,,2,,￥20,
37,蔡子浩,  副主任医师,外科,乳腺外科,复旦大学附属华山医院江苏路分部,9.9,1697,,￥120,
38,李喆,  主任医师,外科,乳腺外科,上海中医药大学附属曙光医院东院,9.9,1712,,￥200,￥200
39,李光明,  主任医师,外科,乳腺外科,宁波市第二医院,9.8,164,,￥50,￥100
40,曹迎明,  主任医师,外科,乳腺外科,北京大学人民医院,10.0,192,,￥100,
41,何娟娟,  副主任医师,外科,乳腺外科,郑州大学第一附属医院,9.7,87,,￥20,
42,孙晓寅,  主治医师,外科,乳腺外科,上海市第一妇婴保健院西院,10.0,2008,,￥35,￥80
43,简文静,  主治医师,外科,乳腺外科,深圳市第二人民医院,10.0,12,,￥100,
44,刘薇,  主任医师,外科,乳腺外科,郑州人民医院,10.0,87,,￥20,
45,莊志刚,  主任医师,外科,乳腺外科,上海市第一妇婴保健院西院,9.6,1779,专家团队,￥88,
46,凌泓,  主任医师,外科,乳腺外科,复旦大学附属肿瘤医院徐汇院区,10.0,2513,专家团队,￥450,￥800
47,宋晖,  副主任医师,外科,乳腺外科,复旦大学附属妇产科医院杨浦院区,10.0,5886,,￥199,￥280
48,曹章,  主任医师,外科,乳腺外科,郑州大学第一附属医院,10.0,352,,￥20,
49,许铁峰,  主任医师,外科,乳腺外科,海南医学院第一附属医院,10.0,1182,,￥60,
50,刘景超,  副主任医师,外科,乳腺外科,郑州大学第二附属医院,10.0,869,专家团队,￥29,￥200
51,林红,  主任医师,外科,乳腺外科,珠海市中西医结合医院,10.0,1578,,￥68,
52,杨锡倩,  主治医师,外科,乳腺外科,绍兴市妇幼保健院,10.0,148,,￥30,
53,周东光,  副主任医师,外科,乳腺外科,秦皇岛市妇幼保健院,10.0,33,,￥50,￥50
54,许永庆,  副主任医师,外科,乳腺外科,中国医科大学附属盛京医院南湖院区,10.0,336,,￥50,
55,邓宁,  主治医师,外科,乳腺外科,辽宁省肿瘤医院,,8,,￥20,￥39
56,徐佳,  副主任医师,外科,乳腺外科,四川省肿瘤医院,,7,,￥30,
57,王合兵,  副主任医师,外科,乳腺外科,三明市第一医院,,2,,￥20,
58,冯亮,  副主任医师,外科,乳腺外科,中国医科大学附属第一医院,10.0,72,,￥30,￥30
59,罗沙阳,  主治医师,外科,乳腺外科,中南大学湘雅医院,9.6,126,,￥30,
60,邹素文,  住院医师,外科,乳腺外科,广东省妇幼保健院番禺院区,10.0,802,,￥30,
61,党相国,  副主任医师,外科,乳腺外科,山东第一医科大学第二附属医院,9.8,52,,￥20,￥50
62,吕昭宝,  主治医师,外科,乳腺外科,聊城市第二人民医院,,2,,￥30,
63,彭益洪,  主治医师,外科,乳腺外科,新疆生产建设兵团第四师医院,,4,,￥30,
64,陈盛,  副主任医师,外科,乳腺外科,复旦大学附属肿瘤医院徐汇院区,10.0,2161,,￥80,
65,赵毅,  主任医师,外科,乳腺外科,中国医科大学附属盛京医院南湖院区,10.0,44,专家团队,￥100,
66,王建东,  主治医师,外科,乳腺外科,上海中医药大学附属曙光医院东院,9.8,125,,￥30,
67,张安秦,  主任医师,外科,乳腺外科,广东省妇幼保健院番禺院区,10.0,4061,,￥120,
68,刘启祥,  主治医师,外科,乳腺外科,吉林省前卫医院,10.0,4277,,￥29,
69,杨安力,  副主任医师,外科,乳腺外科,中山大学附属肿瘤医院,9.2,55,,￥80,￥300
70,李剑伟,  主治医师,外科,乳腺外科,复旦大学附属肿瘤医院徐汇院区,10.0,221,,￥99,￥199
71,韩鹏飞,  主治医师,外科,乳腺外科,潍坊市妇幼保健院,,4,,￥30,
72,朱林浩,  主治医师,外科,乳腺外科,宜昌市第一人民医院,10.0,7,,￥30,
73,杜倩倩,  主治医师,外科,乳腺外科,石家庄市妇产医院,,15,,￥25,
74,王振宁,  主治医师,外科,乳腺外科,银川市妇幼保健院,,35,,￥20,
75,李福年,  主任医师,外科,乳腺外科,青岛大学附属医院市南院区,9.2,142,,￥200,￥200
76,刘鹏熙,  主任医师,外科,乳腺外科,广东省中医院二沙岛分院,9.2,169,专家团队,￥200,
77,王俊鹏,  主任医师,外科,乳腺外科,西北妇女儿童医院,9.7,753,专家团队,￥20,
78,朱丽萍,  主任医师,外科,乳腺外科,新疆维吾尔自治区肿瘤医院,9.9,483,专家团队,￥40,￥50
79,李青国,  副主任医师,外科,乳腺外科,淮安市妇幼保健院,10.0,1002,,￥20,￥50
80,瞿文超,  副主任医师,外科,乳腺外科,上海中医药大学附属曙光医院西院,10.0,320,,￥80,
81,洪宋贞,  副主任医师,外科,乳腺外科,广东省中医院大德路总院,8.9,140,专家团队,￥100,
